mark,role,horizon_K,regime,n,mean_fwd,median_fwd,frac_pos,t_vs_zero
Mark 01,any_touch,5,all,1843,0.02387411828540423,0.0,0.17905588714053175,0.8763588758269214
Mark 01,any_touch,5,tight_spread,1154,-0.0004332755632582322,0.0,0.0511265164644714,-0.07085755402955754
Mark 01,any_touch,5,wide_spread,689,0.06458635703918723,0.0,0.39332365747460085,0.8951235022610352
Mark 01,any_touch,20,all,1843,0.007867607162235486,0.0,0.22626153011394465,0.14489086559778938
Mark 01,any_touch,20,tight_spread,1154,0.026863084922010397,0.0,0.10051993067590988,2.1874352160994075
Mark 01,any_touch,20,wide_spread,689,-0.023947750362844702,0.0,0.43686502177068215,-0.16648746366278847
Mark 01,any_touch,100,all,1839,-0.0910821098423056,0.0,0.26753670473083196,-0.7774674271742478
Mark 01,any_touch,100,tight_spread,1150,0.04391304347826087,0.0,0.14956521739130435,1.9371231286973023
Mark 01,any_touch,100,wide_spread,689,-0.3164005805515239,-0.5,0.4644412191582003,-1.0195169081976896
Mark 14,any_touch,5,all,2172,-0.006445672191528545,0.0,0.4447513812154696,-0.08989688054576196
Mark 14,any_touch,5,tight_spread,730,0.06643835616438357,0.0,0.42054794520547945,0.8717513355920725
Mark 14,any_touch,5,wide_spread,1403,-0.01674982181040627,0.0,0.46044191019244474,-0.16496073996548172
Mark 14,any_touch,20,all,2172,0.01680478821362799,0.0,0.47697974217311234,0.11936317614403569
Mark 14,any_touch,20,tight_spread,730,0.13972602739726028,0.0,0.4547945205479452,0.9876249784364665
Mark 14,any_touch,20,wide_spread,1403,-0.0548823948681397,0.0,0.48752672843905914,-0.2716179419406441
Mark 14,any_touch,100,all,2166,0.030009233610341645,0.0,0.47830101569713757,0.10056192776283521
Mark 14,any_touch,100,tight_spread,727,-0.018569463548830812,0.0,0.4731774415405777,-0.059112676886420745
Mark 14,any_touch,100,wide_spread,1400,-0.045714285714285714,0.0,0.4785714285714286,-0.10739317029983202
Mark 22,seller_agg,5,all,1430,-0.05944055944055944,0.0,0.08111888111888112,-4.542192555778354
Mark 22,seller_agg,5,tight_spread,1185,-0.006329113924050633,0.0,0.053164556962025315,-0.9826684250446931
Mark 22,seller_agg,5,wide_spread,1430,-0.05944055944055944,0.0,0.08111888111888112,-4.542192555778354
Mark 22,seller_agg,20,all,1430,-0.025874125874125874,0.0,0.14965034965034965,-0.9463529630528551
Mark 22,seller_agg,20,tight_spread,1185,0.020253164556962026,0.0,0.10464135021097046,1.5326131050678575
Mark 22,seller_agg,20,wide_spread,1430,-0.025874125874125874,0.0,0.14965034965034965,-0.9463529630528551
Mark 22,seller_agg,100,all,1426,0.0035063113604488078,0.0,0.20687237026647967,0.07372331746621032
Mark 22,seller_agg,100,tight_spread,1181,0.03895004233700254,0.0,0.15495342929720576,1.5325066953215765
Mark 22,seller_agg,100,wide_spread,1426,0.0035063113604488078,0.0,0.20687237026647967,0.07372331746621032
Mark 22,any_touch,5,all,1584,0.06818181818181818,0.0,0.1433080808080808,2.5358950746591473
Mark 22,any_touch,5,tight_spread,1194,0.0037688442211055275,0.0,0.05862646566164154,0.4561667639594449
Mark 22,any_touch,5,wide_spread,1584,0.06818181818181818,0.0,0.1433080808080808,2.5358950746591473
Mark 22,any_touch,20,all,1584,0.10416666666666667,0.0,0.19507575757575757,2.2287587088335923
Mark 22,any_touch,20,tight_spread,1194,0.02847571189279732,0.0,0.10887772194304858,1.7308795942756894
Mark 22,any_touch,20,wide_spread,1584,0.10416666666666667,0.0,0.19507575757575757,2.2287587088335923
Mark 22,any_touch,100,all,1580,0.0939873417721519,0.0,0.239873417721519,0.9168781392596308
Mark 22,any_touch,100,tight_spread,1190,0.08739495798319327,0.0,0.15966386554621848,2.4499936920034044
Mark 22,any_touch,100,wide_spread,1580,0.0939873417721519,0.0,0.239873417721519,0.9168781392596308
Mark 38,buyer_agg,5,all,733,-0.021828103683492497,0.0,0.4679399727148704,-0.1579277360064345
Mark 38,buyer_agg,5,tight_spread,524,-0.11450381679389313,0.0,0.4599236641221374,-0.6230146733556141
