buyer,seller,pair_n_trades,horizon_K,fwd_target,n,mean_fwd,median_fwd,frac_pos,t_vs_zero,ci95_low,ci95_high
Mark 01,Mark 22,1339,5,same_symbol,1339,-0.02315160567587752,0.0,0.07318894697535475,-2.6163631446587345,-0.040328603435399554,-0.005227781926811053
Mark 01,Mark 22,1339,5,VELVETFRUIT_EXTRACT,1339,0.0074682598954443615,0.0,0.4361463778939507,0.13283061372635366,-0.10607729648991786,0.1157673637042569
Mark 01,Mark 22,1339,5,HYDROGEL_PACK,1339,-0.19902912621359223,0.0,0.42494398805078415,-1.6546865403818858,-0.42929424943988054,0.026148244958924562
Mark 01,Mark 22,1339,20,same_symbol,1339,0.008588498879761016,0.0,0.13666915608663183,0.4366380801034906,-0.02838872292755788,0.048553024645257646
Mark 01,Mark 22,1339,20,VELVETFRUIT_EXTRACT,1339,0.29910380881254667,0.0,0.46676624346527257,2.3832932893946923,0.04443614637789395,0.5554985063480207
Mark 01,Mark 22,1339,20,HYDROGEL_PACK,1339,-0.43502613890963404,0.0,0.45332337565347275,-1.8680288594908117,-0.894772218073189,0.0396377893950709
Mark 01,Mark 22,1339,100,same_symbol,1335,0.0299625468164794,0.0,0.19101123595505617,0.7952904910658315,-0.04346441947565543,0.09478464419475653
Mark 01,Mark 22,1339,100,VELVETFRUIT_EXTRACT,1335,0.4134831460674157,1.0,0.5250936329588015,1.6294908007270508,-0.09554307116104868,0.912022471910112
Mark 01,Mark 22,1339,100,HYDROGEL_PACK,1335,-0.43258426966292135,0.0,0.4749063670411985,-0.8564955367455594,-1.394569288389513,0.4944756554307112
Mark 14,Mark 38,728,5,same_symbol,728,-0.003434065934065934,0.0,0.45467032967032966,-0.02355220935316573,-0.3001545329670329,0.28646978021978015
Mark 14,Mark 38,728,5,VELVETFRUIT_EXTRACT,728,-0.07211538461538461,0.0,0.4271978021978022,-0.8721650805322797,-0.24452266483516483,0.09907280219780204
Mark 14,Mark 38,728,5,HYDROGEL_PACK,728,0.03777472527472527,0.0,0.46016483516483514,0.22964632407223737,-0.2824175824175824,0.3468921703296703
Mark 14,Mark 38,728,20,same_symbol,728,0.10233516483516483,0.0,0.4848901098901099,0.3631536043377464,-0.45621565934065933,0.6663289835164834
Mark 14,Mark 38,728,20,VELVETFRUIT_EXTRACT,728,-0.14972527472527472,-0.5,0.43956043956043955,-0.9039138901753374,-0.4658997252747253,0.16699862637362628
Mark 14,Mark 38,728,20,HYDROGEL_PACK,728,0.27472527472527475,0.0,0.4945054945054945,0.8718853639873873,-0.32623626373626374,0.8660714285714286
Mark 14,Mark 38,728,100,same_symbol,728,0.5686813186813187,-0.5,0.4766483516483517,0.9745278622989241,-0.48240041208791207,1.6895776098901099
Mark 14,Mark 38,728,100,VELVETFRUIT_EXTRACT,728,-0.30563186813186816,-1.0,0.45054945054945056,-0.8617280815219284,-0.9556662087912088,0.39654876373626347
Mark 14,Mark 38,728,100,HYDROGEL_PACK,728,0.9395604395604396,0.0,0.49313186813186816,1.41874330252071,-0.3229739010989011,2.274107142857143
Mark 38,Mark 14,714,5,same_symbol,714,-0.08403361344537816,0.0,0.45938375350140054,-0.6028756330063592,-0.35441176470588237,0.17731092436974777
Mark 38,Mark 14,714,5,VELVETFRUIT_EXTRACT,714,0.0007002801120448179,0.0,0.4425770308123249,0.00882127955682141,-0.15337885154061626,0.15413165266106438
Mark 38,Mark 14,714,5,HYDROGEL_PACK,714,-0.28921568627450983,0.0,0.4425770308123249,-1.8030019524758332,-0.6365896358543417,0.003711484593837344
Mark 38,Mark 14,714,20,same_symbol,714,-0.19607843137254902,0.0,0.49159663865546216,-0.6931611960515626,-0.7565301120448179,0.3355217086834733
Mark 38,Mark 14,714,20,VELVETFRUIT_EXTRACT,714,-0.06372549019607843,0.0,0.4481792717086835,-0.41580487425696044,-0.3578606442577031,0.24404761904761874
Mark 38,Mark 14,714,20,HYDROGEL_PACK,714,-0.42436974789915966,0.0,0.49019607843137253,-1.308131665603304,-1.0175070028011204,0.21043417366946748
Mark 38,Mark 14,714,100,same_symbol,711,-0.47187060478199716,0.0,0.48523206751054854,-0.7796901355448406,-1.6809247538677918,0.6862869198312225
Mark 38,Mark 14,714,100,VELVETFRUIT_EXTRACT,711,-0.26582278481012656,0.0,0.46835443037974683,-0.7691690431217602,-0.917809423347398,0.3672644163150491
Mark 38,Mark 14,714,100,HYDROGEL_PACK,711,-0.32208157524613223,0.0,0.4838255977496484,-0.467177024649201,-1.6825773558368495,1.1271800281293947
Mark 55,Mark 14,331,5,same_symbol,331,0.26132930513595165,0.0,0.48036253776435045,2.1520837296133988,0.03300604229607252,0.49252265861027184
Mark 55,Mark 14,331,5,VELVETFRUIT_EXTRACT,331,0.26132930513595165,0.0,0.48036253776435045,2.1520837296133988,0.030135951661631424,0.4849697885196374
Mark 55,Mark 14,331,5,HYDROGEL_PACK,331,0.3187311178247734,0.0,0.46827794561933533,1.330589125738312,-0.1359894259818731,0.7947507552870089
Mark 55,Mark 14,331,20,same_symbol,331,0.5755287009063444,0.5,0.5196374622356495,2.713686226945129,0.19029456193353475,0.9775302114803623
Mark 55,Mark 14,331,20,VELVETFRUIT_EXTRACT,331,0.5755287009063444,0.5,0.5196374622356495,2.713686226945129,0.16589879154078552,0.9774546827794561
Mark 55,Mark 14,331,20,HYDROGEL_PACK,331,0.44410876132930516,0.5,0.5075528700906344,0.905419771570854,-0.4909365558912387,1.3735271903323258
Mark 55,Mark 14,331,100,same_symbol,329,1.121580547112462,1.0,0.5258358662613982,2.272468264555956,0.1861702127659575,2.062386018237082
Mark 55,Mark 14,331,100,VELVETFRUIT_EXTRACT,329,1.121580547112462,1.0,0.5258358662613982,2.272468264555956,0.19300911854103345,2.0547492401215806
Mark 55,Mark 14,331,100,HYDROGEL_PACK,329,1.5577507598784195,0.0,0.49544072948328266,1.5846128139704334,-0.3997340425531915,3.459042553191488
Mark 14,Mark 55,316,5,same_symbol,316,-0.03322784810126582,0.0,0.41455696202531644,-0.2808425831430369,-0.2580300632911392,0.19778481012658228
Mark 14,Mark 55,316,5,VELVETFRUIT_EXTRACT,316,-0.03322784810126582,0.0,0.41455696202531644,-0.2808425831430369,-0.2612341772151899,0.1740901898734177
Mark 14,Mark 55,316,5,HYDROGEL_PACK,316,0.09651898734177215,0.0,0.45569620253164556,0.3955665254362731,-0.38615506329113924,0.6044303797468354
Mark 14,Mark 55,316,20,same_symbol,316,-0.23734177215189872,0.0,0.4177215189873418,-1.040850794089224,-0.696242088607595,0.18208069620253153
Mark 14,Mark 55,316,20,VELVETFRUIT_EXTRACT,316,-0.23734177215189872,0.0,0.4177215189873418,-1.040850794089224,-0.6837025316455696,0.1836234177215189
Mark 14,Mark 55,316,20,HYDROGEL_PACK,316,0.509493670886076,1.0,0.5189873417721519,1.078948044363736,-0.3275316455696203,1.4670886075949365
Mark 14,Mark 55,316,100,same_symbol,315,-1.2174603174603174,-1.5,0.41904761904761906,-2.510483783699042,-2.128730158730159,-0.22015873015873058
Mark 14,Mark 55,316,100,VELVETFRUIT_EXTRACT,315,-1.2174603174603174,-1.5,0.41904761904761906,-2.510483783699042,-2.154444444444444,-0.30623015873015885
Mark 14,Mark 55,316,100,HYDROGEL_PACK,315,0.8031746031746032,0.0,0.4888888888888889,0.7949242116524762,-1.0934920634920633,2.79063492063492
