day,timestamp,vev_mid,S,iv,vev5300_signed,iv_mean_day,iv_res
1,0,47.0,5245.0,0.3231068615077532,,0.3153293761785734,0.007777485329179823
1,100,47.0,5245.5,0.3221885483386721,,0.3153293761785734,0.0068591721600987365
1,200,47.0,5246.5,0.3203484949395334,,0.3153293761785734,0.005019118760960006
1,300,48.0,5247.5,0.32324870800774236,,0.3153293761785734,0.007919331829168985
1,400,48.0,5247.5,0.32324870800774236,,0.3153293761785734,0.007919331829168985
1,500,48.0,5247.5,0.32324870800774236,,0.3153293761785734,0.007919331829168985
1,600,48.0,5245.0,0.32786692109779303,,0.3153293761785734,0.012537544919219656
1,700,47.0,5245.5,0.3221885483386721,,0.3153293761785734,0.0068591721600987365
1,800,47.0,5245.5,0.3221885483386721,,0.3153293761785734,0.0068591721600987365
1,900,47.0,5245.5,0.3221885483386721,,0.3153293761785734,0.0068591721600987365
1,1000,48.0,5247.0,0.3241746525279496,,0.3153293761785734,0.008845276349376208
1,1100,48.0,5247.5,0.32324870800774236,,0.3153293761785734,0.007919331829168985
1,1200,48.5,5248.5,0.32376052584198484,,0.3153293761785734,0.008431149663411464
1,1300,49.0,5249.5,0.32426031187985405,,0.3153293761785734,0.008930935701280673
1,1400,49.0,5251.0,0.32145229021506094,,0.3153293761785734,0.00612291403648757
1,1500,49.0,5250.5,0.32238951186082276,,0.3153293761785734,0.007060135682249391
1,1600,49.0,5250.5,0.32238951186082276,,0.3153293761785734,0.007060135682249391
1,1700,49.5,5251.5,0.3228696520710326,,0.3153293761785734,0.007540275892459203
1,1800,49.0,5250.5,0.32238951186082276,,0.3153293761785734,0.007060135682249391
1,1900,49.0,5250.5,0.32238951186082276,,0.3153293761785734,0.007060135682249391
1,2000,49.0,5251.5,0.32051384133260097,,0.3153293761785734,0.0051844651540275954
1,2100,49.0,5250.0,0.3233255159092992,,0.3153293761785734,0.007996139730725826
1,2200,48.0,5248.5,0.3213933037847095,,0.3153293761785734,0.00606392760613611
1,2300,49.0,5249.5,0.32426031187985405,,0.3153293761785734,0.008930935701280673
1,2400,49.0,5250.5,0.32238951186082276,,0.3153293761785734,0.007060135682249391
1,2500,49.0,5251.5,0.32051384133260097,,0.3153293761785734,0.0051844651540275954
1,2600,48.5,5249.0,0.3228295742237692,,0.3153293761785734,0.007500198045195805
1,2700,48.5,5248.5,0.32376052584198484,,0.3153293761785734,0.008431149663411464
1,2800,48.0,5248.5,0.3213933037847095,,0.3153293761785734,0.00606392760613611
1,2900,48.5,5249.5,0.32189742977116453,,0.3153293761785734,0.006568053592591161
1,3000,49.0,5250.0,0.3233255159092992,,0.3153293761785734,0.007996139730725826
1,3100,49.5,5251.5,0.3228696520710326,,0.3153293761785734,0.007540275892459203
1,3200,50.0,5253.0,0.3223929567409349,,0.3153293761785734,0.0070635805623615044
1,3300,50.0,5254.0,0.32049918490932044,,0.3153293761785734,0.005169808730747072
1,3400,50.0,5253.5,0.3214467053798017,,0.3153293761785734,0.0061173292012283165
1,3500,50.0,5253.5,0.3214467053798017,,0.3153293761785734,0.0061173292012283165
1,3600,50.0,5253.5,0.3214467053798017,,0.3153293761785734,0.0061173292012283165
