csv_day,dte_open,timestamp,S,z_abs_ret,iv_atm,skew_call_minus_put_moneyness,iv_cross_std,vega_weight_atm,spread_atm
0,8,600,5248.5,0.0,0.23896113808638636,0.08182999115629819,0.0994612234154571,0.0,3.0
0,8,900,5246.5,0.0,0.2396899991741953,0.08237988364071444,0.09978828213406506,0.0,3.0
0,8,1800,5246.5,0.0,0.23970348439155972,0.08238451844875516,0.09979389633818413,0.0,3.0
0,8,2400,5248.5,0.0,0.23898802776886552,0.08323421828373576,0.09974182077225313,0.0,3.0
0,8,2500,5247.5,0.0,0.24103072863362607,0.0817104363615018,0.09966834565211752,0.0,3.0
0,8,2700,5246.5,0.0,0.23971697188526356,0.08238915403898231,0.09979951148990251,0.0,3.0
0,8,2800,5245.5,0.0,0.2417395256114679,0.08259602143305816,0.09989632459394499,0.0,3.0
0,8,3500,5244.5,0.0,0.24042212395505866,0.04181167317789103,0.1005046778941987,0.0,3.0
0,8,4200,5241.0,0.0,0.2407404182373166,0.08154849641187722,0.10089119697547093,0.0,3.0
0,8,4300,5241.5,0.0,0.23975281196480244,0.08328435346203258,0.10130958413617398,0.0,3.0
0,8,4600,5239.5,0.0,0.24037762166640125,0.08491972304592926,0.10170688449701468,0.0,3.0
0,8,5300,5237.5,0.0,0.24097820419937796,0.08295714463834045,0.10116756465232858,0.0,3.0
0,8,5500,5238.5,0.0,0.23903169555317008,0.0822846284871219,0.10121139581577669,0.0,3.0
0,8,5800,5239.0,0.0,0.23805704099432595,0.08812812071883167,0.10244860804262738,0.0,3.0
0,8,6600,5234.5,0.0,0.24017518374153535,0.08463410971840316,0.10160112838971903,0.0,3.0
0,8,7500,5237.5,0.0,0.24101136750739974,0.08296856117114307,0.10118148727089461,0.0,3.0
0,8,8600,5230.5,0.0,0.23792016955347386,0.08796152814386682,0.10369605407440995,0.0,3.0
0,8,9000,5232.0,0.0,0.24003093891386443,0.08408276558791403,0.10212350667391477,0.0,2.0
0,8,9300,5230.0,0.0,0.24216465367935217,-0.06427581866512866,0.16883573751436162,0.0,3.0
0,8,9600,5234.5,0.0,0.2402202664593026,0.0860770937777122,0.1018986922476506,0.0,3.0
0,8,10000,5232.5,0.0,0.24074516594383666,0.08514391740964897,0.1024137638535952,0.0,3.0
0,8,10600,5234.0,0.0,0.24119353178599118,0.08399236072069519,0.10166431476787419,0.0,3.0
0,8,11500,5235.5,0.0,0.24163202851347457,0.04299822841710377,0.10146169234666624,0.0,3.0
0,8,11700,5236.5,0.0,0.23970315918961674,0.08396786342678475,0.1016493604474246,0.0,3.0
0,8,12500,5238.5,0.0,0.2391364126086514,0.0863930728957574,0.10204556571220529,0.0,3.0
0,8,12600,5239.5,0.0,0.23717583451919433,0.08783658139880779,0.10250523702151636,0.0,3.0
0,8,12800,5238.5,0.0,0.23914090355851914,0.08232222246749588,0.10125763691003385,0.0,3.0
0,8,13200,5239.5,0.0,0.2405070033075238,0.04146504473400836,0.10103437871059989,0.0,3.0
0,8,13600,5241.0,0.0,0.24088205233390494,0.08159647375178111,0.1009505540156822,0.0,3.0
0,8,15200,5243.5,0.0,0.23926507957941895,0.08901840178006407,0.10208795447869737,0.0,1.0
0,8,15300,5243.5,0.07144629568388643,0.23926657784456243,0.08356847705231851,0.100772582905556,0.0,3.0
0,8,15500,5243.5,0.07027870393240379,0.2392695744592934,0.041591191856565846,0.10133012448695189,0.0,3.0
