day,product,lag_v_minus_s,corr
0,VEV_4000,-2,0.00899554019878779
0,VEV_4000,-1,-0.015396412093787013
0,VEV_4000,0,0.5952061867678122
0,VEV_4000,1,-0.01891563760528617
0,VEV_4000,2,0.003104622577757597
0,VEV_4500,-2,0.021115913420386313
0,VEV_4500,-1,0.015234328969797482
0,VEV_4500,0,0.5959750092474076
0,VEV_4500,1,0.016944402952788363
0,VEV_4500,2,0.0013849211890623557
0,VEV_5000,-2,0.020646844611290717
0,VEV_5000,-1,-0.0030026815532810365
0,VEV_5000,0,0.7544675058972927
0,VEV_5000,1,0.0005539083171282154
0,VEV_5000,2,-0.0044113610123996515
0,VEV_5100,-2,0.016514270941829
0,VEV_5100,-1,-0.0036973803438071842
0,VEV_5100,0,0.7597488181369679
0,VEV_5100,1,0.00048535068627896845
0,VEV_5100,2,0.00156477143748015
0,VEV_5200,-2,0.016064665064752962
0,VEV_5200,-1,-0.0018731406897959523
0,VEV_5200,0,0.7093899564795123
0,VEV_5200,1,-0.0018076759028565887
0,VEV_5200,2,0.001938284862707318
0,VEV_5300,-2,0.018471272751136514
0,VEV_5300,-1,-0.005414911735598292
0,VEV_5300,0,0.6252196719397924
0,VEV_5300,1,0.008326212518117583
0,VEV_5300,2,-0.0016840328113045487
0,VEV_5400,-2,0.02594055974567342
0,VEV_5400,-1,-0.013982528640138618
0,VEV_5400,0,0.5594821054220033
0,VEV_5400,1,0.002100709277885542
0,VEV_5400,2,0.0008881737851049073
0,VEV_5500,-2,0.009134222036917489
0,VEV_5500,-1,-0.0029280374336650605
0,VEV_5500,0,0.3753313287877703
0,VEV_5500,1,0.005738602242345348
0,VEV_5500,2,0.006441314029319821
0,VEV_6000,-2,
0,VEV_6000,-1,
0,VEV_6000,0,
0,VEV_6000,1,
0,VEV_6000,2,
0,VEV_6500,-2,
0,VEV_6500,-1,
0,VEV_6500,0,
0,VEV_6500,1,
0,VEV_6500,2,
1,VEV_4000,-2,0.007366576841549039
1,VEV_4000,-1,-0.049631329145765145
1,VEV_4000,0,0.5994664140190608
1,VEV_4000,1,-0.029138516969844513
1,VEV_4000,2,-0.0066047875443318894
1,VEV_4500,-2,0.0038060379842035494
1,VEV_4500,-1,-0.00918595234882586
1,VEV_4500,0,0.5964546795829313
1,VEV_4500,1,0.00535371606351428
1,VEV_4500,2,-0.006786995407419001
1,VEV_5000,-2,-0.003405808252548171
1,VEV_5000,-1,-0.01781840673299463
1,VEV_5000,0,0.7516312031905511
1,VEV_5000,1,-0.013141070185669136
1,VEV_5000,2,-0.006271246432809451
1,VEV_5100,-2,-0.006141404714273918
1,VEV_5100,-1,-0.023958684915277348
1,VEV_5100,0,0.7682344120888399
1,VEV_5100,1,-0.01965990912290619
1,VEV_5100,2,0.003701333917831983
1,VEV_5200,-2,-0.012410902759060202
1,VEV_5200,-1,-0.014071756093538222
1,VEV_5200,0,0.7115237775470143
1,VEV_5200,1,-0.016278218926764048
1,VEV_5200,2,0.006298752247876589
1,VEV_5300,-2,-0.015882602225365545
1,VEV_5300,-1,-0.0067694967836223405
1,VEV_5300,0,0.6173352247495314
1,VEV_5300,1,-0.011455807999643564
1,VEV_5300,2,-0.0007097668426699573
1,VEV_5400,-2,-0.005166339601755408
1,VEV_5400,-1,-0.018199472507565772
1,VEV_5400,0,0.5362954165289189
1,VEV_5400,1,-0.012297432968609055
1,VEV_5400,2,0.0006555609292728634
1,VEV_5500,-2,-0.005712124397993553
1,VEV_5500,-1,0.019986374413881774
1,VEV_5500,0,0.3469488593027153
1,VEV_5500,1,0.0012424322617247963
1,VEV_5500,2,0.0014910367467680043
1,VEV_6000,-2,
1,VEV_6000,-1,
1,VEV_6000,0,
1,VEV_6000,1,
1,VEV_6000,2,
1,VEV_6500,-2,
1,VEV_6500,-1,
1,VEV_6500,0,
1,VEV_6500,1,
1,VEV_6500,2,
2,VEV_4000,-2,-0.0028200819759721914
2,VEV_4000,-1,-0.013689450148534784
2,VEV_4000,0,0.5899479168609386
2,VEV_4000,1,-0.024137246533248856
2,VEV_4000,2,0.0025757148778881985
2,VEV_4500,-2,-0.0046358072313101
2,VEV_4500,-1,0.018052980805230212
2,VEV_4500,0,0.6013099350634858
2,VEV_4500,1,0.006981167885731216
