day,product,strike,beta_dV_dS,elasticity_ret,up_beta,down_beta,spread_shock_mean,spread_normal_mean,spread_shock_ratio
0,VEV_4000,4000,0.744474092954658,3.1322754496591116,0.7401505090746927,0.7487090543575625,20.75,20.774950523042126,0.9987990092677019
0,VEV_4500,4500,0.6598430841530399,4.636366831671807,0.6487987444161698,0.6706610430051368,15.80072463768116,15.786966355668646,1.0008714962521963
0,VEV_5000,5000,0.650663108845382,13.486896276458841,0.6450561390799395,0.6561551499861001,5.996376811594203,6.005230421260956,0.9985256836048443
0,VEV_5100,5100,0.5606953681946265,17.515649989647454,0.5573262505532525,0.5639954274901551,4.271739130434782,4.3216002261803785,0.9884623534950002
0,VEV_5200,5200,0.429985264247845,23.13599991298506,0.4226327015170956,0.4371871181362391,2.9094202898550723,2.926915465083404,0.9940226578331216
0,VEV_5300,5300,0.27364689951807925,29.372314496160076,0.271238279206363,0.27600614923721456,2.1449275362318843,2.1627085100367545,0.9917783771033628
0,VEV_5400,5400,0.13785893504320063,39.31007151723007,0.13690691778338976,0.13879143836964186,1.4021739130434783,1.425219112242013,0.9838304166702604
0,VEV_5500,5500,0.06382173722569089,41.510921057713055,0.06410720753349203,0.063542118333389,1.1884057971014492,1.1816511167656205,1.0057163068184773
0,VEV_6000,6000,0.0,0.0,0.0,0.0,1.0,1.0,1.0
0,VEV_6500,6500,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1,VEV_4000,4000,0.7582076222648759,3.187183352518162,0.7642034323327694,0.7523186453722144,20.7190635451505,20.76608683354547,0.9977355729670259
1,VEV_4500,4500,0.665890073193883,4.672135887519485,0.6711072799936256,0.660765826438228,15.80267558528428,15.802149625229811,1.0000332840826687
1,VEV_5000,5000,0.652066709379257,13.52995856282617,0.6535146148419946,0.6506446026552779,5.983277591973244,6.008626785461745,0.9957812001987151
1,VEV_5100,5100,0.5759605490515405,18.36955703724029,0.5738186662486366,0.5780642678467457,4.254180602006689,4.258096450289917,0.9990803758606828
1,VEV_5200,5200,0.4320577785543377,23.885988696564535,0.4341744377399209,0.429978833942593,2.839464882943144,2.87611370386084,0.9872575201500207
1,VEV_5300,5300,0.2710311219833987,30.412692215654136,0.2714128986756098,0.2706561477775223,2.080267558528428,2.106915570640645,0.987352121516614
1,VEV_5400,5400,0.12701186246528612,42.91567527403733,0.1269884805265846,0.12703482778524117,1.3645484949832776,1.390043841040871,0.981658602912479
1,VEV_5500,5500,0.05426446890713462,43.3812335615727,0.05485463521666721,0.053684818164317305,1.1337792642140467,1.157120633573752,0.9798280588190569
1,VEV_6000,6000,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1,VEV_6500,6500,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2,VEV_4000,4000,0.7325392841974647,3.0680888033761855,0.7511773334361536,0.7138940376891081,20.96727272727273,20.88681644764731,1.0038520125758315
2,VEV_4500,4500,0.6596077371529547,4.59287029573198,0.6750559715894888,0.6441535372257269,15.978181818181818,15.952946163628656,1.0015818805062289
2,VEV_5000,5000,0.657735222578228,13.433398892365032,0.6629352273603546,0.6525332097620246,6.138181818181818,6.114313974848099,1.0039036011941653
2,VEV_5100,5100,0.5948225937222041,18.823671483343094,0.6005558557862115,0.5890871177014845,4.287272727272727,4.311290094672884,0.9944291924522004
2,VEV_5200,5200,0.44770472182537757,25.29683006285323,0.4508608044467766,0.44454742045096624,2.88,2.854882012152042,1.0087982577707384
2,VEV_5300,5300,0.27340643218406446,32.74585196396895,0.27418358681382315,0.2726289774482124,2.0436363636363635,2.04648862512364,0.998606265653148
2,VEV_5400,5400,0.12200301146672932,47.269661260480056,0.12132324558015574,0.1226830398516956,1.3527272727272728,1.3241486505581461,1.0215826388956257
2,VEV_5500,5500,0.046774255820234985,47.94107745893014,0.0470547363545052,0.0464936669755875,1.1090909090909091,1.1114879186095803,0.9978434227862146
2,VEV_6000,6000,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2,VEV_6500,6500,0.0,0.0,0.0,0.0,1.0,1.0,1.0
