timestamp,day,dte,t_years,voucher,K,S,mid,log_S_over_K,iv,iv_fit,iv_res,theoretical_mid,price_dev
0,1,7,0.019178082191780823,VEV_6000,6000,5245.0,0.5,-0.1344842273797945,0.38022888714857084,0.37381445041482864,0.0064144367337422015,0.42793153330559974,0.07206846669440026
100,1,7,0.019177808219178083,VEV_6000,6000,5245.5,0.5,-0.13438890303865186,0.3799899023336435,0.36865596377241716,0.011333938561226331,0.37796686292608683,0.12203313707391317
200,1,7,0.019177534246575343,VEV_6000,6000,5246.5,0.5,-0.1341982816122264,0.3795092412949102,0.37336055460254414,0.006148686692366068,0.4306545078121786,0.06934549218782138
300,1,7,0.019177260273972603,VEV_6000,6000,5247.5,0.5,-0.13400769651540395,0.3790286129016143,0.37133683361169434,0.007691779289919987,0.41432776345391176,0.08567223654608824
400,1,7,0.019176986301369863,VEV_6000,6000,5247.5,0.5,-0.13400769651540395,0.37903132038998927,0.37133948615832646,0.0076918342316628086,0.4143277634391147,0.0856722365608853
500,1,7,0.019176712328767123,VEV_6000,6000,5247.5,0.5,-0.13400769651540395,0.37903402793638996,0.3732563383439509,0.0057776895924390725,0.43456348982698145,0.06543651017301855
600,1,7,0.019176438356164383,VEV_6000,6000,5245.0,0.5,-0.1344842273797945,0.3802451837098074,0.3681756264176056,0.012069557292201827,0.370950606318317,0.129049393681683
700,1,7,0.019176164383561643,VEV_6000,6000,5245.5,0.5,-0.13438890303865186,0.3800061888827291,0.37227171030828676,0.007734478574442316,0.4140562565480792,0.0859437434519208
800,1,7,0.019175890410958903,VEV_6000,6000,5245.5,0.5,-0.13438890303865186,0.3800089035111926,0.36841261556463734,0.011596287946555262,0.37543568143431116,0.12456431856568884
900,1,7,0.019175616438356167,VEV_6000,6000,5245.5,0.5,-0.13438890303865186,0.3800116181978371,0.3722770291200689,0.007734589077768195,0.4140562565339536,0.08594374346604639
1000,1,7,0.019175342465753423,VEV_6000,6000,5247.0,0.5,-0.13410298452348024,0.37928924333309233,0.37260504987706755,0.0066841934560247784,0.4249327805934868,0.07506721940651317
1100,1,7,0.019175068493150683,VEV_6000,6000,5247.5,0.5,-0.13400769651540395,0.37905027443351313,0.373272337206067,0.005777937227446128,0.4345634897260595,0.06543651027394048
1200,1,7,0.019174794520547947,VEV_6000,6000,5248.5,0.5,-0.13381714773433961,0.3785696514608037,0.3674525349687924,0.011117116492011303,0.3797368898446827,0.12026311015531732
1300,1,7,0.019174520547945207,VEV_6000,6000,5249.5,0.5,-0.13362663525519608,0.3780890541374086,0.3734159248827853,0.0046731292546233205,0.4464565365581521,0.053543463441847905
1400,1,7,0.019174246575342464,VEV_6000,6000,5251.0,0.5,-0.1333409345723328,0.37736688141749436,0.37074013625907454,0.006626745158419822,0.4252447198896405,0.07475528011035948
1500,1,7,0.019173972602739727,VEV_6000,6000,5250.5,0.5,-0.133436159064144,0.3776111939735376,0.3671696317755676,0.010441562197969989,0.3861529688948586,0.11384703110514138
1600,1,7,0.019173698630136987,VEV_6000,6000,5250.5,0.5,-0.133436159064144,0.377613891794399,0.37241442896603405,0.005199462828364976,0.44063975255688703,0.05936024744311297
1700,1,7,0.019173424657534247,VEV_6000,6000,5251.5,0.5,-0.13324571914736202,0.3771333591999202,0.372686626450879,0.004446732749041171,0.44884728947683783,0.05115271052316217
1800,1,7,0.019173150684931507,VEV_6000,6000,5250.5,0.5,-0.133436159064144,0.3776192876096407,0.36704927740283433,0.010570010206806368,0.38488531309648266,0.11511468690351734
1900,1,7,0.019172876712328767,VEV_6000,6000,5250.5,0.5,-0.133436159064144,0.37762198560401883,0.3670518998835897,0.010570085720429112,0.3848853130742924,0.11511468692570759
2000,1,7,0.019172602739726027,VEV_6000,6000,5251.5,0.5,-0.13324571914736202,0.37714144285206436,0.3737942933962386,0.0033471494558257597,0.4611265273205376,0.038873472679462395
2100,1,7,0.019172328767123287,VEV_6000,6000,5250.0,0.5,-0.13353139262452263,0.37786901848445265,0.37182343321703376,0.006045585267418885,0.43152491409883,0.06847508590117002
