day,timestamp,fwd_u_5,fwd_u_20
1,4500,-2.5,-4.0
1,9600,-2.5,-5.0
1,11800,0.0,-3.0
1,14800,-1.0,-4.0
1,16700,1.0,-4.5
1,38500,2.0,2.0
1,40400,0.0,-2.0
1,43400,3.0,8.5
1,50700,1.5,2.0
1,52800,-2.0,-3.0
1,74100,4.0,3.0
1,85300,0.5,4.5
1,86100,-0.5,3.5
1,89800,0.0,-2.0
1,120300,3.0,6.5
1,127200,2.5,0.5
1,135900,-1.0,-5.5
1,145500,2.5,7.0
1,150600,0.5,-9.0
1,153000,-1.5,-3.0
1,170400,0.0,-1.0
1,170500,-1.5,1.0
1,172500,-2.5,-5.5
1,190100,-2.0,-1.5
1,195600,-2.0,1.0
1,235300,1.0,5.0
1,252500,0.0,0.0
1,304000,0.0,-1.5
1,310100,-2.0,-4.0
1,322000,1.0,2.0
1,322600,1.0,-4.0
1,350300,-1.0,-1.5
1,376600,3.5,2.0
1,377900,1.0,3.0
1,399700,1.0,5.0
1,410400,0.0,0.0
1,428000,-3.0,-2.0
1,437100,-2.0,5.0
1,455700,-0.5,-5.0
1,460400,2.0,6.0
1,476500,-0.5,-3.0
1,489700,1.5,5.0
1,502700,3.0,5.0
1,519500,2.0,0.0
1,524000,-1.5,-5.0
1,547600,1.0,2.5
1,548400,-3.0,-2.0
1,553100,-2.0,2.0
1,564300,0.5,4.5
1,567200,1.5,4.5
1,568900,-3.0,-2.0
1,574800,-0.5,1.0
1,575800,2.0,3.5
1,588200,0.0,-4.0
1,604600,-0.5,-4.5
1,617900,-1.5,0.0
1,618300,-1.0,-1.5
1,624400,-1.0,-7.0
1,631700,-2.0,-3.0
1,636100,-5.0,-11.0
1,642100,-1.0,-2.0
1,654200,2.0,-1.0
1,674000,3.0,5.0
1,684000,0.0,2.5
1,701200,-0.5,8.0
1,703200,3.0,3.5
1,710500,2.0,6.0
1,715000,2.5,2.0
1,720500,-1.0,-3.0
1,725000,-2.0,-8.0
1,735100,-3.0,-8.0
1,741900,-1.5,4.0
1,746300,-1.0,-4.5
1,754200,1.5,5.0
1,760000,-2.0,-4.0
1,785800,-1.5,4.0
1,798100,1.0,-4.0
1,800400,0.0,-5.5
1,801800,-3.0,-6.0
1,807800,1.5,-4.5
1,812600,-3.5,-6.0
1,813000,0.0,-4.0
1,824800,0.0,-4.0
1,851200,2.0,9.0
1,865400,-1.5,-5.5
1,868800,-3.5,-4.0
1,901100,2.5,7.5
1,921000,3.0,3.0
1,928400,-1.5,-9.0
1,937300,2.0,4.0
1,943100,-2.0,-1.0
1,948500,1.0,4.0
1,950300,2.0,7.0
1,988100,-0.5,4.0
1,990300,3.0,4.5
2,13100,-0.5,2.5
2,20900,0.5,-2.5
2,23500,1.5,2.5
2,29500,-2.0,-5.0
2,41900,3.0,0.0
2,42900,1.0,3.0
2,45100,-1.5,1.5
2,52900,0.5,-3.5
2,75200,0.0,-3.0
2,79300,-0.5,7.0
2,102600,-0.5,-3.5
2,105500,3.0,3.5
2,129700,0.5,2.5
2,169000,-1.0,-1.0
2,171800,-1.0,3.0
2,189100,1.5,2.0
2,204400,2.0,6.0
2,225500,-4.0,-4.0
2,239400,3.0,11.0
2,253000,-1.5,-2.0
2,268900,-2.0,-2.5
2,272000,-1.0,0.0
2,275200,-3.0,-5.0
2,287100,1.0,-3.0
2,287600,-1.0,-1.5
2,289300,1.0,-1.0
2,294600,3.5,4.5
2,316700,0.0,-6.0
2,317500,-2.0,0.0
2,320800,-1.0,1.0
2,321600,1.5,-0.5
2,341400,-1.0,2.0
2,347800,2.5,-0.5
2,350700,-7.5,-7.5
2,358500,-0.5,3.5
2,362600,1.0,-4.0
2,365600,-1.0,2.0
2,373800,1.5,3.0
2,376300,-3.0,-5.0
2,389000,-0.5,2.0
2,390300,2.5,6.0
2,398200,-2.5,1.0
2,410200,-2.0,-5.0
2,414900,0.0,9.0
2,415500,-0.5,5.0
2,423800,0.5,5.0
2,433100,-0.5,-1.5
2,443600,1.5,11.5
2,456200,0.5,3.0
2,461200,3.0,4.5
2,483400,-1.5,-3.5
2,495700,3.0,0.5
2,501900,1.5,-5.5
2,508800,-1.0,-0.5
2,519600,-1.0,-2.0
2,548600,-1.5,-0.5
2,554600,1.0,-1.0
2,555700,2.0,-3.0
2,566700,0.5,-1.0
2,575100,0.0,-7.0
2,587100,1.0,3.0
2,588500,2.5,-1.5
2,593000,0.5,3.0
2,604100,-1.0,7.0
2,622600,3.0,3.0
2,642400,-2.0,1.0
2,644500,-0.5,2.0
2,666500,0.0,5.5
2,688600,1.0,-2.0
2,691100,-1.0,1.0
2,695800,0.5,6.0
2,711900,-4.0,-7.0
2,726600,1.5,2.0
2,733200,0.0,-1.5
2,748500,3.0,1.0
2,763500,5.0,5.5
2,764000,-2.5,-2.0
2,779200,-1.5,-6.0
2,793900,-0.5,-1.0
2,808800,-4.5,-9.0
2,825900,-1.0,-3.5
2,826400,-1.0,-0.5
2,836300,-0.5,0.0
2,872600,0.0,-1.0
2,876500,0.0,7.0
2,898600,0.5,2.0
2,910900,-3.5,5.5
2,924200,-3.0,-6.0
2,934900,-2.0,-6.0
2,948000,-1.0,-2.0
2,948500,-1.5,-2.0
2,972800,-1.0,0.0
2,977300,0.0,1.0
2,977500,1.0,1.0
2,993800,1.5,9.0
3,32900,1.5,2.5
3,33600,2.0,-1.0
