tape_day,kind,k,symbol,fwd_mid
1,burst,5,VEV_5200,-1.0
1,burst,5,VEV_5300,-0.5
1,burst,20,VEV_5200,-1.0
1,burst,20,VEV_5300,-0.5
1,burst,100,VEV_5200,-11.0
1,burst,100,VEV_5300,-6.5
1,burst,5,VEV_5200,-0.5
1,burst,5,VEV_5300,-0.5
1,burst,20,VEV_5200,-2.0
1,burst,20,VEV_5300,-1.0
1,burst,100,VEV_5200,-9.0
1,burst,100,VEV_5300,-5.5
1,burst,5,VEV_5200,0.5
1,burst,5,VEV_5300,0.0
1,burst,20,VEV_5200,-1.0
1,burst,20,VEV_5300,-1.0
1,burst,100,VEV_5200,1.0
1,burst,100,VEV_5300,0.0
1,burst,5,VEV_5200,2.0
1,burst,5,VEV_5300,0.0
1,burst,20,VEV_5200,-1.0
1,burst,20,VEV_5300,-1.0
1,burst,100,VEV_5200,1.0
1,burst,100,VEV_5300,-1.0
1,burst,5,VEV_5200,0.0
1,burst,5,VEV_5300,0.0
1,burst,20,VEV_5200,0.0
1,burst,20,VEV_5300,-1.0
1,burst,100,VEV_5200,8.5
1,burst,100,VEV_5300,5.0
1,burst,5,VEV_5200,2.5
1,burst,5,VEV_5300,1.5
1,burst,20,VEV_5200,7.0
1,burst,20,VEV_5300,4.5
1,burst,100,VEV_5200,7.0
1,burst,100,VEV_5300,5.0
1,burst,5,VEV_5200,2.0
1,burst,5,VEV_5300,1.5
1,burst,20,VEV_5200,4.0
1,burst,20,VEV_5300,2.0
1,burst,100,VEV_5200,2.0
1,burst,100,VEV_5300,1.5
1,burst,5,VEV_5200,0.0
1,burst,5,VEV_5300,0.5
1,burst,20,VEV_5200,-1.0
1,burst,20,VEV_5300,-0.5
1,burst,100,VEV_5200,-1.0
1,burst,100,VEV_5300,-0.5
1,burst,5,VEV_5200,3.0
1,burst,5,VEV_5300,1.0
1,burst,20,VEV_5200,3.0
1,burst,20,VEV_5300,1.0
1,burst,100,VEV_5200,-1.5
1,burst,100,VEV_5300,-2.0
1,burst,5,VEV_5200,2.0
1,burst,5,VEV_5300,0.0
1,burst,20,VEV_5200,4.0
1,burst,20,VEV_5300,1.0
1,burst,100,VEV_5200,6.0
1,burst,100,VEV_5300,3.0
1,burst,5,VEV_5200,0.0
1,burst,5,VEV_5300,0.5
1,burst,20,VEV_5200,2.0
1,burst,20,VEV_5300,2.5
1,burst,100,VEV_5200,3.0
1,burst,100,VEV_5300,2.5
1,burst,5,VEV_5200,1.0
1,burst,5,VEV_5300,0.0
1,burst,20,VEV_5200,0.0
1,burst,20,VEV_5300,-1.0
1,burst,100,VEV_5200,4.0
1,burst,100,VEV_5300,1.0
1,burst,5,VEV_5200,3.0
1,burst,5,VEV_5300,2.5
1,burst,20,VEV_5200,5.0
1,burst,20,VEV_5300,4.0
1,burst,100,VEV_5200,4.0
1,burst,100,VEV_5300,3.5
1,burst,5,VEV_5200,1.5
1,burst,5,VEV_5300,0.0
1,burst,20,VEV_5200,-3.0
1,burst,20,VEV_5300,-2.0
1,burst,100,VEV_5200,0.0
1,burst,100,VEV_5300,-0.5
1,burst,5,VEV_5200,3.0
1,burst,5,VEV_5300,1.5
1,burst,20,VEV_5200,6.0
1,burst,20,VEV_5300,3.5
1,burst,100,VEV_5200,-7.0
1,burst,100,VEV_5300,-4.5
1,burst,5,VEV_5200,1.0
1,burst,5,VEV_5300,0.0
1,burst,20,VEV_5200,-5.0
1,burst,20,VEV_5300,-4.0
1,burst,100,VEV_5200,-7.0
1,burst,100,VEV_5300,-5.0
1,burst,5,VEV_5200,0.0
1,burst,5,VEV_5300,-0.5
1,burst,20,VEV_5200,-1.0
1,burst,20,VEV_5300,-0.5
1,burst,100,VEV_5200,-1.0
1,burst,100,VEV_5300,-0.5
1,burst,5,VEV_5200,1.0
1,burst,5,VEV_5300,0.5
1,burst,20,VEV_5200,0.5
1,burst,20,VEV_5300,0.5
1,burst,100,VEV_5200,-1.0
1,burst,100,VEV_5300,-0.5
1,burst,5,VEV_5200,-0.5
1,burst,5,VEV_5300,-1.0
1,burst,20,VEV_5200,0.0
1,burst,20,VEV_5300,0.0
1,burst,100,VEV_5200,-1.0
1,burst,100,VEV_5300,-1.0
1,burst,5,VEV_5200,-1.0
1,burst,5,VEV_5300,-1.0
1,burst,20,VEV_5200,-2.0
1,burst,20,VEV_5300,-2.0
1,burst,100,VEV_5200,-2.0
1,burst,100,VEV_5300,-2.0
1,burst,5,VEV_5200,0.0
1,burst,5,VEV_5300,-1.0
1,burst,20,VEV_5200,0.0
1,burst,20,VEV_5300,-1.0
1,burst,100,VEV_5200,1.5
