passive_party,aggressor_side,k,n,mean_fwd,med_fwd
Mark 49,sell_aggr,5,16,-2.15625,-2.25
Mark 22,sell_aggr,5,36,-1.375,-1.0
Mark 67,sell_aggr,5,1,-0.5,-0.5
Mark 14,sell_aggr,5,1124,-0.036476868327402136,0.0
Mark 01,buy_aggr,5,244,-0.0020491803278688526,0.0
Mark 14,buy_aggr,5,1045,0.025358851674641147,0.0
Mark 01,sell_aggr,5,1599,0.02782989368355222,0.0
Mark 49,buy_aggr,5,104,1.8461538461538463,2.0
Mark 22,buy_aggr,5,109,2.073394495412844,2.0
Mark 49,sell_aggr,20,16,-2.53125,-1.75
Mark 22,sell_aggr,20,36,-1.0555555555555556,0.75
Mark 14,sell_aggr,20,1124,-0.013345195729537367,0.0
Mark 01,buy_aggr,20,244,0.006147540983606557,0.0
Mark 01,sell_aggr,20,1599,0.008130081300813009,0.0
Mark 14,buy_aggr,20,1043,0.05321188878235858,0.5
Mark 49,buy_aggr,20,104,1.8317307692307692,2.0
Mark 22,buy_aggr,20,109,2.0,1.5
Mark 67,sell_aggr,20,1,7.0,7.0
Mark 49,sell_aggr,100,15,-4.5,-5.0
Mark 22,sell_aggr,100,36,-1.7361111111111112,0.25
Mark 01,buy_aggr,100,244,-0.17418032786885246,-0.5
Mark 01,sell_aggr,100,1587,-0.08632640201638311,0.0
Mark 14,sell_aggr,100,1116,0.022401433691756272,-1.0
Mark 14,buy_aggr,100,1036,0.026544401544401543,0.0
Mark 22,buy_aggr,100,108,1.5787037037037037,1.75
Mark 49,buy_aggr,100,103,1.8398058252427185,1.0
Mark 67,sell_aggr,100,1,19.0,19.0
