name,role,symbol,k,spread_regime,burst,n,mean_fwd_same,ci95_lo,ci95_hi,t_stat,frac_pos
Mark 67,buyer_any,VELVETFRUIT_EXTRACT,20,tight,0,163,1.852760736196319,1.2330521472392637,2.463266871165643,5.930265724683843,0.6503067484662577
Mark 67,buy_aggr,VELVETFRUIT_EXTRACT,20,tight,0,162,1.8209876543209877,1.2222222222222223,2.4228395061728394,5.822888939968094,0.6481481481481481
Mark 49,seller_any,VELVETFRUIT_EXTRACT,20,tight,0,105,1.7952380952380953,1.0714285714285714,2.5048809523809505,4.876686926034512,0.6761904761904762
Mark 22,seller_any,VELVETFRUIT_EXTRACT,20,tight,0,99,1.4696969696969697,0.5959595959595959,2.3686868686868685,3.2162400617210936,0.6262626262626263
Mark 14,seller_any,VELVETFRUIT_EXTRACT,20,wide,0,316,0.5427215189873418,0.10913765822784811,0.9699367088607594,2.4950569953044957,0.5126582278481012
Mark 55,buy_aggr,VELVETFRUIT_EXTRACT,20,tight,0,41,1.2560975609756098,0.036585365853658534,2.3902439024390243,2.0193361322183527,0.6341463414634146
Mark 55,buyer_any,VELVETFRUIT_EXTRACT,20,tight,0,41,1.2560975609756098,0.036585365853658534,2.3902439024390243,2.0193361322183527,0.6341463414634146
Mark 55,buy_aggr,VELVETFRUIT_EXTRACT,20,wide,0,550,0.3390909090909091,-0.004568181818181811,0.6709090909090909,1.9671559923156479,0.49818181818181817
Mark 55,buyer_any,VELVETFRUIT_EXTRACT,20,wide,0,550,0.3390909090909091,-0.004568181818181811,0.6709090909090909,1.9671559923156479,0.49818181818181817
Mark 55,sell_aggr,VELVETFRUIT_EXTRACT,20,tight,0,49,1.0204081632653061,-0.32653061224489793,2.336734693877551,1.50446832441579,0.6122448979591837
Mark 55,seller_any,VELVETFRUIT_EXTRACT,20,tight,0,49,1.0204081632653061,-0.32653061224489793,2.336734693877551,1.50446832441579,0.6122448979591837
Mark 01,buyer_any,VEV_5500,20,wide,1,281,0.03558718861209965,-0.010676156583629894,0.08362989323843416,1.4694933784613544,0.14590747330960854
Mark 22,buyer_any,VELVETFRUIT_EXTRACT,20,tight,0,25,1.14,-0.48,2.74,1.343098771807734,0.6
Mark 14,seller_any,VEV_4000,20,wide,0,177,0.3644067796610169,-0.20346045197740112,0.9209039548022598,1.2428084634742032,0.4971751412429379
Mark 38,buy_aggr,VEV_4000,20,wide,0,177,0.3644067796610169,-0.20346045197740112,0.9209039548022598,1.2428084634742032,0.4971751412429379
Mark 38,buyer_any,VEV_4000,20,wide,0,177,0.3644067796610169,-0.20346045197740112,0.9209039548022598,1.2428084634742032,0.4971751412429379
Mark 22,sell_aggr,VEV_5500,20,wide,1,287,0.024390243902439025,-0.02264808362369338,0.07317073170731707,0.9949191070967802,0.14285714285714285
Mark 22,seller_any,VEV_5500,20,wide,1,287,0.024390243902439025,-0.02264808362369338,0.07317073170731707,0.9949191070967802,0.14285714285714285
Mark 14,buyer_any,VEV_4000,20,tight,0,27,0.7962962962962963,-0.7962962962962963,2.4814814814814814,0.9282257173191428,0.48148148148148145
