name,role,symbol,k,spread_regime,burst,n,mean_fwd_same,ci95_lo,ci95_hi,t_stat,frac_pos
Mark 22,seller_any,VEV_5300,100,tight,1,37,1.2702702702702702,0.3783783783783784,2.176013513513509,2.7047326781436314,0.6756756756756757
Mark 01,buyer_any,VEV_5300,100,tight,1,24,1.1458333333333333,0.2708333333333333,1.9583333333333333,2.5757337791026713,0.75
Mark 22,sell_aggr,VEV_5300,100,tight,1,36,1.0833333333333333,0.2222222222222222,1.9305555555555556,2.4455651034944306,0.6666666666666666
Mark 14,seller_any,VELVETFRUIT_EXTRACT,100,wide,0,313,1.0335463258785942,0.0398162939297125,2.0144169329073476,2.0306799860464455,0.5175718849840255
Mark 49,seller_any,VELVETFRUIT_EXTRACT,100,tight,0,104,1.7836538461538463,-0.028846153846153848,3.5289663461538443,1.9798235804630602,0.5288461538461539
Mark 67,buyer_any,VELVETFRUIT_EXTRACT,100,tight,0,162,1.3703703703703705,-0.00949074074074066,2.808719135802468,1.8556055378442637,0.5370370370370371
Mark 67,buy_aggr,VELVETFRUIT_EXTRACT,100,tight,0,161,1.2608695652173914,-0.17725155279503096,2.7205745341614898,1.7157247970667557,0.5341614906832298
Mark 55,buy_aggr,VELVETFRUIT_EXTRACT,100,wide,0,547,0.49725776965265084,-0.27886197440585003,1.2724634369287011,1.2619646217614453,0.4990859232175503
Mark 55,buyer_any,VELVETFRUIT_EXTRACT,100,wide,0,547,0.49725776965265084,-0.27886197440585003,1.2724634369287011,1.2619646217614453,0.4990859232175503
Mark 22,buyer_any,VELVETFRUIT_EXTRACT,100,tight,0,25,2.2,-1.82,6.06,1.0753051227015626,0.52
Mark 14,seller_any,HYDROGEL_PACK,100,tight,0,21,3.0476190476190474,-2.142857142857143,8.785714285714286,1.072962715995637,0.5238095238095238
Mark 14,buyer_any,HYDROGEL_PACK,100,wide,0,472,0.8040254237288136,-0.8220603813559322,2.3835540254237277,0.9665057200295974,0.4915254237288136
Mark 38,sell_aggr,HYDROGEL_PACK,100,wide,0,472,0.8040254237288136,-0.8220603813559322,2.3835540254237277,0.9665057200295974,0.4915254237288136
Mark 38,seller_any,HYDROGEL_PACK,100,wide,0,472,0.8040254237288136,-0.8220603813559322,2.3835540254237277,0.9665057200295974,0.4915254237288136
Mark 14,buyer_any,VEV_4000,100,tight,0,27,1.537037037037037,-1.5555555555555556,4.648148148148148,0.917770544666346,0.5555555555555556
