name,role,symbol,k,spread_regime,burst,n,mean,median,t_stat,frac_pos
Mark 01,buyer_any,VELVETFRUIT_EXTRACT,5,tight,0,11.0,,,,
Mark 01,buyer_any,VELVETFRUIT_EXTRACT,5,wide,0,248.0,0.24193548387096775,0.0,1.7189248197696114,0.4838709677419355
Mark 01,buyer_any,VELVETFRUIT_EXTRACT,5,wide,1,1.0,,,,
Mark 01,buyer_any,VELVETFRUIT_EXTRACT,20,tight,0,11.0,,,,
Mark 01,buyer_any,VELVETFRUIT_EXTRACT,20,wide,0,248.0,-0.08266129032258064,-0.5,-0.30293107186469737,0.4435483870967742
Mark 01,buyer_any,VELVETFRUIT_EXTRACT,20,wide,1,1.0,,,,
Mark 01,buyer_any,VELVETFRUIT_EXTRACT,100,tight,0,11.0,,,,
Mark 01,buyer_any,VELVETFRUIT_EXTRACT,100,wide,0,248.0,-0.6834677419354839,-1.0,-1.1634040732876925,0.4596774193548387
Mark 01,buyer_any,VELVETFRUIT_EXTRACT,100,wide,1,1.0,,,,
Mark 01,buyer_any,VEV_5200,5,wide,1,11.0,,,,
Mark 01,buyer_any,VEV_5200,20,wide,1,11.0,,,,
Mark 01,buyer_any,VEV_5200,100,wide,1,11.0,,,,
Mark 01,buyer_any,VEV_5300,5,tight,1,24.0,-0.0625,-0.25,-0.5306907320287632,0.3333333333333333
Mark 01,buyer_any,VEV_5300,5,wide,0,1.0,,,,
Mark 01,buyer_any,VEV_5300,5,wide,1,107.0,-0.16355140186915887,0.0,-2.1791641936295107,0.2336448598130841
Mark 01,buyer_any,VEV_5300,20,tight,1,24.0,0.14583333333333334,0.25,0.589870237586616,0.5
Mark 01,buyer_any,VEV_5300,20,wide,0,1.0,,,,
Mark 01,buyer_any,VEV_5300,20,wide,1,107.0,-0.1822429906542056,-0.5,-1.078764914794925,0.37383177570093457
Mark 01,buyer_any,VEV_5300,100,tight,1,24.0,1.1458333333333333,1.25,2.5757337791026713,0.75
Mark 01,buyer_any,VEV_5300,100,wide,0,1.0,,,,
Mark 01,buyer_any,VEV_5300,100,wide,1,106.0,-0.2169811320754717,0.0,-0.6559099617455958,0.4339622641509434
Mark 01,buyer_any,VEV_5400,5,wide,0,4.0,,,,
Mark 01,buyer_any,VEV_5400,5,wide,1,259.0,-0.013513513513513514,0.0,-0.5727179164664113,0.16988416988416988
Mark 01,buyer_any,VEV_5400,20,wide,0,4.0,,,,
Mark 01,buyer_any,VEV_5400,20,wide,1,259.0,0.03667953667953668,0.0,0.7581638231538168,0.3088803088803089
Mark 01,buyer_any,VEV_5400,100,wide,0,3.0,,,,
Mark 01,buyer_any,VEV_5400,100,wide,1,257.0,0.01556420233463035,0.0,0.17039304580267248,0.42023346303501946
Mark 01,buyer_any,VEV_5500,5,wide,0,18.0,-0.05555555555555555,0.0,-0.9999999999999998,0.05555555555555555
Mark 01,buyer_any,VEV_5500,5,wide,1,281.0,-0.017793594306049824,0.0,-1.314765557117125,0.05693950177935943
Mark 01,buyer_any,VEV_5500,20,wide,0,18.0,-0.1388888888888889,0.0,-1.1578834165446659,0.1111111111111111
Mark 01,buyer_any,VEV_5500,20,wide,1,281.0,0.03558718861209965,0.0,1.4694933784613544,0.14590747330960854
Mark 01,buyer_any,VEV_5500,100,wide,0,18.0,-0.2222222222222222,0.0,-1.03482662399664,0.2222222222222222
Mark 01,buyer_any,VEV_5500,100,wide,1,279.0,-0.010752688172043012,0.0,-0.2572904136326413,0.24014336917562723
Mark 01,buyer_any,VEV_6000,5,wide,0,25.0,0.0,0.0,,0.0
Mark 01,buyer_any,VEV_6000,5,wide,1,292.0,0.0,0.0,,0.0
Mark 01,buyer_any,VEV_6000,20,wide,0,25.0,0.0,0.0,,0.0
Mark 01,buyer_any,VEV_6000,20,wide,1,292.0,0.0,0.0,,0.0
Mark 01,buyer_any,VEV_6000,100,wide,0,24.0,0.0,0.0,,0.0
