cross_target,name,role,symbol,k,spread_regime,burst,tape_day,n,mean,median,t_stat,frac_pos
HYDROGEL_PACK,Mark 01,buyer_any,VELVETFRUIT_EXTRACT,5,tight,0,1,6,1.6666666666666667,0.5,0.9349469900084572,0.5
HYDROGEL_PACK,Mark 01,buyer_any,VELVETFRUIT_EXTRACT,5,tight,0,2,5,-1.4,0.0,-0.6047078979069521,0.2
HYDROGEL_PACK,Mark 01,buyer_any,VELVETFRUIT_EXTRACT,5,wide,0,1,69,0.6086956521739131,1.0,1.2303425182436303,0.5942028985507246
HYDROGEL_PACK,Mark 01,buyer_any,VELVETFRUIT_EXTRACT,5,wide,0,2,86,-0.9069767441860465,-0.25,-1.920850524022095,0.4069767441860465
HYDROGEL_PACK,Mark 01,buyer_any,VELVETFRUIT_EXTRACT,5,wide,0,3,93,0.26881720430107525,0.0,0.6406777699525238,0.44086021505376344
HYDROGEL_PACK,Mark 01,buyer_any,VELVETFRUIT_EXTRACT,5,wide,1,1,1,,,,
HYDROGEL_PACK,Mark 01,buyer_any,VELVETFRUIT_EXTRACT,20,tight,0,1,6,4.25,6.25,1.2589714614588468,0.6666666666666666
HYDROGEL_PACK,Mark 01,buyer_any,VELVETFRUIT_EXTRACT,20,tight,0,2,5,-2.2,-6.0,-0.7572712299036658,0.2
HYDROGEL_PACK,Mark 01,buyer_any,VELVETFRUIT_EXTRACT,20,wide,0,1,69,-1.5942028985507246,0.0,-1.5777054765739469,0.4492753623188406
HYDROGEL_PACK,Mark 01,buyer_any,VELVETFRUIT_EXTRACT,20,wide,0,2,86,-1.058139534883721,-1.0,-1.1541669362793523,0.43023255813953487
HYDROGEL_PACK,Mark 01,buyer_any,VELVETFRUIT_EXTRACT,20,wide,0,3,93,-0.5268817204301075,-1.0,-0.5835192093909283,0.46236559139784944
HYDROGEL_PACK,Mark 01,buyer_any,VELVETFRUIT_EXTRACT,20,wide,1,1,1,,,,
HYDROGEL_PACK,Mark 01,buyer_any,VELVETFRUIT_EXTRACT,100,tight,0,1,6,-8.916666666666666,-10.5,-2.800126202959369,0.16666666666666666
HYDROGEL_PACK,Mark 01,buyer_any,VELVETFRUIT_EXTRACT,100,tight,0,2,5,1.6,4.0,0.35200985641397137,0.6
HYDROGEL_PACK,Mark 01,buyer_any,VELVETFRUIT_EXTRACT,100,wide,0,1,69,0.41304347826086957,3.0,0.1689939424201452,0.5362318840579711
HYDROGEL_PACK,Mark 01,buyer_any,VELVETFRUIT_EXTRACT,100,wide,0,2,86,-1.936046511627907,-3.75,-0.9953699299213757,0.4069767441860465
HYDROGEL_PACK,Mark 01,buyer_any,VELVETFRUIT_EXTRACT,100,wide,0,3,93,-1.2688172043010753,-1.5,-0.6001930380501421,0.43010752688172044
HYDROGEL_PACK,Mark 01,buyer_any,VELVETFRUIT_EXTRACT,100,wide,1,1,1,,,,
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5200,5,wide,1,3,11,-1.7727272727272727,-1.5,-1.775296710023419,0.36363636363636365
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5200,20,wide,1,3,11,-1.9545454545454546,-2.0,-0.7046908108944063,0.36363636363636365
