Mark_role,Mark,aggressor_bucket,K,n,mean_fwd_mid,median,t_vs_0,frac_pos
buyer,Mark 01,aggr_sell,20,1599,0.008130081300813009,0.0,0.17362836347130328,0.1882426516572858
seller,Mark 22,aggr_sell,20,1430,-0.025874125874125874,0.0,-0.9463529630528551,0.14965034965034965
buyer,Mark 14,aggr_sell,20,1124,-0.013345195729537367,0.0,-0.06866570424853544,0.45462633451957296
seller,Mark 14,aggr_buy,20,1045,0.04832535885167464,0.0,0.23595131242340567,0.4995215311004785
seller,Mark 38,aggr_sell,20,745,0.038926174496644296,0.0,0.1395451451156848,0.48590604026845635
buyer,Mark 38,aggr_buy,20,733,-0.14188267394270124,0.0,-0.5116104663773221,0.4924965893587995
seller,Mark 55,aggr_sell,20,600,-0.10583333333333333,0.0,-0.6181496555114884,0.43833333333333335
buyer,Mark 55,aggr_buy,20,598,0.4088628762541806,0.5,2.4788758254472882,0.5100334448160535
seller,Mark 01,aggr_buy,20,244,0.006147540983606557,0.0,0.02254841886603109,0.47540983606557374
buyer,Mark 67,aggr_buy,20,164,1.8140243902439024,1.5,5.86010068131766,0.6463414634146342
seller,Mark 22,aggr_buy,20,109,2.0,1.5,4.890884566364625,0.6330275229357798
seller,Mark 49,aggr_buy,20,104,1.8317307692307692,2.0,4.9525955625564935,0.6826923076923077
