Mark_role,Mark,aggressor_bucket,K,n,mean_fwd_mid,median,t_vs_0,frac_pos
buyer,Mark 01,aggr_sell,5,1599,0.02782989368355222,0.0,1.1749613081142094,0.1425891181988743
seller,Mark 22,aggr_sell,5,1430,-0.05944055944055944,0.0,-4.542192555778354,0.08111888111888112
buyer,Mark 14,aggr_sell,5,1124,-0.036476868327402136,0.0,-0.36351114281528635,0.42526690391459077
seller,Mark 14,aggr_buy,5,1045,0.025358851674641147,0.0,0.246689183248453,0.4660287081339713
seller,Mark 38,aggr_sell,5,745,-0.0348993288590604,0.0,-0.24278942862920416,0.45369127516778524
buyer,Mark 38,aggr_buy,5,733,-0.021828103683492497,0.0,-0.1579277360064345,0.4679399727148704
seller,Mark 55,aggr_sell,5,600,0.051666666666666666,0.0,0.5770292515005375,0.44333333333333336
buyer,Mark 55,aggr_buy,5,598,0.19899665551839466,0.0,2.2464782628170425,0.46488294314381273
seller,Mark 01,aggr_buy,5,244,-0.0020491803278688526,0.0,-0.015143055493129122,0.4180327868852459
buyer,Mark 67,aggr_buy,5,164,1.9603658536585367,2.0,13.025623326344341,0.8353658536585366
seller,Mark 22,aggr_buy,5,109,2.073394495412844,2.0,9.469098273305836,0.8532110091743119
seller,Mark 49,aggr_buy,5,104,1.8461538461538463,2.0,9.782143046421124,0.7884615384615384
