A,B,C,weight_prod
Mark 14,Mark 38,Mark 14,519792
Mark 38,Mark 14,Mark 38,519792
Mark 55,Mark 01,Mark 22,326716
Mark 55,Mark 14,Mark 38,240968
Mark 38,Mark 14,Mark 55,225624
Mark 14,Mark 55,Mark 14,104596
Mark 55,Mark 14,Mark 55,104596
Mark 01,Mark 55,Mark 14,86060
Mark 14,Mark 55,Mark 01,77104
Mark 01,Mark 55,Mark 01,63440
Mark 55,Mark 01,Mark 55,63440
Mark 38,Mark 14,Mark 22,59262
Mark 55,Mark 14,Mark 22,27473
Mark 01,Mark 22,Mark 55,24102
Mark 01,Mark 22,Mark 38,22763
Mark 14,Mark 38,Mark 22,13832
Mark 22,Mark 38,Mark 14,12138
Mark 01,Mark 22,Mark 49,9373
Mark 22,Mark 55,Mark 14,5958
Mark 14,Mark 55,Mark 22,4424
Mark 22,Mark 55,Mark 01,4392
Mark 01,Mark 55,Mark 22,3640
Mark 14,Mark 55,Mark 49,2844
Mark 01,Mark 55,Mark 49,2340
Mark 49,Mark 55,Mark 14,1655
Mark 14,Mark 22,Mark 55,1494
Mark 14,Mark 22,Mark 38,1411
Mark 67,Mark 22,Mark 55,1350
Mark 67,Mark 22,Mark 38,1275
Mark 49,Mark 55,Mark 01,1220
Mark 67,Mark 49,Mark 22,1068
Mark 14,Mark 22,Mark 49,581
Mark 67,Mark 22,Mark 49,525
Mark 67,Mark 49,Mark 55,445
Mark 38,Mark 22,Mark 55,342
Mark 67,Mark 55,Mark 14,331
Mark 22,Mark 38,Mark 22,323
Mark 38,Mark 22,Mark 38,323
Mark 22,Mark 55,Mark 22,252
Mark 55,Mark 22,Mark 55,252
Mark 67,Mark 55,Mark 01,244
Mark 55,Mark 22,Mark 38,238
Mark 49,Mark 22,Mark 55,216
Mark 49,Mark 22,Mark 38,204
Mark 22,Mark 55,Mark 49,162
Mark 38,Mark 22,Mark 49,133
Mark 55,Mark 49,Mark 22,108
Mark 55,Mark 22,Mark 49,98
Mark 49,Mark 22,Mark 49,84
Mark 22,Mark 49,Mark 22,84
