timestamp;true_fv;side;depth_slot;price;volume;offset_fv;offset_rf;offset_int;cross_label
0;10011.0000000000;bid;1;9992;23;-19.0000000000;-19;-19;bid_passive
0;10011.0000000000;ask;1;10011;13;0.0000000000;0;0;ask_at
100;10002.7031250000;bid;1;9995;15;-7.7031250000;-8;-8;bid_passive
100;10002.7031250000;bid;2;9992;21;-10.7031250000;-11;-11;bid_passive
100;10002.7031250000;ask;1;10013;21;10.2968750000;10;10;ask_passive
200;10002.2236328125;bid;1;9994;14;-8.2236328125;-8;-8;bid_passive
200;10002.2236328125;bid;2;9992;21;-10.2236328125;-10;-10;bid_passive
200;10002.2236328125;ask;1;10013;21;10.7763671875;11;11;ask_passive
300;10002.0117187500;bid;1;10000;4;-2.0117187500;-2;-2;bid_passive
300;10002.0117187500;bid;2;9994;15;-8.0117187500;-8;-8;bid_passive
300;10002.0117187500;bid;3;9992;26;-10.0117187500;-10;-10;bid_passive
300;10002.0117187500;ask;1;10010;15;7.9882812500;8;8;ask_passive
300;10002.0117187500;ask;2;10013;26;10.9882812500;11;11;ask_passive
400;10001.7412109375;bid;1;9994;10;-7.7412109375;-8;-8;bid_passive
400;10001.7412109375;bid;2;9991;26;-10.7412109375;-11;-11;bid_passive
400;10001.7412109375;ask;1;10010;10;8.2587890625;8;8;ask_passive
400;10001.7412109375;ask;2;10012;26;10.2587890625;10;10;ask_passive
500;10001.8828125000;bid;1;9994;13;-7.8828125000;-8;-8;bid_passive
500;10001.8828125000;bid;2;9991;23;-10.8828125000;-11;-11;bid_passive
500;10001.8828125000;ask;1;10010;13;8.1171875000;8;8;ask_passive
500;10001.8828125000;ask;2;10012;23;10.1171875000;10;10;ask_passive
600;10001.9121093750;bid;1;9994;15;-7.9121093750;-8;-8;bid_passive
600;10001.9121093750;ask;1;10010;15;8.0878906250;8;8;ask_passive
700;10001.5087890625;bid;1;9994;11;-7.5087890625;-8;-8;bid_passive
800;10001.0283203125;bid;1;9991;24;-10.0283203125;-10;-10;bid_passive
800;10001.0283203125;ask;1;10009;13;7.9716796875;8;8;ask_passive
800;10001.0283203125;ask;2;10012;24;10.9716796875;11;11;ask_passive
900;10000.3447265625;bid;1;9992;12;-8.3447265625;-8;-8;bid_passive
900;10000.3447265625;bid;2;9990;20;-10.3447265625;-10;-10;bid_passive
900;10000.3447265625;ask;1;10008;12;7.6552734375;8;8;ask_passive
900;10000.3447265625;ask;2;10011;20;10.6552734375;11;11;ask_passive
1000;10000.7392578125;bid;1;9993;14;-7.7392578125;-8;-8;bid_passive
1000;10000.7392578125;bid;2;9990;30;-10.7392578125;-11;-11;bid_passive
1000;10000.7392578125;ask;1;10011;30;10.2607421875;10;10;ask_passive
