timestamp,day,dte,dte_eff,t_years,voucher,K,S,mid,intrinsic,time_value,moneyness_K_over_S,log_moneyness,log_S_over_K,iv
58000,1,7,6.942,0.019019178082191782,VEV_5400,5400,5247.5,17.0,0.0,17.0,1.0290614578370654,0.0286471808575778,-0.028647180857577746,0.2307242377284742
284000,0,8,7.716,0.02113972602739726,VEV_5300,5300,5236.5,45.0,0.0,45.0,1.0121264203189153,0.01205348432701279,-0.012053484327012778,0.2368105633171482
210000,1,7,6.79,0.018602739726027398,VEV_5000,5000,5251.5,257.0,251.5,5.5,0.9521089212605922,-0.04907583764659263,0.049075837646592645,0.2461794368572666
684000,0,8,7.316,0.020043835616438355,VEV_4000,4000,5234.5,1234.5,1234.5,0.0,0.7641608558601586,-0.26897696765738194,0.26897696765738194,
348000,0,8,7.652,0.020964383561643835,VEV_5400,5400,5267.5,23.0,0.0,23.0,1.02515424774561,0.024843086874021706,-0.02484308687402164,0.22803871301351725
400000,0,8,7.6,0.020821917808219178,VEV_5400,5400,5259.5,21.0,0.0,21.0,1.0267135659283202,0.026362988373036956,-0.026362988373036977,0.22788264719836113
282000,2,6,5.718,0.015665753424657536,VEV_4500,4500,5268.0,768.0,768.0,0.0,0.8542141230068337,-0.1575733871047605,0.1575733871047606,
30000,1,7,6.97,0.019095890410958903,VEV_5300,5300,5240.5,45.0,0.0,45.0,1.011353878446713,0.01128990692998116,-0.011289906929981181,0.24372335179456595
118000,1,7,6.882,0.018854794520547943,VEV_5000,5000,5257.5,262.5,257.5,5.0,0.9510223490252021,-0.050217716160617404,0.050217716160617515,0.24348271173158773
434000,1,7,6.566,0.01798904109589041,VEV_5200,5200,5230.0,85.0,30.0,55.0,0.994263862332696,-0.005752652489449811,0.005752652489449841,0.2471585920128007
626000,0,8,7.374,0.020202739726027395,VEV_5000,5000,5219.5,229.0,219.5,9.5,0.9579461634256154,-0.042963699432115705,0.04296369943211572,0.24641362795702695
80000,2,6,5.92,0.016219178082191782,VEV_5500,5500,5259.5,6.5,0.0,6.5,1.045726780112178,0.04471212704123342,-0.04471212704123348,0.2527294756071549
604000,1,7,6.396,0.017523287671232877,VEV_5500,5500,5228.5,4.5,0.0,4.5,1.0519269388926078,0.05062366218191882,-0.05062366218191886,0.2458407784373263
714000,2,6,5.286,0.014482191780821916,VEV_6500,6500,5249.5,0.5,0.0,0.5,1.2382131631583961,0.21366934292873258,-0.2136693429287325,0.6589917154917478
696000,0,8,7.304,0.020010958904109588,VEV_5300,5300,5248.5,48.0,0.0,48.0,1.0098123273316186,0.009764499064360867,-0.00976449906436074,0.23784084404807654
480000,2,6,5.52,0.015123287671232876,VEV_5000,5000,5243.5,248.0,243.5,4.5,0.9535615523982073,-0.047551301858222414,0.04755130185822235,0.2545881000688973
918000,0,8,7.082,0.019402739726027397,VEV_5000,5000,5251.5,257.0,251.5,5.5,0.9521089212605922,-0.04907583764659263,0.049075837646592645,0.24105086701922301
198000,1,7,6.802,0.018635616438356165,VEV_5100,5100,5237.5,157.0,137.5,19.5,0.9737470167064439,-0.02660374551797602,0.026603745517975938,0.23789032504079483
