day,voucher,lag1_autocorr_price_dev,mean_abs_price_dev
0,VEV_4000,0.024054719152576017,0.9529135445079633
0,VEV_4500,-0.004814107530047422,0.4506124254085243
0,VEV_5000,0.03891075480848848,0.931226842852977
0,VEV_5100,0.1755662478389859,1.1899254622272355
0,VEV_5200,0.42313445518806764,1.6523771291065064
0,VEV_5300,0.2514202154133184,1.5198638671885203
0,VEV_5400,0.9058440175503482,2.230712957813949
0,VEV_5500,0.6033973701689134,0.5193065005782638
0,VEV_6000,0.5693216622320626,0.06800940420450437
0,VEV_6500,0.17777311718865832,0.019174914447960507
1,VEV_4000,0.007793227185708141,0.8154315105400016
1,VEV_4500,0.0404095672861261,0.39765376960955173
1,VEV_5000,0.127624363865135,0.7645758371191677
1,VEV_5100,0.14402653781646224,0.6641911976371249
1,VEV_5200,0.24417901729298538,2.495016003093901
1,VEV_5300,0.7041393158399231,2.7781076791080577
1,VEV_5400,0.37355870381417616,2.721576177928574
1,VEV_5500,0.36378050322346134,0.7140082773777549
1,VEV_6000,0.37452041542749037,0.1122913140943654
1,VEV_6500,0.09925993311922121,0.03280612807855967
2,VEV_4000,0.028760297832382428,0.7564385155959555
2,VEV_4500,0.049831212639473786,0.2918601071946133
2,VEV_5000,0.17467173774826383,0.504159653423542
2,VEV_5100,0.17847235038437526,0.781852082561992
2,VEV_5200,0.27729616512640637,1.8678100095332344
2,VEV_5300,0.36364439148043537,2.3750874395980475
2,VEV_5400,0.33975012617777617,2.7797130752065016
2,VEV_5500,0.3200322845198231,0.8658743606404783
2,VEV_6000,0.48489931291764554,0.1683964688837792
2,VEV_6500,0.2516113688043464,0.05646507745166429
