timestamp,buyer,seller,symbol,currency,price,quantity,day,product,is_burst,n_trades,ex_mid,fwd20_ex
4500,Mark 01,Mark 22,VEV_5400,XIRECS,18.0,2,1,VEV_5400,True,4,5254.5,-4.0
4500,Mark 01,Mark 22,VEV_5500,XIRECS,8.0,2,1,VEV_5500,True,4,5254.5,-4.0
4500,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,2,1,VEV_6000,True,4,5254.5,-4.0
4500,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,2,1,VEV_6500,True,4,5254.5,-4.0
9600,Mark 01,Mark 22,VEV_5400,XIRECS,16.0,4,1,VEV_5400,True,4,5246.5,-5.0
9600,Mark 01,Mark 22,VEV_5500,XIRECS,7.0,4,1,VEV_5500,True,4,5246.5,-5.0
9600,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,4,1,VEV_6000,True,4,5246.5,-5.0
9600,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,4,1,VEV_6500,True,4,5246.5,-5.0
11800,Mark 01,Mark 22,VEV_5500,XIRECS,7.0,4,1,VEV_5500,True,3,5241.5,-3.0
11800,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,4,1,VEV_6000,True,3,5241.5,-3.0
11800,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,4,1,VEV_6500,True,3,5241.5,-3.0
14800,Mark 01,Mark 22,VEV_5300,XIRECS,42.0,4,1,VEV_5300,True,6,5234.5,-4.0
14800,Mark 01,Mark 22,VEV_5400,XIRECS,14.0,4,1,VEV_5400,True,6,5234.5,-4.0
14800,Mark 01,Mark 22,VEV_5500,XIRECS,6.0,4,1,VEV_5500,True,6,5234.5,-4.0
14800,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,4,1,VEV_6000,True,6,5234.5,-4.0
14800,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,4,1,VEV_6500,True,6,5234.5,-4.0
16700,Mark 01,Mark 22,VEV_5300,XIRECS,41.0,2,1,VEV_5300,True,6,5231.5,-4.5
16700,Mark 01,Mark 22,VEV_5400,XIRECS,14.0,2,1,VEV_5400,True,6,5231.5,-4.5
16700,Mark 01,Mark 22,VEV_5500,XIRECS,6.0,2,1,VEV_5500,True,6,5231.5,-4.5
16700,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,2,1,VEV_6000,True,6,5231.5,-4.5
16700,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,2,1,VEV_6500,True,6,5231.5,-4.5
38500,Mark 01,Mark 22,VEV_5500,XIRECS,6.0,5,1,VEV_5500,True,3,5231.5,2.0
38500,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,5,1,VEV_6000,True,3,5231.5,2.0
38500,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,5,1,VEV_6500,True,3,5231.5,2.0
40400,Mark 01,Mark 22,VEV_5300,XIRECS,41.0,4,1,VEV_5300,True,5,5233.5,-2.0
40400,Mark 01,Mark 22,VEV_5400,XIRECS,14.0,4,1,VEV_5400,True,5,5233.5,-2.0
40400,Mark 01,Mark 22,VEV_5500,XIRECS,6.0,4,1,VEV_5500,True,5,5233.5,-2.0
40400,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,4,1,VEV_6000,True,5,5233.5,-2.0
40400,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,4,1,VEV_6500,True,5,5233.5,-2.0
43400,Mark 01,Mark 22,VEV_5400,XIRECS,13.0,5,1,VEV_5400,True,4,5231.5,8.5
43400,Mark 01,Mark 22,VEV_5500,XIRECS,6.0,5,1,VEV_5500,True,4,5231.5,8.5
43400,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,5,1,VEV_6000,True,4,5231.5,8.5
43400,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,5,1,VEV_6500,True,4,5231.5,8.5
50700,Mark 01,Mark 22,VEV_5400,XIRECS,16.0,5,1,VEV_5400,True,4,5244.0,2.0
50700,Mark 01,Mark 22,VEV_5500,XIRECS,7.0,5,1,VEV_5500,True,4,5244.0,2.0
