K,ts_density,product,n,mean,median,frac_pos,tstat_vs0,pvalue_vs0
5,burst_ge3,HYDROGEL_PACK,16,-0.21875,-1.0,0.3125,-0.25581997721559485,0.8015647600199995
5,burst_ge3,VELVETFRUIT_EXTRACT,14,0.32142857142857145,-0.25,0.42857142857142855,0.7350354176239547,0.4753697716518138
5,burst_ge3,VEV_5200,47,-0.1595744680851064,-0.5,0.3404255319148936,-1.0648351022185263,0.2925082065583882
5,burst_ge3,VEV_5300,162,-0.19444444444444445,0.0,0.24691358024691357,-3.1946348944233875,0.0016847544391147635
5,burst_ge3,VEV_5400,275,-0.03090909090909091,0.0,0.16363636363636364,-1.3172567025602882,0.18885307850890865
5,burst_ge3,VEV_5500,306,-0.026143790849673203,0.0,0.05555555555555555,-1.9207508139484648,0.05569523073793591
5,burst_ge3,VEV_6000,317,0.0,0.0,0.0,,
5,burst_ge3,VEV_6500,317,0.0,0.0,0.0,,
5,isolated,HYDROGEL_PACK,960,-0.009375,0.0,0.46458333333333335,-0.06625507942414821,0.9471885553635113
5,isolated,VELVETFRUIT_EXTRACT,1299,0.3144726712856043,0.0,0.4973056197074673,4.999798956199596,6.524174689227075e-07
5,isolated,VEV_4000,414,-0.030193236714975844,0.0,0.4492753623188406,-0.27775963635588496,0.7813358676005175
5,pair_n2,HYDROGEL_PACK,46,-0.9347826086956522,-1.0,0.43478260869565216,-1.5024396871637944,0.13996920360470086
5,pair_n2,VELVETFRUIT_EXTRACT,68,0.75,1.0,0.5441176470588235,2.9612553692391566,0.004235089085814113
5,pair_n2,VEV_4000,24,-0.20833333333333334,0.0,0.4166666666666667,-0.48122209842701386,0.6349052513825021
20,burst_ge3,HYDROGEL_PACK,16,-1.875,-1.5,0.375,-0.9019140889581286,0.3813568399777231
20,burst_ge3,VELVETFRUIT_EXTRACT,14,0.21428571428571427,0.25,0.5,0.23575824003302182,0.817293745410806
20,burst_ge3,VEV_5200,47,0.2978723404255319,0.0,0.48936170212765956,0.6110100926607787,0.544200522834987
20,burst_ge3,VEV_5300,162,-0.11728395061728394,0.0,0.3888888888888889,-0.9042526172616155,0.3672125313626924
20,burst_ge3,VEV_5400,275,0.02,0.0,0.3054545454545455,0.41965834169991967,0.6750639147666363
20,burst_ge3,VEV_5500,306,0.014705882352941176,0.0,0.14052287581699346,0.6103330614689869,0.5420956927644593
20,burst_ge3,VEV_6000,317,0.0,0.0,0.0,,
20,burst_ge3,VEV_6500,317,0.0,0.0,0.0,,
20,isolated,HYDROGEL_PACK,960,-0.03177083333333333,0.5,0.5041666666666667,-0.1144058100090686,0.9089400558769282
20,isolated,VELVETFRUIT_EXTRACT,1299,0.2821401077752117,0.0,0.49037721324095457,2.444765495556752,0.014626872594599499
20,isolated,VEV_4000,414,-0.012077294685990338,0.0,0.4613526570048309,-0.05678641751515196,0.9547427962472366
20,pair_n2,HYDROGEL_PACK,46,-1.2282608695652173,-1.5,0.391304347826087,-0.9081060112458078,0.36866000251471626
20,pair_n2,VELVETFRUIT_EXTRACT,68,1.4044117647058822,1.5,0.6029411764705882,2.7386377176843495,0.007896170925439212
20,pair_n2,VEV_4000,24,0.020833333333333332,0.0,0.4583333333333333,0.027309501613326816,0.9784484554430439
100,burst_ge3,HYDROGEL_PACK,16,-3.90625,-3.5,0.3125,-0.998569475466003,0.33384045752017355
100,burst_ge3,VELVETFRUIT_EXTRACT,14,2.75,3.0,0.5714285714285714,1.4160795773944874,0.1802641832010008
100,burst_ge3,VEV_5200,47,1.074468085106383,1.0,0.5957446808510638,1.148127000245496,0.2568519709199578
100,burst_ge3,VEV_5300,162,0.2716049382716049,0.5,0.5061728395061729,1.040246343440625,0.29978510580758033
100,burst_ge3,VEV_5400,275,-0.023636363636363636,0.0,0.41818181818181815,-0.2584751550465093,0.7962342731725088
100,burst_ge3,VEV_5500,306,-0.03104575163398693,0.0,0.23529411764705882,-0.7558480438580717,0.45032366044052985
100,burst_ge3,VEV_6000,317,0.0,0.0,0.0,,
100,burst_ge3,VEV_6500,317,0.0,0.0,0.0,,
100,isolated,HYDROGEL_PACK,960,-0.11875,0.0,0.4864583333333333,-0.2022502784717132,0.8397639650734589
100,isolated,VELVETFRUIT_EXTRACT,1299,-0.029638183217859892,-0.5,0.4765204003079292,-0.11734670833290584,0.9066034672476423
100,isolated,VEV_4000,414,-0.14251207729468598,0.0,0.46859903381642515,-0.3283835953795962,0.7427880732100796
100,pair_n2,HYDROGEL_PACK,46,3.369565217391304,0.5,0.5,1.173365062979031,0.24682277501143582
100,pair_n2,VELVETFRUIT_EXTRACT,68,0.3235294117647059,-0.5,0.45588235294117646,0.2665628573172529,0.790624443114682
100,pair_n2,VEV_4000,24,-3.1041666666666665,-3.5,0.2916666666666667,-1.6353033091450369,0.1155990440824448
