K,U,aggressor_side,product,spread_bucket,n,mean,median,tstat_vs0,pvalue_vs0,frac_pos,boot_mean_ci95_lo,boot_mean_ci95_hi
5,Mark 55,buyer,VELVETFRUIT_EXTRACT,mid,575,0.17043478260869566,0.0,1.8868885999235163,0.05967970462869507,0.4573913043478261,-0.013065217391304345,0.35304347826086957
5,Mark 55,seller,VELVETFRUIT_EXTRACT,mid,573,-0.0034904013961605585,0.0,-0.03863214193455705,0.9691971549646712,0.4328097731239092,-0.17284031413612563,0.17015706806282724
5,Mark 38,buyer,HYDROGEL_PACK,wide,515,-0.11941747572815534,0.0,-0.641889318935154,0.5212312028715663,0.458252427184466,-0.4835679611650485,0.25148058252427175
5,Mark 38,seller,HYDROGEL_PACK,wide,507,0.011834319526627219,0.0,0.059114740690595406,0.9528840563428606,0.4635108481262327,-0.40737179487179487,0.42815581854043316
5,Mark 22,seller,VEV_6000,tight,317,0.0,0.0,,,0.0,0.0,0.0
5,Mark 22,seller,VEV_6500,tight,317,0.0,0.0,,,0.0,0.0,0.0
5,Mark 22,seller,VEV_5500,tight,306,-0.026143790849673203,0.0,-1.9207508139484648,0.05569523073793591,0.05555555555555555,-0.05228758169934641,0.0
5,Mark 22,seller,VEV_5400,tight,275,-0.03090909090909091,0.0,-1.3172567025602882,0.18885307850890865,0.16363636363636364,-0.07818181818181819,0.012727272727272728
5,Mark 38,seller,VEV_4000,wide,233,-0.16952789699570817,0.0,-1.1630208076407231,0.2460159040074532,0.4248927038626609,-0.45493562231759654,0.10734978540772504
5,Mark 38,buyer,VEV_4000,wide,209,0.17464114832535885,0.0,1.1213823487176247,0.2634180922841329,0.4784688995215311,-0.14832535885167464,0.49049043062200925
5,Mark 67,buyer,VELVETFRUIT_EXTRACT,tight,164,1.9603658536585367,2.0,13.025623326344343,4.879834279966394e-27,0.8353658536585366,1.6554878048780488,2.2560975609756095
5,Mark 22,seller,VEV_5300,tight,160,-0.203125,0.0,-3.312706744344566,0.001143946341693498,0.2375,-0.328125,-0.08117187500000043
5,Mark 22,seller,VEV_5200,tight,44,-0.22727272727272727,-0.5,-1.5035884171827123,0.13999714971962596,0.3181818181818182,-0.5116477272727272,0.056818181818181816
20,Mark 55,buyer,VELVETFRUIT_EXTRACT,mid,575,0.35391304347826086,0.5,2.093807921501156,0.036715196346692194,0.5026086956521739,-0.0017608695652173902,0.6731739130434775
20,Mark 55,seller,VELVETFRUIT_EXTRACT,mid,573,-0.16666666666666666,0.0,-0.9668507979344555,0.3340272320747136,0.42757417102966844,-0.4974040139616056,0.1745636998254797
20,Mark 38,buyer,HYDROGEL_PACK,wide,515,-0.3271844660194175,0.0,-0.8696490053528441,0.3848981682501219,0.49514563106796117,-1.0728398058252426,0.39805825242718446
20,Mark 38,seller,HYDROGEL_PACK,wide,507,0.10157790927021697,0.0,0.26248040995489924,0.7930579153727672,0.4990138067061144,-0.6361193293885602,0.8747781065088757
20,Mark 22,seller,VEV_6000,tight,317,0.0,0.0,,,0.0,0.0,0.0
20,Mark 22,seller,VEV_6500,tight,317,0.0,0.0,,,0.0,0.0,0.0
20,Mark 22,seller,VEV_5500,tight,306,0.014705882352941176,0.0,0.6103330614689869,0.5420956927644593,0.14052287581699346,-0.03104575163398693,0.06045751633986928
20,Mark 22,seller,VEV_5400,tight,275,0.02,0.0,0.41965834169991967,0.6750639147666363,0.3054545454545455,-0.07095454545454545,0.11636363636363636
20,Mark 38,seller,VEV_4000,wide,233,-0.17381974248927037,0.0,-0.5942631335364991,0.5529151777928518,0.44635193133047213,-0.7446888412017166,0.4055793991416309
20,Mark 38,buyer,VEV_4000,wide,209,0.23444976076555024,0.0,0.8230388900782357,0.41142847815030303,0.48325358851674644,-0.29677033492822963,0.7776315789473678
20,Mark 67,buyer,VELVETFRUIT_EXTRACT,tight,164,1.8140243902439024,1.5,5.86010068131766,2.4905206350673142e-08,0.6463414634146342,1.1981707317073171,2.4208841463414625
20,Mark 22,seller,VEV_5300,tight,160,-0.14375,0.0,-1.1067249793822498,0.27008443446795927,0.38125,-0.39375,0.10625
20,Mark 22,seller,VEV_5200,tight,44,0.22727272727272727,-0.25,0.45017565512115065,0.6548453038268037,0.4772727272727273,-0.7954545454545454,1.1818181818181819
100,Mark 55,buyer,VELVETFRUIT_EXTRACT,mid,575,0.568695652173913,0.5,1.4817977638226834,0.13894286254446656,0.5026086956521739,-0.17478260869565218,1.2968260869565202
100,Mark 55,seller,VELVETFRUIT_EXTRACT,mid,573,-0.9685863874345549,-1.5,-2.5918325296934497,0.009790480047122022,0.4363001745200698,-1.6832678883071552,-0.21633944153577697
100,Mark 38,buyer,HYDROGEL_PACK,wide,515,-0.5854368932038835,0.0,-0.7256313171564358,0.46839506483396287,0.4854368932038835,-2.119490291262136,0.907014563106795
100,Mark 38,seller,HYDROGEL_PACK,wide,507,0.5522682445759369,-1.0,0.6860047284208192,0.49302432326718976,0.4832347140039448,-1.065310650887574,2.0552514792899403
100,Mark 22,seller,VEV_6000,tight,317,0.0,0.0,,,0.0,0.0,0.0
100,Mark 22,seller,VEV_6500,tight,317,0.0,0.0,,,0.0,0.0,0.0
100,Mark 22,seller,VEV_5500,tight,306,-0.03104575163398693,0.0,-0.7558480438580717,0.45032366044052985,0.23529411764705882,-0.10947712418300654,0.05065359477124183
100,Mark 22,seller,VEV_5400,tight,275,-0.023636363636363636,0.0,-0.2584751550465093,0.7962342731725088,0.41818181818181815,-0.20913636363636362,0.1509545454545452
100,Mark 38,seller,VEV_4000,wide,233,-0.07939914163090128,-1.0,-0.13421017578296765,0.8933527335196865,0.45064377682403434,-1.238412017167382,1.0259120171673812
100,Mark 38,buyer,VEV_4000,wide,209,-0.3229665071770335,0.0,-0.5275080862980429,0.5984030266996149,0.4784688995215311,-1.5767344497607656,0.8829545454545444
100,Mark 67,buyer,VELVETFRUIT_EXTRACT,tight,164,1.4603658536585367,1.0,1.9931684072091902,0.04791163459046129,0.5426829268292683,0.02728658536585367,2.8384146341463414
100,Mark 22,seller,VEV_5300,tight,160,0.190625,0.25,0.7396108769177279,0.4606267179724591,0.5,-0.303125,0.678125
100,Mark 22,seller,VEV_5200,tight,44,0.625,0.5,0.6621679449607971,0.5113970595542819,0.5681818181818182,-1.1144886363636362,2.4434659090909077
