V,moneyness_corr,mean_abs_delta,mean_vega
VEV_4500,-0.011937134418485684,0.9967833388985046,6.836523300883234
VEV_4000,-0.005087363795201673,0.9937622182159398,12.129341727116412
VEV_5000,-0.8307018046246241,0.9253983024112055,98.80809427370885
VEV_5100,-0.9228426872727648,0.818146537862261,184.40190809958486
VEV_5200,-0.9682889202914392,0.6248964840927427,264.21797301889336
VEV_5300,-0.9912677136427225,0.38764064438272633,266.87993199301656
VEV_5400,-0.9936617299935557,0.19543464222444693,192.78283349743154
VEV_5500,-0.9989863364875209,0.08635541805178092,110.30872222207198
VEV_6000,-1.0,0.0042937491727424336,8.883583086987072
VEV_6500,-1.0,0.00426793132371852,8.714649932050287
