voucher,ret_corr,avg_spread,avg_vega,vega_per_spread
VEV_5400,0.5400557171050352,1.3814333333333335,192.95016063429466,139.42257602335863
VEV_5300,0.6216719595262566,2.1068000000000002,266.82154582261575,126.53526082489878
VEV_5500,0.3478035822387325,1.1497666666666666,110.4465681803987,95.80259516410918
VEV_5200,0.7172852987012431,2.8881333333333337,263.7549385279478,91.26845383556936
VEV_5100,0.7653731242238736,4.295833333333333,183.8004753071542,42.78508322343897
VEV_5000,0.7536532395682599,6.043333333333334,98.3829947794422,16.306336209471684
VEV_6000,,1.0,8.876936184461075,8.876936184461075
VEV_6500,,1.0,8.71369063028667,8.71369063028667
VEV_4000,0.5948735058826039,20.813466666666667,12.153605969328893,0.5837571464550345
VEV_4500,0.5979132079646082,15.852666666666666,6.82720487128887,0.4308891612478538
