day;timestamp;mid_price;profit_and_loss;buy_price;true_fv
39;0;1267.5;0.0;1278.0;1278.0
39;100;1265.5;-12.3603515625;1278.0;1265.6396484375
39;200;1265.5;-12.1624755859375;1278.0;1265.8375244140625
39;300;1266.5;-11.7578125;1278.0;1266.2421875
39;400;1264.5;-13.2825927734375;1278.0;1264.7174072265625
39;500;1263.5;-14.79443359375;1278.0;1263.20556640625
39;600;1267.0;-16.0550537109375;1278.0;1261.9449462890625
39;700;1262.5;-15.468017578125;1278.0;1262.531982421875
39;800;1262.5;-15.2177734375;1278.0;1262.7822265625
39;900;1262.5;-15.1448974609375;1278.0;1262.8551025390625
39;1000;1262.5;-15.22509765625;1278.0;1262.77490234375
39;1100;1263.5;-14.27978515625;1278.0;1263.72021484375
39;1200;1262.5;-15.661865234375;1278.0;1262.338134765625
39;1300;1262.0;-15.921875;1278.0;1262.078125
39;1400;1264.0;-13.94482421875;1278.0;1264.05517578125
39;1500;1264.5;-13.2476806640625;1278.0;1264.7523193359375
39;1600;1264.5;-13.277587890625;1278.0;1264.722412109375
39;1700;1266.0;-11.984130859375;1278.0;1266.015869140625
39;1800;1265.5;-12.2415771484375;1278.0;1265.7584228515625
39;1900;1266.5;-11.6207275390625;1278.0;1266.3792724609375
39;2000;1268.5;-9.848876953125;1278.0;1268.151123046875
39;2100;1269.5;-8.6717529296875;1278.0;1269.3282470703125
39;2200;1268.5;-9.778076171875;1278.0;1268.221923828125
39;2300;1269.0;-9.0408935546875;1278.0;1268.9591064453125
39;2400;1270.5;-7.7689208984375;1278.0;1270.2310791015625
39;2500;1272.5;-5.7889404296875;1278.0;1272.2110595703125
39;2600;1272.5;-5.3526611328125;1278.0;1272.6473388671875
39;2700;1272.0;-5.996826171875;1278.0;1272.003173828125
39;2800;1271.5;-6.5621337890625;1278.0;1271.4378662109375
39;2900;1269.5;-8.5826416015625;1278.0;1269.4173583984375
39;3000;1270.5;-7.5767822265625;1278.0;1270.4232177734375
39;3100;1272.5;-5.7442626953125;1278.0;1272.2557373046875
39;3200;1273.0;-5.09814453125;1278.0;1272.90185546875
39;3300;1273.5;-4.3675537109375;1278.0;1273.6324462890625
39;3400;1274.5;-3.515380859375;1278.0;1274.484619140625
39;3500;1273.5;-4.7120361328125;1278.0;1273.2879638671875
39;3600;1274.0;-3.94384765625;1278.0;1274.05615234375
39;3700;1273.5;-4.586181640625;1278.0;1273.413818359375
39;3800;1274.0;-4.1246337890625;1278.0;1273.8753662109375
39;3900;1274.0;-4.090087890625;1278.0;1273.909912109375
39;4000;1273.0;-5.1815185546875;1278.0;1272.8184814453125
39;4100;1273.5;-4.2908935546875;1278.0;1273.7091064453125
39;4200;1274.5;-3.57275390625;1278.0;1274.42724609375
39;4300;1274.5;-3.624267578125;1278.0;1274.375732421875
