timestamp,day,dte,t_years,voucher,K,S,mid,log_S_over_K,iv,iv_fit,iv_res,theoretical_mid,price_dev
0,0,8,0.021917808219178082,VEV_5000,5000,5250.0,257.0,0.04879016416943205,0.23932914587232182,0.24638049702358128,-0.007051351151259461,257.8495015475537,-0.8495015475537002
100,0,8,0.021917534246575342,VEV_5000,5000,5250.5,258.0,0.04888539772981066,0.24387779498759993,0.25361671220884113,-0.009738917221241206,259.22071831217,-1.2207183121699927
200,0,8,0.021917260273972602,VEV_5000,5000,5250.5,257.0,0.04888539772981066,0.23533585243739108,0.24485513795513686,-0.00951928551774578,258.1184918609224,-1.1184918609224042
300,0,8,0.021916986301369863,VEV_5000,5000,5250.5,257.5,0.04888539772981066,0.23968136688469246,0.24721787880743118,-0.0075365119227387145,258.40876504932476,-0.9087650493247565
400,0,8,0.021916712328767123,VEV_5000,5000,5250.5,257.0,0.04888539772981066,0.2353387942642454,0.2448581987780878,-0.009519404513842394,258.11849186089967,-1.1184918608996668
500,0,8,0.021916438356164383,VEV_5000,5000,5249.5,257.0,0.0486949215387586,0.24318079158142933,0.2490610886683839,-0.005880297086954561,257.72828618929816,-0.72828618929816
600,0,8,0.021916164383561643,VEV_5000,5000,5248.5,256.0,0.048504409059615054,0.24247861074907237,0.24804600155904502,-0.00556739080997265,256.68998238028416,-0.6899823802841638
700,0,8,0.021915890410958903,VEV_5000,5000,5248.5,256.0,0.048504409059615054,0.24248012636828115,0.2480475519771851,-0.005567425608903942,256.6899823802614,-0.6899823802614264
800,0,8,0.021915616438356166,VEV_5000,5000,5247.5,255.0,0.048313860278550724,0.24177733400057885,0.24763476199511375,-0.005857427994534897,255.72798693816185,-0.7279869381618482
900,0,8,0.021915342465753426,VEV_5000,5000,5246.5,254.0,0.048123275181728174,0.2410739318146995,0.24729012749919732,-0.006216195684497827,254.77496920673366,-0.7749692067336582
1000,0,8,0.021915068493150683,VEV_5000,5000,5247.5,254.0,0.048313860278550724,0.2332825690257657,0.2421899357832441,-0.008907366757478413,255.04989173586364,-1.049891735863639
1100,0,8,0.021914794520547946,VEV_5000,5000,5248.5,256.0,0.048504409059615054,0.24248618912927233,0.2533867109667571,-0.010900521837484745,257.37674180178055,-1.376741801780554
1200,0,8,0.021914520547945206,VEV_5000,5000,5248.5,256.0,0.048504409059615054,0.2424877048905945,0.24805530450397761,-0.005567599613383101,256.6899823801414,-0.6899823801413731
1300,0,8,0.021914246575342466,VEV_5000,5000,5247.5,255.0,0.048313860278550724,0.24178489065215947,0.2486135910730778,-0.006828700420918321,255.85164961375813,-0.8516496137581271
1400,0,8,0.021913972602739726,VEV_5000,5000,5247.5,255.0,0.048313860278550724,0.2417864020675041,0.24764404974874876,-0.005857647681244665,255.7279869380145,-0.7279869380145101
