pair,symbol,joint_gate,near_01_22_basket,n,mean,med
Mark 38->Mark 14,HYDROGEL_PACK,False,False,491,-0.2535641547861507,-0.5
Mark 14->Mark 38,HYDROGEL_PACK,False,False,476,-0.15021008403361344,-0.5
Mark 55->Mark 14,VELVETFRUIT_EXTRACT,False,False,321,0.6152647975077882,1.0
Mark 14->Mark 55,VELVETFRUIT_EXTRACT,False,False,302,-0.2052980132450331,0.0
Mark 01->Mark 22,VEV_6500,False,True,274,0.40875912408759124,0.0
Mark 01->Mark 22,VEV_6000,False,True,274,0.40875912408759124,0.0
Mark 01->Mark 22,VEV_5500,False,True,268,0.43656716417910446,0.0
Mark 01->Mark 22,VEV_5400,False,True,256,0.3828125,0.0
Mark 01->Mark 55,VELVETFRUIT_EXTRACT,False,False,253,-0.017786561264822136,-0.5
Mark 55->Mark 01,VELVETFRUIT_EXTRACT,False,False,235,0.02127659574468085,0.0
Mark 14->Mark 38,VEV_4000,False,False,228,-0.17982456140350878,-0.5
Mark 38->Mark 14,VEV_4000,False,False,203,0.2857142857142857,0.0
Mark 01->Mark 22,VEV_5300,False,True,130,0.12692307692307692,0.0
Mark 67->Mark 49,VELVETFRUIT_EXTRACT,False,False,89,1.6348314606741574,1.5
Mark 67->Mark 22,VELVETFRUIT_EXTRACT,False,False,72,2.1041666666666665,1.5
Mark 01->Mark 22,VEV_6000,False,False,43,-0.5348837209302325,-0.5
Mark 01->Mark 22,VEV_6500,False,False,43,-0.5348837209302325,-0.5
Mark 01->Mark 22,VEV_5500,False,False,31,-0.7096774193548387,-1.5
Mark 14->Mark 22,VEV_5200,False,True,30,0.38333333333333336,-0.5
Mark 14->Mark 22,VEV_5300,False,True,24,-0.2708333333333333,-1.0
Mark 14->Mark 38,HYDROGEL_PACK,False,True,20,0.55,-0.5
Mark 22->Mark 55,VELVETFRUIT_EXTRACT,False,False,18,0.5277777777777778,0.75
Mark 38->Mark 14,HYDROGEL_PACK,False,True,16,1.125,0.25
Mark 14->Mark 55,VELVETFRUIT_EXTRACT,False,True,14,-0.9285714285714286,-1.5
Mark 55->Mark 22,VELVETFRUIT_EXTRACT,False,False,14,2.0357142857142856,1.5
Mark 49->Mark 22,VELVETFRUIT_EXTRACT,False,False,12,-2.7083333333333335,-2.75
Mark 01->Mark 22,VEV_5200,False,True,11,1.8636363636363635,1.0
Mark 22->Mark 38,HYDROGEL_PACK,False,False,11,0.45454545454545453,-0.5
Mark 55->Mark 14,VELVETFRUIT_EXTRACT,False,True,10,-0.7,-0.25
Mark 55->Mark 01,VELVETFRUIT_EXTRACT,False,True,9,-0.3888888888888889,1.5
Mark 55->Mark 49,VELVETFRUIT_EXTRACT,False,False,9,2.6666666666666665,4.0
Mark 38->Mark 22,HYDROGEL_PACK,False,False,8,-1.5,-2.25
Mark 14->Mark 22,VEV_5400,False,False,8,-2.9375,-3.75
Mark 01->Mark 22,VEV_5400,False,False,7,0.5,2.0
Mark 01->Mark 55,VELVETFRUIT_EXTRACT,False,True,7,0.8571428571428571,-1.0
Mark 22->Mark 49,VELVETFRUIT_EXTRACT,False,False,7,2.7142857142857144,3.0
Mark 14->Mark 22,VEV_5300,False,False,6,1.75,1.5
Mark 49->Mark 55,VELVETFRUIT_EXTRACT,False,False,5,-1.3,-1.0
Mark 14->Mark 22,VEV_5500,False,False,5,0.9,2.0
Mark 14->Mark 22,VEV_5400,False,True,5,3.0,1.5
Mark 14->Mark 38,VEV_4000,False,True,4,-1.875,-4.0
Mark 14->Mark 22,VEV_5200,False,False,3,0.0,-2.5
Mark 67->Mark 22,VELVETFRUIT_EXTRACT,False,True,3,0.16666666666666666,-1.0
Mark 14->Mark 22,VEV_5500,False,True,2,1.0,1.0
Mark 01->Mark 22,VEV_5300,False,False,2,-5.5,-5.5
Mark 38->Mark 14,VEV_4000,False,True,2,3.0,3.0
Mark 38->Mark 22,VEV_5100,False,True,2,-0.5,-0.5
Mark 38->Mark 22,VEV_5200,False,True,2,-0.5,-0.5
Mark 38->Mark 22,VEV_5000,False,True,2,-0.5,-0.5
Mark 38->Mark 22,VEV_4500,False,True,2,-0.5,-0.5
Mark 38->Mark 22,VEV_4000,False,True,2,-0.5,-0.5
Mark 22->Mark 38,VEV_5000,False,False,1,6.0,6.0
Mark 22->Mark 38,VEV_5100,False,False,1,6.0,6.0
Mark 22->Mark 38,VEV_4500,False,False,1,6.0,6.0
Mark 22->Mark 38,VEV_4000,False,False,1,6.0,6.0
Mark 22->Mark 38,VEV_5200,False,False,1,6.0,6.0
Mark 22->Mark 38,VEV_5300,False,False,1,6.0,6.0
Mark 38->Mark 22,VEV_5300,False,True,1,5.0,5.0
Mark 67->Mark 55,VELVETFRUIT_EXTRACT,False,False,1,7.0,7.0
