aggressor,buyer,seller,n,mean_fwd_same_k20,median_fwd
aggr_sell,Mark 49,Mark 22,11,-3.090909090909091,-6.0
aggr_sell,Mark 22,Mark 38,17,-2.676470588235294,1.0
aggr_sell,Mark 14,Mark 55,316,-0.23734177215189872,0.0
aggr_buy,Mark 38,Mark 14,714,-0.19607843137254902,0.0
aggr_sell,Mark 14,Mark 22,80,-0.18125,-0.5
aggr_sell,Mark 01,Mark 55,260,0.0057692307692307696,-0.5
aggr_buy,Mark 55,Mark 01,244,0.006147540983606557,0.0
aggr_sell,Mark 01,Mark 22,1339,0.008588498879761016,0.0
aggr_sell,Mark 14,Mark 38,728,0.10233516483516483,0.0
aggr_sell,Mark 22,Mark 55,18,0.5277777777777778,0.75
aggr_buy,Mark 55,Mark 14,331,0.5755287009063444,0.5
aggr_buy,Mark 67,Mark 49,89,1.6348314606741574,1.5
aggr_buy,Mark 38,Mark 22,19,1.894736842105263,2.5
aggr_buy,Mark 67,Mark 22,75,2.026666666666667,1.5
aggr_buy,Mark 55,Mark 22,14,2.0357142857142856,1.5
