participant,side_role,aggressor_filter,K,symbol,spread_regime,burst_only,n,mean,median,frac_pos,t_stat
Mark 55,seller,all,5,VELVETFRUIT_EXTRACT,all,False,571.0,0.049912434325744305,0.0,0.44308231173380036,0.5440543103046791
Mark 55,seller,aggr_sell,5,VELVETFRUIT_EXTRACT,all,False,571.0,0.049912434325744305,0.0,0.44308231173380036,0.5440543103046791
Mark 55,seller,all,20,VELVETFRUIT_EXTRACT,all,False,571.0,-0.07180385288966724,0.0,0.44308231173380036,-0.4074151630310881
Mark 55,seller,aggr_sell,20,VELVETFRUIT_EXTRACT,all,False,571.0,-0.07180385288966724,0.0,0.44308231173380036,-0.4074151630310881
Mark 55,seller,all,100,VELVETFRUIT_EXTRACT,all,False,571.0,-0.7898423817863398,-1.0,0.44658493870402804,-2.1064520320229665
Mark 55,seller,aggr_sell,100,VELVETFRUIT_EXTRACT,all,False,571.0,-0.7898423817863398,-1.0,0.44658493870402804,-2.1064520320229665
Mark 55,buyer,all,20,VELVETFRUIT_EXTRACT,all,False,570.0,0.3815789473684211,0.5,0.5052631578947369,2.2464859025036943
Mark 55,buyer,aggr_buy,20,VELVETFRUIT_EXTRACT,all,False,570.0,0.3815789473684211,0.5,0.5052631578947369,2.2464859025036943
Mark 55,buyer,all,5,VELVETFRUIT_EXTRACT,all,False,570.0,0.1912280701754386,0.0,0.4649122807017544,2.0819714262187774
Mark 55,buyer,aggr_buy,5,VELVETFRUIT_EXTRACT,all,False,570.0,0.1912280701754386,0.0,0.4649122807017544,2.0819714262187774
Mark 55,buyer,all,100,VELVETFRUIT_EXTRACT,all,False,570.0,0.3868421052631579,0.0,0.49473684210526314,1.0082919810841762
Mark 55,buyer,aggr_buy,100,VELVETFRUIT_EXTRACT,all,False,570.0,0.3868421052631579,0.0,0.49473684210526314,1.0082919810841762
Mark 55,seller,all,5,VELVETFRUIT_EXTRACT,tight,False,489.0,0.03374233128834356,0.0,0.4294478527607362,0.34234548694118816
Mark 55,seller,aggr_sell,5,VELVETFRUIT_EXTRACT,tight,False,489.0,0.03374233128834356,0.0,0.4294478527607362,0.34234548694118816
