participant,side_role,aggressor_filter,K,symbol,spread_regime,burst_only,n,mean,median,frac_pos,t_stat,abs_t
Mark 67,buyer,aggr_buy,5,VELVETFRUIT_EXTRACT,all,False,161.0,1.9906832298136645,2.0,0.84472049689441,13.11780978467523,13.11780978467523
Mark 67,buyer,aggr_buy,5,VELVETFRUIT_EXTRACT,tight,False,161.0,1.9906832298136645,2.0,0.84472049689441,13.11780978467523,13.11780978467523
Mark 67,buyer,all,5,VELVETFRUIT_EXTRACT,tight,False,162.0,1.9753086419753085,2.0,0.8395061728395061,13.030065309864778,13.030065309864778
Mark 67,buyer,all,5,VELVETFRUIT_EXTRACT,all,False,162.0,1.9753086419753085,2.0,0.8395061728395061,13.030065309864778,13.030065309864778
Mark 22,seller,aggr_buy,5,VELVETFRUIT_EXTRACT,all,False,86.0,2.0872093023255816,2.0,0.8837209302325582,10.353241364679736,10.353241364679736
Mark 22,seller,aggr_buy,5,VELVETFRUIT_EXTRACT,tight,False,86.0,2.0872093023255816,2.0,0.8837209302325582,10.353241364679736,10.353241364679736
Mark 49,seller,aggr_buy,5,VELVETFRUIT_EXTRACT,all,False,104.0,1.8461538461538463,2.0,0.7884615384615384,9.782143046421124,9.782143046421124
Mark 49,seller,aggr_buy,5,VELVETFRUIT_EXTRACT,tight,False,104.0,1.8461538461538463,2.0,0.7884615384615384,9.782143046421124,9.782143046421124
Mark 49,seller,all,5,VELVETFRUIT_EXTRACT,all,False,105.0,1.819047619047619,2.0,0.780952380952381,9.63090606602775,9.63090606602775
Mark 49,seller,all,5,VELVETFRUIT_EXTRACT,tight,False,105.0,1.819047619047619,2.0,0.780952380952381,9.63090606602775,9.63090606602775
Mark 22,seller,all,5,VELVETFRUIT_EXTRACT,all,False,97.0,1.5824742268041236,1.5,0.8041237113402062,6.3581441149482645,6.3581441149482645
Mark 22,seller,all,5,VELVETFRUIT_EXTRACT,tight,False,97.0,1.5824742268041236,1.5,0.8041237113402062,6.3581441149482645,6.3581441149482645
Mark 67,buyer,all,20,VELVETFRUIT_EXTRACT,tight,False,162.0,1.873456790123457,1.5,0.654320987654321,5.972726257208577,5.972726257208577
