motif,K,day,n,mean_fwd_extract
Mark 01->Mark 55->Mark 01,5,1,7,-0.6428571428571429
Mark 01->Mark 55->Mark 01,5,2,5,-0.6
Mark 01->Mark 55->Mark 01,5,3,5,0.1
Mark 01->Mark 55->Mark 01,20,1,7,-1.1428571428571428
Mark 01->Mark 55->Mark 01,20,2,5,-2.3
Mark 01->Mark 55->Mark 01,20,3,5,-0.1
Mark 01->Mark 55->Mark 01,100,1,7,2.0714285714285716
Mark 01->Mark 55->Mark 01,100,2,5,-2.8
Mark 01->Mark 55->Mark 01,100,3,5,-2.7
Mark 01->Mark 55->Mark 14,5,1,6,0.5
Mark 01->Mark 55->Mark 14,5,2,8,-0.625
Mark 01->Mark 55->Mark 14,5,3,9,1.1666666666666667
Mark 01->Mark 55->Mark 14,20,1,6,1.5833333333333333
Mark 01->Mark 55->Mark 14,20,2,8,-0.125
Mark 01->Mark 55->Mark 14,20,3,9,2.1666666666666665
Mark 01->Mark 55->Mark 14,100,1,6,-3.75
Mark 01->Mark 55->Mark 14,100,2,8,2.0
Mark 01->Mark 55->Mark 14,100,3,9,5.5
Mark 14->Mark 38->Mark 14,5,1,63,0.20634920634920634
Mark 14->Mark 38->Mark 14,5,2,44,0.056818181818181816
Mark 14->Mark 38->Mark 14,5,3,58,0.29310344827586204
Mark 14->Mark 38->Mark 14,20,1,63,-0.373015873015873
Mark 14->Mark 38->Mark 14,20,2,44,0.5
Mark 14->Mark 38->Mark 14,20,3,58,-0.14655172413793102
Mark 14->Mark 38->Mark 14,100,1,63,-0.9126984126984127
Mark 14->Mark 38->Mark 14,100,2,44,1.1477272727272727
Mark 14->Mark 38->Mark 14,100,3,58,-1.043103448275862
Mark 14->Mark 55->Mark 01,5,1,5,-1.3
Mark 14->Mark 55->Mark 01,5,2,11,-0.45454545454545453
Mark 14->Mark 55->Mark 01,5,3,7,-1.0
Mark 14->Mark 55->Mark 01,20,1,5,-4.3
Mark 14->Mark 55->Mark 01,20,2,11,-0.6818181818181818
Mark 14->Mark 55->Mark 01,20,3,7,-2.0
Mark 14->Mark 55->Mark 01,100,1,5,-6.6
Mark 14->Mark 55->Mark 01,100,2,11,-4.954545454545454
Mark 14->Mark 55->Mark 01,100,3,7,-3.642857142857143
Mark 14->Mark 55->Mark 14,5,1,9,1.1111111111111112
Mark 14->Mark 55->Mark 14,5,2,7,-0.14285714285714285
Mark 14->Mark 55->Mark 14,5,3,10,-0.2
Mark 14->Mark 55->Mark 14,20,1,9,1.1111111111111112
Mark 14->Mark 55->Mark 14,20,2,7,0.9285714285714286
Mark 14->Mark 55->Mark 14,20,3,10,-1.95
Mark 14->Mark 55->Mark 14,100,1,9,4.611111111111111
Mark 14->Mark 55->Mark 14,100,2,7,-0.42857142857142855
Mark 14->Mark 55->Mark 14,100,3,10,-4.1
Mark 38->Mark 14->Mark 22,5,2,9,-0.5555555555555556
Mark 38->Mark 14->Mark 22,5,3,8,0.25
Mark 38->Mark 14->Mark 22,20,2,9,3.0555555555555554
Mark 38->Mark 14->Mark 22,20,3,8,-0.375
Mark 38->Mark 14->Mark 22,100,2,9,2.388888888888889
Mark 38->Mark 14->Mark 22,100,3,8,-2.1875
Mark 38->Mark 14->Mark 38,5,1,65,0.2076923076923077
Mark 38->Mark 14->Mark 38,5,2,42,-0.5714285714285714
Mark 38->Mark 14->Mark 38,5,3,53,-0.03773584905660377
Mark 38->Mark 14->Mark 38,20,1,65,0.13846153846153847
Mark 38->Mark 14->Mark 38,20,2,42,-0.9166666666666666
Mark 38->Mark 14->Mark 38,20,3,53,-1.179245283018868
Mark 38->Mark 14->Mark 38,100,1,65,0.34615384615384615
Mark 38->Mark 14->Mark 38,100,2,42,-0.36904761904761907
Mark 38->Mark 14->Mark 38,100,3,53,-2.80188679245283
Mark 38->Mark 14->Mark 55,5,1,29,-0.15517241379310345
Mark 38->Mark 14->Mark 55,5,2,22,0.06818181818181818
Mark 38->Mark 14->Mark 55,5,3,24,-0.3125
Mark 38->Mark 14->Mark 55,20,1,29,-0.5862068965517241
Mark 38->Mark 14->Mark 55,20,2,22,0.5227272727272727
Mark 38->Mark 14->Mark 55,20,3,24,-0.6041666666666666
Mark 38->Mark 14->Mark 55,100,1,29,-0.8793103448275862
Mark 38->Mark 14->Mark 55,100,2,22,-2.3181818181818183
Mark 38->Mark 14->Mark 55,100,3,24,-1.125
Mark 55->Mark 01->Mark 22,5,1,5,0.3
Mark 55->Mark 01->Mark 22,5,2,7,0.14285714285714285
Mark 55->Mark 01->Mark 22,5,3,13,0.34615384615384615
Mark 55->Mark 01->Mark 22,20,1,5,-1.1
Mark 55->Mark 01->Mark 22,20,2,7,1.0
Mark 55->Mark 01->Mark 22,20,3,13,0.19230769230769232
Mark 55->Mark 01->Mark 22,100,1,5,-2.5
Mark 55->Mark 01->Mark 22,100,2,7,-0.07142857142857142
Mark 55->Mark 01->Mark 22,100,3,13,1.5
Mark 55->Mark 01->Mark 55,5,1,6,0.0
Mark 55->Mark 01->Mark 55,5,2,11,-0.3181818181818182
Mark 55->Mark 01->Mark 55,5,3,6,0.08333333333333333
Mark 55->Mark 01->Mark 55,20,1,6,-1.3333333333333333
Mark 55->Mark 01->Mark 55,20,2,11,-2.272727272727273
Mark 55->Mark 01->Mark 55,20,3,6,-1.3333333333333333
Mark 55->Mark 01->Mark 55,100,1,6,-2.9166666666666665
Mark 55->Mark 01->Mark 55,100,2,11,-5.818181818181818
Mark 55->Mark 01->Mark 55,100,3,6,-4.416666666666667
Mark 55->Mark 14->Mark 22,5,3,8,-0.4375
Mark 55->Mark 14->Mark 22,20,3,8,0.5
Mark 55->Mark 14->Mark 22,100,3,8,3.8125
Mark 55->Mark 14->Mark 38,5,1,24,-0.4583333333333333
Mark 55->Mark 14->Mark 38,5,2,27,-0.25925925925925924
Mark 55->Mark 14->Mark 38,5,3,18,-0.75
Mark 55->Mark 14->Mark 38,20,1,24,0.25
Mark 55->Mark 14->Mark 38,20,2,27,-0.42592592592592593
Mark 55->Mark 14->Mark 38,20,3,18,-0.7777777777777778
Mark 55->Mark 14->Mark 38,100,1,24,3.2083333333333335
Mark 55->Mark 14->Mark 38,100,2,27,-0.2037037037037037
Mark 55->Mark 14->Mark 38,100,3,18,0.3055555555555556
Mark 55->Mark 14->Mark 55,5,1,8,-0.5
Mark 55->Mark 14->Mark 55,5,2,12,-0.3333333333333333
Mark 55->Mark 14->Mark 55,5,3,12,0.7916666666666666
Mark 55->Mark 14->Mark 55,20,1,8,1.625
Mark 55->Mark 14->Mark 55,20,2,12,-0.9166666666666666
Mark 55->Mark 14->Mark 55,20,3,12,0.9166666666666666
Mark 55->Mark 14->Mark 55,100,1,8,2.5
Mark 55->Mark 14->Mark 55,100,2,12,-4.083333333333333
