buyer,seller,count,notional,count_rev,notional_rev,reciprocity_ratio
Mark 01,Mark 22,1339,32427.0,0,0.0,0.0
Mark 14,Mark 38,728,20434344.0,714,20850351.0,0.9807692307692307
Mark 38,Mark 14,714,20850351.0,728,20434344.0,1.0196078431372548
Mark 55,Mark 14,331,9254679.0,316,9235831.0,0.9546827794561934
Mark 14,Mark 55,316,9235831.0,331,9254679.0,1.0474683544303798
Mark 01,Mark 55,260,7432924.0,244,7220079.0,0.9384615384615385
Mark 55,Mark 01,244,7220079.0,260,7432924.0,1.0655737704918034
Mark 67,Mark 49,89,5056558.0,0,0.0,0.0
Mark 14,Mark 22,83,14577.0,0,0.0,0.0
Mark 67,Mark 22,75,2864651.0,0,0.0,0.0
Mark 38,Mark 22,19,327140.0,17,427078.0,0.8947368421052632
Mark 22,Mark 55,18,482557.0,14,325980.0,0.7777777777777778
Mark 22,Mark 38,17,427078.0,19,327140.0,1.1176470588235294
Mark 55,Mark 22,14,325980.0,18,482557.0,1.2857142857142858
Mark 49,Mark 22,12,467190.0,7,283215.0,0.5833333333333334
Mark 55,Mark 49,9,283190.0,5,136283.0,0.5555555555555556
Mark 22,Mark 49,7,283215.0,12,467190.0,1.7142857142857142
Mark 49,Mark 55,5,136283.0,9,283190.0,1.8
Mark 67,Mark 55,1,5241.0,0,0.0,0.0
