day,timestamp,symbol,buyer,seller,pair,aggressor,burst,session_bin,spread_regime,K,fwd_same,fwd_VELVETFRUIT_EXTRACT,fwd_HYDROGEL_PACK,cell_mean_fwd,cell_n,residual_fwd
1,4500,VEV_5400,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,5,-0.5,-2.5,-2.0,0.018779342723004695,213,-0.5187793427230047
1,4500,VEV_5400,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,20,-0.5,-4.0,-23.5,0.08685446009389672,213,-0.5868544600938967
1,4500,VEV_5400,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,100,-3.5,-20.0,-7.0,0.1267605633802817,213,-3.6267605633802815
1,4500,VEV_5500,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,5,0.0,-2.5,-2.0,-0.01060070671378092,283,0.01060070671378092
1,4500,VEV_5500,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,20,-0.5,-4.0,-23.5,0.03180212014134275,283,-0.5318021201413428
1,4500,VEV_5500,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,100,-2.0,-20.0,-7.0,-0.012367491166077738,283,-1.9876325088339222
1,4500,VEV_6000,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,5,0.0,-2.5,-2.0,0.0,317,0.0
1,4500,VEV_6000,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,20,0.0,-4.0,-23.5,0.0,317,0.0
1,4500,VEV_6000,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,100,0.0,-20.0,-7.0,0.0,317,0.0
1,4500,VEV_6500,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,5,0.0,-2.5,-2.0,0.0,317,0.0
1,4500,VEV_6500,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,20,0.0,-4.0,-23.5,0.0,317,0.0
1,4500,VEV_6500,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,100,0.0,-20.0,-7.0,0.0,317,0.0
1,5100,HYDROGEL_PACK,Mark 38,Mark 22,Mark 38->Mark 22,aggr_buy,False,0,tight,5,-4.0,1.0,-4.0,3.1875,8,-7.1875
1,5100,HYDROGEL_PACK,Mark 38,Mark 22,Mark 38->Mark 22,aggr_buy,False,0,tight,20,-7.0,-3.5,-7.0,1.3125,8,-8.3125
1,5100,HYDROGEL_PACK,Mark 38,Mark 22,Mark 38->Mark 22,aggr_buy,False,0,tight,100,1.0,-17.5,1.0,-5.1875,8,6.1875
1,5300,VEV_4000,Mark 38,Mark 14,Mark 38->Mark 14,aggr_buy,False,0,tight,5,0.0,0.0,-11.0,0.11282051282051282,195,-0.11282051282051282
1,5300,VEV_4000,Mark 38,Mark 14,Mark 38->Mark 14,aggr_buy,False,0,tight,20,-7.0,-7.0,-13.0,0.12307692307692308,195,-7.123076923076923
1,5300,VEV_4000,Mark 38,Mark 14,Mark 38->Mark 14,aggr_buy,False,0,tight,100,-20.0,-20.0,-1.0,-0.441025641025641,195,-19.55897435897436
1,6100,VELVETFRUIT_EXTRACT,Mark 55,Mark 01,Mark 55->Mark 01,aggr_buy,False,0,tight,5,-2.0,-2.0,-2.0,-0.07913669064748201,139,-1.920863309352518
1,6100,VELVETFRUIT_EXTRACT,Mark 55,Mark 01,Mark 55->Mark 01,aggr_buy,False,0,tight,20,-5.0,-5.0,-4.0,-0.6438848920863309,139,-4.356115107913669
1,6100,VELVETFRUIT_EXTRACT,Mark 55,Mark 01,Mark 55->Mark 01,aggr_buy,False,0,tight,100,-21.0,-21.0,6.0,-0.5755395683453237,139,-20.424460431654676
1,6200,HYDROGEL_PACK,Mark 38,Mark 14,Mark 38->Mark 14,aggr_buy,False,0,tight,5,-2.0,-2.5,-2.0,-0.18063872255489022,501,-1.8193612774451098
1,6200,HYDROGEL_PACK,Mark 38,Mark 14,Mark 38->Mark 14,aggr_buy,False,0,tight,20,-2.0,-7.0,-2.0,-0.38223552894211577,501,-1.6177644710578842
1,6200,HYDROGEL_PACK,Mark 38,Mark 14,Mark 38->Mark 14,aggr_buy,False,0,tight,100,9.0,-20.0,9.0,-0.469061876247505,501,9.469061876247505
1,9400,VELVETFRUIT_EXTRACT,Mark 55,Mark 49,Mark 55->Mark 49,aggr_buy,False,0,tight,5,1.5,1.5,-0.5,1.0,9,0.5
1,9400,VELVETFRUIT_EXTRACT,Mark 55,Mark 49,Mark 55->Mark 49,aggr_buy,False,0,tight,20,0.0,0.0,-5.0,2.6666666666666665,9,-2.6666666666666665
1,9400,VELVETFRUIT_EXTRACT,Mark 55,Mark 49,Mark 55->Mark 49,aggr_buy,False,0,tight,100,-15.0,-15.0,0.0,-2.5,9,-12.5
1,9600,VEV_5400,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,wide,5,-0.5,-2.5,0.0,-0.15,50,-0.35
1,9600,VEV_5400,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,wide,20,-1.0,-5.0,2.0,-0.16,50,-0.84
1,9600,VEV_5400,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,wide,100,-3.5,-17.5,1.0,-0.43,50,-3.07
1,9600,VEV_5500,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,5,0.0,-2.5,0.0,-0.01060070671378092,283,0.01060070671378092
1,9600,VEV_5500,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,20,0.0,-5.0,2.0,0.03180212014134275,283,-0.03180212014134275
1,9600,VEV_5500,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,100,-1.0,-17.5,1.0,-0.012367491166077738,283,-0.9876325088339223
1,9600,VEV_6000,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,5,0.0,-2.5,0.0,0.0,317,0.0
1,9600,VEV_6000,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,20,0.0,-5.0,2.0,0.0,317,0.0
1,9600,VEV_6000,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,100,0.0,-17.5,1.0,0.0,317,0.0
1,9600,VEV_6500,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,5,0.0,-2.5,0.0,0.0,317,0.0
1,9600,VEV_6500,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,20,0.0,-5.0,2.0,0.0,317,0.0
1,9600,VEV_6500,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,100,0.0,-17.5,1.0,0.0,317,0.0
1,10400,VELVETFRUIT_EXTRACT,Mark 67,Mark 49,Mark 67->Mark 49,aggr_buy,False,0,tight,5,4.0,4.0,-2.0,1.8764044943820224,89,2.1235955056179776
1,10400,VELVETFRUIT_EXTRACT,Mark 67,Mark 49,Mark 67->Mark 49,aggr_buy,False,0,tight,20,2.0,2.0,8.0,1.6348314606741574,89,0.3651685393258426
1,10400,VELVETFRUIT_EXTRACT,Mark 67,Mark 49,Mark 67->Mark 49,aggr_buy,False,0,tight,100,-11.0,-11.0,7.0,2.0786516853932584,89,-13.078651685393258
1,11800,VEV_5500,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,5,0.0,0.0,2.0,-0.01060070671378092,283,0.01060070671378092
1,11800,VEV_5500,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,20,-1.0,-3.0,15.0,0.03180212014134275,283,-1.0318021201413428
1,11800,VEV_5500,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,100,-1.0,-12.0,7.0,-0.012367491166077738,283,-0.9876325088339223
1,11800,VEV_6000,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,5,0.0,0.0,2.0,0.0,317,0.0
1,11800,VEV_6000,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,20,0.0,-3.0,15.0,0.0,317,0.0
1,11800,VEV_6000,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,100,0.0,-12.0,7.0,0.0,317,0.0
1,11800,VEV_6500,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,5,0.0,0.0,2.0,0.0,317,0.0
1,11800,VEV_6500,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,20,0.0,-3.0,15.0,0.0,317,0.0
1,11800,VEV_6500,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,100,0.0,-12.0,7.0,0.0,317,0.0
1,14300,VELVETFRUIT_EXTRACT,Mark 55,Mark 01,Mark 55->Mark 01,aggr_buy,False,0,tight,5,-1.0,-1.0,-3.0,-0.07913669064748201,139,-0.920863309352518
1,14300,VELVETFRUIT_EXTRACT,Mark 55,Mark 01,Mark 55->Mark 01,aggr_buy,False,0,tight,20,-5.5,-5.5,-4.0,-0.6438848920863309,139,-4.856115107913669
1,14300,VELVETFRUIT_EXTRACT,Mark 55,Mark 01,Mark 55->Mark 01,aggr_buy,False,0,tight,100,-1.0,-1.0,-6.0,-0.5755395683453237,139,-0.4244604316546763
1,14800,VELVETFRUIT_EXTRACT,Mark 01,Mark 55,Mark 01->Mark 55,aggr_sell,True,0,tight,5,-1.0,-1.0,0.0,0.34195402298850575,174,-1.3419540229885056
1,14800,VELVETFRUIT_EXTRACT,Mark 01,Mark 55,Mark 01->Mark 55,aggr_sell,True,0,tight,20,-4.0,-4.0,-6.5,0.3620689655172414,174,-4.362068965517241
1,14800,VELVETFRUIT_EXTRACT,Mark 01,Mark 55,Mark 01->Mark 55,aggr_sell,True,0,tight,100,-1.0,-1.0,-4.0,-0.3160919540229885,174,-0.6839080459770115
1,14800,VEV_5300,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,5,0.0,-1.0,0.0,-0.14772727272727273,132,0.14772727272727273
1,14800,VEV_5300,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,20,-1.0,-4.0,-6.5,-0.12121212121212122,132,-0.8787878787878788
1,14800,VEV_5300,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,100,0.0,-1.0,-4.0,0.07954545454545454,132,-0.07954545454545454
1,14800,VEV_5400,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,wide,5,-0.5,-1.0,0.0,-0.15,50,-0.35
1,14800,VEV_5400,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,wide,20,-0.5,-4.0,-6.5,-0.16,50,-0.33999999999999997
1,14800,VEV_5400,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,wide,100,-0.5,-1.0,-4.0,-0.43,50,-0.07
1,14800,VEV_5500,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,5,0.0,-1.0,0.0,-0.01060070671378092,283,0.01060070671378092
1,14800,VEV_5500,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,20,0.0,-4.0,-6.5,0.03180212014134275,283,-0.03180212014134275
1,14800,VEV_5500,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,100,0.0,-1.0,-4.0,-0.012367491166077738,283,0.012367491166077738
1,14800,VEV_6000,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,5,0.0,-1.0,0.0,0.0,317,0.0
1,14800,VEV_6000,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,20,0.0,-4.0,-6.5,0.0,317,0.0
1,14800,VEV_6000,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,100,0.0,-1.0,-4.0,0.0,317,0.0
1,14800,VEV_6500,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,5,0.0,-1.0,0.0,0.0,317,0.0
1,14800,VEV_6500,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,20,0.0,-4.0,-6.5,0.0,317,0.0
1,14800,VEV_6500,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,100,0.0,-1.0,-4.0,0.0,317,0.0
1,15000,HYDROGEL_PACK,Mark 38,Mark 14,Mark 38->Mark 14,aggr_buy,False,0,tight,5,-1.5,-2.0,-1.5,-0.18063872255489022,501,-1.3193612774451098
1,15000,HYDROGEL_PACK,Mark 38,Mark 14,Mark 38->Mark 14,aggr_buy,False,0,tight,20,-11.5,-4.0,-11.5,-0.38223552894211577,501,-11.117764471057884
1,15000,HYDROGEL_PACK,Mark 38,Mark 14,Mark 38->Mark 14,aggr_buy,False,0,tight,100,-6.5,-2.0,-6.5,-0.469061876247505,501,-6.030938123752495
1,16700,VEV_4000,Mark 14,Mark 38,Mark 14->Mark 38,aggr_sell,True,0,tight,5,6.5,1.0,-7.0,-0.10476190476190476,210,6.604761904761904
1,16700,VEV_4000,Mark 14,Mark 38,Mark 14->Mark 38,aggr_sell,True,0,tight,20,2.0,-4.5,-4.0,-0.10476190476190476,210,2.104761904761905
1,16700,VEV_4000,Mark 14,Mark 38,Mark 14->Mark 38,aggr_sell,True,0,tight,100,4.5,-1.0,-8.0,-0.016666666666666666,210,4.516666666666667
1,16700,VEV_5300,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,5,0.0,1.0,-7.0,-0.14772727272727273,132,0.14772727272727273
1,16700,VEV_5300,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,20,-1.0,-4.5,-4.0,-0.12121212121212122,132,-0.8787878787878788
1,16700,VEV_5300,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,100,-1.0,-1.0,-8.0,0.07954545454545454,132,-1.0795454545454546
1,16700,VEV_5400,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,5,0.0,1.0,-7.0,0.018779342723004695,213,-0.018779342723004695
1,16700,VEV_5400,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,20,-1.0,-4.5,-4.0,0.08685446009389672,213,-1.0868544600938967
1,16700,VEV_5400,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,100,-0.5,-1.0,-8.0,0.1267605633802817,213,-0.6267605633802817
1,16700,VEV_5500,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,5,0.0,1.0,-7.0,-0.01060070671378092,283,0.01060070671378092
1,16700,VEV_5500,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,20,-0.5,-4.5,-4.0,0.03180212014134275,283,-0.5318021201413428
1,16700,VEV_5500,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,100,0.0,-1.0,-8.0,-0.012367491166077738,283,0.012367491166077738
1,16700,VEV_6000,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,5,0.0,1.0,-7.0,0.0,317,0.0
1,16700,VEV_6000,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,20,0.0,-4.5,-4.0,0.0,317,0.0
1,16700,VEV_6000,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,100,0.0,-1.0,-8.0,0.0,317,0.0
1,16700,VEV_6500,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,5,0.0,1.0,-7.0,0.0,317,0.0
1,16700,VEV_6500,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,20,0.0,-4.5,-4.0,0.0,317,0.0
1,16700,VEV_6500,Mark 01,Mark 22,Mark 01->Mark 22,aggr_sell,True,0,tight,100,0.0,-1.0,-8.0,0.0,317,0.0
1,17300,VEV_4000,Mark 14,Mark 38,Mark 14->Mark 38,aggr_sell,False,0,tight,5,2.0,0.5,-0.5,-0.10476190476190476,210,2.104761904761905
1,17300,VEV_4000,Mark 14,Mark 38,Mark 14->Mark 38,aggr_sell,False,0,tight,20,-3.0,-3.0,11.5,-0.10476190476190476,210,-2.895238095238095
1,17300,VEV_4000,Mark 14,Mark 38,Mark 14->Mark 38,aggr_sell,False,0,tight,100,4.0,4.0,10.0,-0.016666666666666666,210,4.016666666666667
1,17400,VELVETFRUIT_EXTRACT,Mark 67,Mark 22,Mark 67->Mark 22,aggr_buy,False,0,tight,5,4.0,4.0,4.0,2.06,75,1.94
1,17400,VELVETFRUIT_EXTRACT,Mark 67,Mark 22,Mark 67->Mark 22,aggr_buy,False,0,tight,20,-0.5,-0.5,7.0,2.026666666666667,75,-2.526666666666667
1,17400,VELVETFRUIT_EXTRACT,Mark 67,Mark 22,Mark 67->Mark 22,aggr_buy,False,0,tight,100,7.5,7.5,5.0,0.7266666666666667,75,6.773333333333333
1,17900,VEV_4000,Mark 38,Mark 14,Mark 38->Mark 14,aggr_buy,False,0,tight,5,-3.5,-3.5,-4.0,0.11282051282051282,195,-3.612820512820513
1,17900,VEV_4000,Mark 38,Mark 14,Mark 38->Mark 14,aggr_buy,False,0,tight,20,-6.5,-6.5,8.0,0.12307692307692308,195,-6.623076923076923
1,17900,VEV_4000,Mark 38,Mark 14,Mark 38->Mark 14,aggr_buy,False,0,tight,100,4.5,4.5,-3.0,-0.441025641025641,195,4.941025641025641
1,19300,VELVETFRUIT_EXTRACT,Mark 14,Mark 55,Mark 14->Mark 55,aggr_sell,False,0,tight,5,0.0,0.0,-0.5,-0.03322784810126582,316,0.03322784810126582
1,19300,VELVETFRUIT_EXTRACT,Mark 14,Mark 55,Mark 14->Mark 55,aggr_sell,False,0,tight,20,0.0,0.0,9.5,-0.23734177215189872,316,0.23734177215189872
1,19300,VELVETFRUIT_EXTRACT,Mark 14,Mark 55,Mark 14->Mark 55,aggr_sell,False,0,tight,100,11.0,11.0,-5.5,-1.2246835443037976,316,12.224683544303797
1,20200,VELVETFRUIT_EXTRACT,Mark 14,Mark 55,Mark 14->Mark 55,aggr_sell,False,0,tight,5,1.0,1.0,7.0,-0.03322784810126582,316,1.0332278481012658
1,20200,VELVETFRUIT_EXTRACT,Mark 14,Mark 55,Mark 14->Mark 55,aggr_sell,False,0,tight,20,1.0,1.0,6.0,-0.23734177215189872,316,1.2373417721518987
1,20200,VELVETFRUIT_EXTRACT,Mark 14,Mark 55,Mark 14->Mark 55,aggr_sell,False,0,tight,100,11.0,11.0,-8.0,-1.2246835443037976,316,12.224683544303797
1,22800,HYDROGEL_PACK,Mark 14,Mark 38,Mark 14->Mark 38,aggr_sell,False,0,tight,5,-3.0,0.0,-3.0,0.07392197125256673,487,-3.0739219712525667
1,22800,HYDROGEL_PACK,Mark 14,Mark 38,Mark 14->Mark 38,aggr_sell,False,0,tight,20,-1.0,2.0,-1.0,0.24537987679671458,487,-1.2453798767967146
1,22800,HYDROGEL_PACK,Mark 14,Mark 38,Mark 14->Mark 38,aggr_sell,False,0,tight,100,2.0,5.5,2.0,0.997946611909651,487,1.002053388090349
1,25700,VEV_4000,Mark 38,Mark 14,Mark 38->Mark 14,aggr_buy,False,0,tight,5,-0.5,-1.0,-8.0,0.11282051282051282,195,-0.6128205128205129
1,25700,VEV_4000,Mark 38,Mark 14,Mark 38->Mark 14,aggr_buy,False,0,tight,20,7.5,7.0,-7.0,0.12307692307692308,195,7.376923076923077
1,25700,VEV_4000,Mark 38,Mark 14,Mark 38->Mark 14,aggr_buy,False,0,tight,100,3.0,3.0,2.0,-0.441025641025641,195,3.4410256410256412
1,29300,VELVETFRUIT_EXTRACT,Mark 14,Mark 55,Mark 14->Mark 55,aggr_sell,False,0,tight,5,2.0,2.0,-2.0,-0.03322784810126582,316,2.0332278481012658
1,29300,VELVETFRUIT_EXTRACT,Mark 14,Mark 55,Mark 14->Mark 55,aggr_sell,False,0,tight,20,-7.5,-7.5,1.0,-0.23734177215189872,316,-7.262658227848101
1,29300,VELVETFRUIT_EXTRACT,Mark 14,Mark 55,Mark 14->Mark 55,aggr_sell,False,0,tight,100,-5.0,-5.0,3.5,-1.2246835443037976,316,-3.7753164556962027
1,30800,HYDROGEL_PACK,Mark 14,Mark 38,Mark 14->Mark 38,aggr_sell,False,0,tight,5,-1.0,-2.5,-1.0,0.07392197125256673,487,-1.0739219712525667
1,30800,HYDROGEL_PACK,Mark 14,Mark 38,Mark 14->Mark 38,aggr_sell,False,0,tight,20,8.0,2.5,8.0,0.24537987679671458,487,7.754620123203285
1,30800,HYDROGEL_PACK,Mark 14,Mark 38,Mark 14->Mark 38,aggr_sell,False,0,tight,100,-3.0,-3.0,-3.0,0.997946611909651,487,-3.9979466119096507
1,31400,HYDROGEL_PACK,Mark 38,Mark 14,Mark 38->Mark 14,aggr_buy,False,0,tight,5,0.5,5.0,0.5,-0.18063872255489022,501,0.6806387225548902
1,31400,HYDROGEL_PACK,Mark 38,Mark 14,Mark 38->Mark 14,aggr_buy,False,0,tight,20,10.0,7.0,10.0,-0.38223552894211577,501,10.382235528942116
1,31400,HYDROGEL_PACK,Mark 38,Mark 14,Mark 38->Mark 14,aggr_buy,False,0,tight,100,-1.0,-4.0,-1.0,-0.469061876247505,501,-0.530938123752495
1,31700,VELVETFRUIT_EXTRACT,Mark 55,Mark 01,Mark 55->Mark 01,aggr_buy,False,0,tight,5,1.5,1.5,0.0,-0.07913669064748201,139,1.579136690647482
1,31700,VELVETFRUIT_EXTRACT,Mark 55,Mark 01,Mark 55->Mark 01,aggr_buy,False,0,tight,20,1.0,1.0,8.0,-0.6438848920863309,139,1.643884892086331
1,31700,VELVETFRUIT_EXTRACT,Mark 55,Mark 01,Mark 55->Mark 01,aggr_buy,False,0,tight,100,-6.5,-6.5,-5.0,-0.5755395683453237,139,-5.924460431654676
1,32000,HYDROGEL_PACK,Mark 14,Mark 38,Mark 14->Mark 38,aggr_sell,False,0,tight,5,6.0,2.0,6.0,0.07392197125256673,487,5.926078028747433
1,32000,HYDROGEL_PACK,Mark 14,Mark 38,Mark 14->Mark 38,aggr_sell,False,0,tight,20,5.0,-1.0,5.0,0.24537987679671458,487,4.754620123203285
1,32000,HYDROGEL_PACK,Mark 14,Mark 38,Mark 14->Mark 38,aggr_sell,False,0,tight,100,5.0,-7.0,5.0,0.997946611909651,487,4.002053388090349
1,32600,VELVETFRUIT_EXTRACT,Mark 55,Mark 01,Mark 55->Mark 01,aggr_buy,False,0,tight,5,2.5,2.5,-1.0,-0.07913669064748201,139,2.579136690647482
