slice,day,hour_quarter,K,n,mean,ci95_lo,ci95_hi,frac_pos
Mark67|U|buy_agg|fwd_extract,1,0.0,5,13,2.923076923076923,2.0384615384615383,3.923076923076923,1.0
Mark67|U|buy_agg|fwd_extract,1,0.0,20,13,0.8846153846153846,-0.6538461538461539,2.4615384615384617,0.5384615384615384
Mark67|U|buy_agg|fwd_extract,1,1.0,5,15,1.8,0.9333333333333333,2.6666666666666665,0.8
Mark67|U|buy_agg|fwd_extract,1,1.0,20,15,0.6666666666666666,-1.1333333333333333,2.4,0.6
Mark67|U|buy_agg|fwd_extract,1,2.0,5,14,2.392857142857143,1.6428571428571428,3.142857142857143,1.0
Mark67|U|buy_agg|fwd_extract,1,2.0,20,14,2.4642857142857144,0.39285714285714285,4.357142857142857,0.7142857142857143
Mark67|U|buy_agg|fwd_extract,1,3.0,5,16,1.8125,0.90625,2.59375,0.8125
Mark67|U|buy_agg|fwd_extract,1,3.0,20,16,3.875,1.90625,5.875,0.8125
Mark67|U|buy_agg|fwd_extract,2,0.0,5,15,1.2666666666666666,0.36666666666666664,2.1333333333333333,0.7333333333333333
Mark67|U|buy_agg|fwd_extract,2,0.0,20,15,1.6,-0.2,3.4,0.7333333333333333
Mark67|U|buy_agg|fwd_extract,2,1.0,5,12,2.2083333333333335,1.1666666666666667,3.2916666666666665,0.9166666666666666
Mark67|U|buy_agg|fwd_extract,2,1.0,20,12,0.5,-1.5416666666666667,2.5,0.5833333333333334
Mark67|U|buy_agg|fwd_extract,2,2.0,5,15,1.7,0.7,2.5,0.9333333333333333
Mark67|U|buy_agg|fwd_extract,2,2.0,20,15,1.4,-0.5,3.033333333333333,0.6666666666666666
Mark67|U|buy_agg|fwd_extract,2,3.0,5,19,1.894736842105263,1.105263157894737,2.6052631578947367,0.8421052631578947
Mark67|U|buy_agg|fwd_extract,2,3.0,20,19,1.9736842105263157,0.13157894736842105,3.973684210526316,0.5263157894736842
Mark67|U|buy_agg|fwd_extract,3,0.0,5,13,1.5384615384615385,0.7692307692307693,2.3846153846153846,0.7692307692307693
Mark67|U|buy_agg|fwd_extract,3,0.0,20,13,1.4615384615384615,-0.8076923076923077,3.6538461538461537,0.6153846153846154
Mark67|U|buy_agg|fwd_extract,3,1.0,5,10,0.95,-0.35,2.55,0.5
Mark67|U|buy_agg|fwd_extract,3,1.0,20,10,-0.55,-2.95,2.05,0.4
Mark67|U|buy_agg|fwd_extract,3,2.0,5,12,2.6666666666666665,1.125,4.208333333333333,0.75
Mark67|U|buy_agg|fwd_extract,3,2.0,20,12,3.1666666666666665,1.1666666666666667,5.25,0.75
Mark67|U|buy_agg|fwd_extract,3,3.0,5,10,2.55,1.35,3.6,0.9
Mark67|U|buy_agg|fwd_extract,3,3.0,20,10,3.95,1.7,6.15,0.8
