day,timestamp,symbol,buyer,seller,qty,notional,aggressor,spread_sym,spread_u,spr_bin_u,fwd_mid_5,fwd_u_5,fwd_h_5,fwd_mid_20,fwd_u_20,fwd_h_20,fwd_mid_100,fwd_u_100,fwd_h_100,cell_mean_fwd,cell_n,residual_k20
1,4500,VEV_5400,Mark 01,Mark 22,2,36.0,sell_agg,1.0,5.0,tight_u,-0.5,-2.5,-2.0,-0.5,-4.0,-23.5,-3.5,-20.0,-7.0,0.039923954372623575,263,-0.5399239543726235
1,4500,VEV_5500,Mark 01,Mark 22,2,16.0,sell_agg,1.0,5.0,tight_u,0.0,-2.5,-2.0,-0.5,-4.0,-23.5,-2.0,-20.0,-7.0,0.02508361204013378,299,-0.5250836120401338
1,4500,VEV_6000,Mark 01,Mark 22,2,0.0,sell_agg,1.0,5.0,tight_u,0.0,-2.5,-2.0,0.0,-4.0,-23.5,0.0,-20.0,-7.0,0.0,317,0.0
1,4500,VEV_6500,Mark 01,Mark 22,2,0.0,sell_agg,1.0,5.0,tight_u,0.0,-2.5,-2.0,0.0,-4.0,-23.5,0.0,-20.0,-7.0,0.0,317,0.0
1,5100,HYDROGEL_PACK,Mark 38,Mark 22,4,39840.0,buy_agg,8.0,6.0,tight_u,-4.0,1.0,-4.0,-7.0,-3.5,-7.0,1.0,-17.5,1.0,1.3125,8,-8.3125
1,5300,VEV_4000,Mark 38,Mark 14,2,2528.0,buy_agg,21.0,5.0,tight_u,0.0,0.0,-11.0,-7.0,-7.0,-13.0,-20.0,-20.0,-1.0,0.2146341463414634,205,-7.214634146341464
1,6100,VELVETFRUIT_EXTRACT,Mark 55,Mark 01,3,15765.0,buy_agg,5.0,5.0,tight_u,-2.0,-2.0,-2.0,-5.0,-5.0,-4.0,-21.0,-21.0,6.0,0.006147540983606557,244,-5.006147540983607
1,6200,HYDROGEL_PACK,Mark 38,Mark 14,5,49775.0,buy_agg,16.0,5.0,tight_u,-2.0,-2.5,-2.0,-2.0,-7.0,-2.0,9.0,-20.0,9.0,-0.3530571992110454,507,-1.6469428007889546
1,9400,VELVETFRUIT_EXTRACT,Mark 55,Mark 49,8,41952.0,buy_agg,1.0,1.0,tight_u,1.5,1.5,-0.5,0.0,0.0,-5.0,-15.0,-15.0,0.0,2.6666666666666665,9,-2.6666666666666665
1,9600,VEV_5400,Mark 01,Mark 22,4,64.0,sell_agg,2.0,5.0,tight_u,-0.5,-2.5,0.0,-1.0,-5.0,2.0,-3.5,-17.5,1.0,0.039923954372623575,263,-1.0399239543726235
1,9600,VEV_5500,Mark 01,Mark 22,4,28.0,sell_agg,1.0,5.0,tight_u,0.0,-2.5,0.0,0.0,-5.0,2.0,-1.0,-17.5,1.0,0.02508361204013378,299,-0.02508361204013378
1,9600,VEV_6000,Mark 01,Mark 22,4,0.0,sell_agg,1.0,5.0,tight_u,0.0,-2.5,0.0,0.0,-5.0,2.0,0.0,-17.5,1.0,0.0,317,0.0
1,9600,VEV_6500,Mark 01,Mark 22,4,0.0,sell_agg,1.0,5.0,tight_u,0.0,-2.5,0.0,0.0,-5.0,2.0,0.0,-17.5,1.0,0.0,317,0.0
