Mark,role,symbol,K,n,mean_fwd_mid,t_stat,frac_pos
Mark 01,U_passive_buy,VEV_5400,5,263,-0.013307984790874524,-0.5689189907814671,0.17110266159695817
Mark 01,U_passive_buy,VEV_5400,20,263,0.039923954372623575,0.835516819777602,0.30798479087452474
Mark 01,U_passive_buy,VEV_5400,100,260,0.0038461538461538464,0.042481044090478634,0.4153846153846154
Mark 01,U_passive_buy,VEV_5500,5,299,-0.020066889632107024,-1.5273947271756931,0.056856187290969896
Mark 01,U_passive_buy,VEV_5500,20,299,0.02508361204013378,1.0478169779074453,0.14381270903010032
Mark 01,U_passive_buy,VEV_5500,100,297,-0.02356902356902357,-0.5699484745307889,0.23905723905723905
Mark 01,U_passive_buy,VEV_6000,5,317,0.0,,0.0
Mark 01,U_passive_buy,VEV_6000,20,317,0.0,,0.0
Mark 01,U_passive_buy,VEV_6000,100,314,0.0,,0.0
Mark 01,U_passive_buy,VEV_6500,5,317,0.0,,0.0
Mark 01,U_passive_buy,VEV_6500,20,317,0.0,,0.0
Mark 01,U_passive_buy,VEV_6500,100,314,0.0,,0.0
Mark 01,U_passive_buy,VELVETFRUIT_EXTRACT,5,260,0.2903846153846154,2.112984526639036,0.5
Mark 01,U_passive_buy,VELVETFRUIT_EXTRACT,20,260,0.0057692307692307696,0.02136718329201365,0.45384615384615384
Mark 01,U_passive_buy,VELVETFRUIT_EXTRACT,100,260,-0.6346153846153846,-1.1125083621188172,0.4653846153846154
Mark 01,U_passive_buy,VEV_5300,5,132,-0.14772727272727273,-2.2914560462557185,0.25
Mark 01,U_passive_buy,VEV_5300,20,132,-0.12121212121212122,-0.8405868912188258,0.3939393939393939
Mark 01,U_passive_buy,VEV_5300,100,131,0.026717557251908396,0.09438270074145173,0.48854961832061067
Mark 01,U_passive_sell,VELVETFRUIT_EXTRACT,5,244,-0.0020491803278688526,-0.015143055493129122,0.4180327868852459
Mark 01,U_passive_sell,VELVETFRUIT_EXTRACT,20,244,0.006147540983606557,0.02254841886603109,0.47540983606557374
Mark 01,U_passive_sell,VELVETFRUIT_EXTRACT,100,244,-0.17418032786885246,-0.286911599253735,0.47540983606557374
Mark 14,U_passive_buy,VEV_4000,5,232,-0.16379310344827586,-1.1197119741505643,0.4267241379310345
Mark 14,U_passive_buy,VEV_4000,20,232,-0.1788793103448276,-0.6090217622057494,0.44396551724137934
Mark 14,U_passive_buy,VEV_4000,100,231,-0.10606060606060606,-0.1785914400965127,0.45021645021645024
Mark 14,U_passive_buy,VELVETFRUIT_EXTRACT,5,316,-0.03322784810126582,-0.2808425831430369,0.41455696202531644
Mark 14,U_passive_buy,VELVETFRUIT_EXTRACT,20,316,-0.23734177215189872,-1.040850794089224,0.4177215189873418
Mark 14,U_passive_buy,VELVETFRUIT_EXTRACT,100,311,-1.2620578778135048,-2.572083362790216,0.4115755627009646
Mark 14,U_passive_buy,HYDROGEL_PACK,5,496,0.0715725806451613,0.3529481780908806,0.46774193548387094
Mark 14,U_passive_buy,HYDROGEL_PACK,20,496,0.23387096774193547,0.599398117980075,0.5040322580645161
Mark 14,U_passive_buy,HYDROGEL_PACK,100,494,0.8927125506072875,1.0968620899695485,0.49190283400809715
Mark 14,U_passive_sell,VEV_4000,5,207,0.13043478260869565,0.8471128956855575,0.47342995169082125
Mark 14,U_passive_sell,VEV_4000,20,205,0.2146341463414634,0.752523547921182,0.4878048780487805
Mark 14,U_passive_sell,VEV_4000,100,203,-0.4064039408866995,-0.659836798771061,0.4827586206896552
Mark 14,U_passive_sell,HYDROGEL_PACK,5,507,-0.17159763313609466,-0.9230233405315611,0.4536489151873767
Mark 14,U_passive_sell,HYDROGEL_PACK,20,507,-0.3530571992110454,-0.9265111759629896,0.4930966469428008
Mark 14,U_passive_sell,HYDROGEL_PACK,100,505,-0.49504950495049505,-0.6070194537656001,0.48514851485148514
Mark 14,U_passive_sell,VELVETFRUIT_EXTRACT,5,331,0.26132930513595165,2.1520837296133988,0.48036253776435045
Mark 14,U_passive_sell,VELVETFRUIT_EXTRACT,20,331,0.5755287009063444,2.713686226945129,0.5196374622356495
Mark 14,U_passive_sell,VELVETFRUIT_EXTRACT,100,328,1.0975609756097562,2.2196620491830568,0.524390243902439
Mark 22,U_passive_sell,VELVETFRUIT_EXTRACT,5,90,2.022222222222222,10.271773129152445,0.8666666666666667
Mark 22,U_passive_sell,VELVETFRUIT_EXTRACT,20,90,2.022222222222222,4.674667852598585,0.6444444444444445
Mark 22,U_passive_sell,VELVETFRUIT_EXTRACT,100,90,0.9111111111111111,0.88338027630116,0.5111111111111111
Mark 22,U_sell_agg,VEV_5400,5,275,-0.03090909090909091,-1.3172567025602886,0.16363636363636364
Mark 22,U_sell_agg,VEV_5400,20,275,0.02,0.41965834169991967,0.3054545454545455
Mark 22,U_sell_agg,VEV_5400,100,272,-0.04044117647058824,-0.4414725103316141,0.41544117647058826
Mark 22,U_sell_agg,VEV_5500,5,306,-0.026143790849673203,-1.9207508139484648,0.05555555555555555
Mark 22,U_sell_agg,VEV_5500,20,306,0.014705882352941176,0.6103330614689869,0.14052287581699346
Mark 22,U_sell_agg,VEV_5500,100,304,-0.03618421052631579,-0.8817968548358787,0.23355263157894737
Mark 22,U_sell_agg,VEV_6000,5,317,0.0,,0.0
Mark 22,U_sell_agg,VEV_6000,20,317,0.0,,0.0
Mark 22,U_sell_agg,VEV_6000,100,314,0.0,,0.0
Mark 22,U_sell_agg,VEV_6500,5,317,0.0,,0.0
Mark 22,U_sell_agg,VEV_6500,20,317,0.0,,0.0
Mark 22,U_sell_agg,VEV_6500,100,314,0.0,,0.0
Mark 22,U_sell_agg,VEV_5300,5,160,-0.203125,-3.3127067443445664,0.2375
Mark 22,U_sell_agg,VEV_5300,20,160,-0.14375,-1.1067249793822498,0.38125
Mark 22,U_sell_agg,VEV_5300,100,159,0.14779874213836477,0.5778864227270519,0.4968553459119497
Mark 38,U_buy_agg,HYDROGEL_PACK,5,515,-0.11941747572815534,-0.6418893189351539,0.458252427184466
Mark 38,U_buy_agg,HYDROGEL_PACK,20,515,-0.3271844660194175,-0.8696490053528438,0.49514563106796117
Mark 38,U_buy_agg,HYDROGEL_PACK,100,512,-0.548828125,-0.6767017673724867,0.486328125
Mark 38,U_buy_agg,VEV_4000,5,209,0.17464114832535885,1.1213823487176247,0.4784688995215311
Mark 38,U_buy_agg,VEV_4000,20,207,0.2608695652173913,0.9095315900201543,0.48792270531400966
Mark 38,U_buy_agg,VEV_4000,100,205,-0.25121951219512195,-0.4033999683051906,0.4878048780487805
Mark 38,U_sell_agg,VEV_4000,5,233,-0.16952789699570817,-1.1630208076407231,0.4248927038626609
Mark 38,U_sell_agg,VEV_4000,20,233,-0.17381974248927037,-0.594263133536499,0.44635193133047213
Mark 38,U_sell_agg,VEV_4000,100,232,-0.05387931034482758,-0.09076619605406933,0.4525862068965517
Mark 38,U_sell_agg,HYDROGEL_PACK,5,507,0.011834319526627219,0.0591147406905954,0.4635108481262327
Mark 38,U_sell_agg,HYDROGEL_PACK,20,507,0.10157790927021697,0.2624804099548992,0.4990138067061144
Mark 38,U_sell_agg,HYDROGEL_PACK,100,505,0.5881188118811881,0.7280135711120933,0.48514851485148514
Mark 49,U_passive_sell,VELVETFRUIT_EXTRACT,5,104,1.8461538461538463,9.782143046421124,0.7884615384615384
Mark 49,U_passive_sell,VELVETFRUIT_EXTRACT,20,104,1.8317307692307692,4.9525955625564935,0.6826923076923077
Mark 49,U_passive_sell,VELVETFRUIT_EXTRACT,100,103,1.8398058252427185,2.0263596413545675,0.5339805825242718
Mark 55,U_buy_agg,VELVETFRUIT_EXTRACT,5,598,0.19899665551839466,2.2464782628170425,0.46488294314381273
Mark 55,U_buy_agg,VELVETFRUIT_EXTRACT,20,598,0.4088628762541806,2.4788758254472882,0.5100334448160535
Mark 55,U_buy_agg,VELVETFRUIT_EXTRACT,100,595,0.5310924369747899,1.4038715282649978,0.4991596638655462
Mark 55,U_sell_agg,VELVETFRUIT_EXTRACT,5,600,0.051666666666666666,0.5770292515005375,0.44333333333333336
Mark 55,U_sell_agg,VELVETFRUIT_EXTRACT,20,600,-0.10583333333333333,-0.6181496555114884,0.43833333333333335
Mark 55,U_sell_agg,VELVETFRUIT_EXTRACT,100,595,-0.9184873949579831,-2.504567788249762,0.4369747899159664
Mark 67,U_buy_agg,VELVETFRUIT_EXTRACT,5,164,1.9603658536585367,13.025623326344341,0.8353658536585366
Mark 67,U_buy_agg,VELVETFRUIT_EXTRACT,20,164,1.8140243902439024,5.86010068131766,0.6463414634146342
Mark 67,U_buy_agg,VELVETFRUIT_EXTRACT,100,163,1.3711656441717792,1.873917213276957,0.5398773006134969
