slice,K,n,mean,frac_pos
all|sym=VELVETFRUIT_EXTRACT|u_spread=tight_u,5,1381,0.33598841419261405,0.498913830557567
all|sym=VELVETFRUIT_EXTRACT|u_spread=tight_u,20,1381,0.33671252715423605,0.4960173787110789
all|sym=VELVETFRUIT_EXTRACT|u_spread=tight_u,100,1371,-0.0036469730123997084,0.474835886214442
all|sym=HYDROGEL_PACK|u_spread=tight_u,5,1022,-0.05430528375733855,0.4608610567514677
all|sym=HYDROGEL_PACK|u_spread=tight_u,20,1022,-0.11448140900195694,0.49706457925636005
all|sym=HYDROGEL_PACK|u_spread=tight_u,100,1017,0.015732546705998034,0.4857423795476893
all|sym=VEV_5200|u_spread=tight_u,5,47,-0.1595744680851064,0.3404255319148936
all|sym=VEV_5200|u_spread=tight_u,20,47,0.2978723404255319,0.48936170212765956
all|sym=VEV_5200|u_spread=tight_u,100,47,1.074468085106383,0.5957446808510638
all|sym=VEV_5300|u_spread=tight_u,5,164,-0.18902439024390244,0.25
all|sym=VEV_5300|u_spread=tight_u,20,164,-0.11280487804878049,0.3902439024390244
all|sym=VEV_5300|u_spread=tight_u,100,163,0.22392638036809817,0.5030674846625767
all|sym=VEV_5400|u_spread=tight_u,5,276,-0.030797101449275364,0.16304347826086957
all|sym=VEV_5400|u_spread=tight_u,20,276,0.021739130434782608,0.3079710144927536
all|sym=VEV_5400|u_spread=tight_u,100,273,-0.038461538461538464,0.4175824175824176
