day,symbol,n_up,n_down,beta_up,beta_down,mean_spread_on_upstep,mean_spread_on_downstep,mean_spread_all
0,VEV_4000,2683,2659,0.5132012060684797,0.5638573421205991,20.78196049198658,20.76382098533283,20.7654
0,VEV_4500,2683,2659,0.4678038654429749,0.5484794587351881,15.789042117033171,15.76833396013539,15.7842
0,VEV_5000,2683,2659,0.4331280965634838,0.48996850291888583,6.004845322400298,5.989845806694246,6.0018
0,VEV_5100,2683,2659,0.39024993526536955,0.40910967713684576,4.315691390234812,4.309138773975179,4.3198
0,VEV_5200,2683,2659,0.2852283696948754,0.3394372827204357,2.9299291837495343,2.9116209101165853,2.926
0,VEV_5300,2683,2659,0.17294493276807457,0.2140182149753762,2.1531867312709654,2.160210605490786,2.1606
0,VEV_5400,2683,2659,0.10791842678052752,0.11531744633423248,1.4386880357808423,1.4279804437758556,1.4297
0,VEV_5500,2683,2659,0.05412573578086215,0.05724830477789355,1.1777860603801715,1.1797668296352013,1.1807
0,VEV_6000,2683,2659,0.0,0.0,1.0,1.0,1.0
0,VEV_6500,2683,2659,0.0,0.0,1.0,1.0,1.0
1,VEV_4000,2726,2676,0.528517125200095,0.5434238851119372,20.79787234042553,20.752615844544096,20.7745
1,VEV_4500,2726,2676,0.4882380221286411,0.5162107041308255,15.826485693323551,15.805680119581465,15.8129
1,VEV_5000,2726,2676,0.45077442189640854,0.4591999798007617,6.018341892883345,5.995515695067264,6.0082
1,VEV_5100,2726,2676,0.3947824020246399,0.4197218695047688,4.254952311078504,4.251494768310912,4.257
1,VEV_5200,2726,2676,0.3040270744279901,0.30802577683587146,2.876008804108584,2.8699551569506725,2.8779
1,VEV_5300,2726,2676,0.17947201642754296,0.1776669715557244,2.1261922230374175,2.099402092675635,2.1088
1,VEV_5400,2726,2676,0.07765297217982695,0.07200540166757775,1.3906823184152604,1.3766816143497758,1.3864
1,VEV_5500,2726,2676,0.036908395197622415,0.02846952480474741,1.1456346294937638,1.1509715994020926,1.1527
1,VEV_6000,2726,2676,0.0,0.0,1.0,1.0,1.0
1,VEV_6500,2726,2676,0.0,0.0,1.0,1.0,1.0
2,VEV_4000,2722,2669,0.5381579702477364,0.4548887958068241,20.94819985304923,20.842263019857626,20.9005
2,VEV_4500,2722,2669,0.5097084633471105,0.4115277722574012,16.000734753857458,15.930310977894342,15.9609
2,VEV_5000,2722,2669,0.4700439460181544,0.440375942838101,6.14070536370316,6.091794679655302,6.12
2,VEV_5100,2722,2669,0.43624916064403746,0.40872644369775,4.3269654665687,4.27650805545148,4.3107
2,VEV_5200,2722,2669,0.33986365885055014,0.30553233599636276,2.8710506980161647,2.8501311352566505,2.8605
2,VEV_5300,2722,2669,0.1796026971653954,0.18937641470302574,2.0576781778104336,2.043087298613713,2.051
2,VEV_5400,2722,2669,0.08265210931252609,0.07785333052048853,1.322924320352682,1.3342075683776695,1.3282
2,VEV_5500,2722,2669,0.03314382634055043,0.028663806941000555,1.1197648787656136,1.1176470588235294,1.1159
2,VEV_6000,2722,2669,0.0,0.0,1.0,1.0,1.0
2,VEV_6500,2722,2669,0.0,0.0,1.0,1.0,1.0
