day,symbol,mean_spread_all,mean_spread_shock_up,mean_spread_shock_down,n_shock_up,n_shock_down
0,VEV_4000,20.765476547654764,20.787625418060202,20.751592356687897,598,628
0,VEV_4500,15.784178417841785,15.785953177257525,15.746815286624203,598,628
0,VEV_5000,6.001800180018002,5.998327759197324,5.977707006369426,598,628
0,VEV_5100,4.31973197319732,4.321070234113712,4.302547770700637,598,628
0,VEV_5200,2.925992599259926,2.9381270903010033,2.9235668789808917,598,628
0,VEV_5300,2.1606160616061607,2.1555183946488294,2.1464968152866244,598,628
0,VEV_5400,1.4296429642964297,1.4364548494983278,1.4171974522292994,598,628
0,VEV_5500,1.1807180718071808,1.2023411371237458,1.1878980891719746,598,628
0,VEV_6000,1.0,1.0,1.0,598,628
0,VEV_6500,1.0,1.0,1.0,598,628
1,VEV_4000,20.774577457745774,20.76243980738363,20.77893175074184,623,674
1,VEV_4500,15.812881288128812,15.812199036918138,15.81454005934718,623,674
1,VEV_5000,6.008200820082008,5.977528089887641,6.001483679525222,623,674
1,VEV_5100,4.257025702570257,4.260032102728732,4.249258160237389,623,674
1,VEV_5200,2.877887788778878,2.86677367576244,2.8753709198813056,623,674
1,VEV_5300,2.1088108810881088,2.1091492776886036,2.093471810089021,623,674
1,VEV_5400,1.3864386438643865,1.3884430176565008,1.3620178041543027,623,674
1,VEV_5500,1.1527152715271527,1.1348314606741574,1.1468842729970326,623,674
1,VEV_6000,1.0,1.0,1.0,623,674
1,VEV_6500,1.0,1.0,1.0,623,674
2,VEV_4000,20.9004900490049,20.96783625730994,20.818045112781956,684,665
2,VEV_4500,15.96089608960896,15.972222222222221,15.914285714285715,684,665
2,VEV_5000,6.12001200120012,6.146198830409356,6.133834586466166,684,665
2,VEV_5100,4.310731073107311,4.302631578947368,4.246616541353384,684,665
2,VEV_5200,2.86038603860386,2.884502923976608,2.863157894736842,684,665
2,VEV_5300,2.051005100510051,2.054093567251462,2.055639097744361,684,665
2,VEV_5400,1.3281328132813282,1.3362573099415205,1.3383458646616542,684,665
2,VEV_5500,1.115911591159116,1.128654970760234,1.1383458646616542,684,665
2,VEV_6000,1.0,1.0,1.0,684,665
2,VEV_6500,1.0,1.0,1.0,684,665
