day,symbol,n_obs,beta_contemp,corr_contemp,beta_lag1,corr_lag1,median_elasticity,q95_abs_dextract
0,VEV_4000,9999,0.7444740196753732,0.5952061867678122,-0.023661333506654406,-0.01891563760528617,1.0,2.0
0,VEV_4500,9999,0.659842986603391,0.5959750092474076,0.018761328635835354,0.016944402952788363,0.75,2.0
0,VEV_5000,9999,0.6506629608666911,0.7544675058972927,0.00047771517038160604,0.0005539083171282154,1.0,2.0
0,VEV_5100,9999,0.5606951705169022,0.7597488181369679,0.0003582146631389334,0.00048535068627896845,0.6666666666666666,2.0
0,VEV_5200,9999,0.42998510077989005,0.7093899564795123,-0.0010956723176567167,-0.0018076759028565887,0.5,2.0
0,VEV_5300,9999,0.2736466912156251,0.6252196719397924,0.0036445503269599477,0.008326212518117583,0.0,2.0
0,VEV_5400,9999,0.13785866390145257,0.5594821054220033,0.0005175845301194719,0.002100709277885542,0.0,2.0
0,VEV_5500,9999,0.06382170773197814,0.3753313287877703,0.0009758849518249143,0.005738602242345348,0.0,2.0
0,VEV_6000,9999,0.0,,0.0,,0.0,2.0
0,VEV_6500,9999,0.0,,0.0,,0.0,2.0
1,VEV_4000,9999,0.7582068330615974,0.5994664140190608,-0.03685569482142881,-0.029138516969844513,1.0,2.0
1,VEV_4500,9999,0.665888982668783,0.5964546795829313,0.005976998850968934,0.00535371606351428,0.75,2.0
1,VEV_5000,9999,0.6520660513894072,0.7516312031905511,-0.011400190992809272,-0.013141070185669136,1.0,2.0
1,VEV_5100,9999,0.5759604387438907,0.7682344120888399,-0.014738979196675286,-0.01965990912290619,0.6666666666666666,2.0
1,VEV_5200,9999,0.4320580742517587,0.7115237775470143,-0.009883957016703863,-0.016278218926764048,0.5,2.0
1,VEV_5300,9999,0.27103121053065754,0.6173352247495314,-0.005029686402282808,-0.011455807999643564,0.0,2.0
1,VEV_5400,9999,0.12701219741929512,0.5362954165289189,-0.0029125456671959585,-0.012297432968609055,0.0,2.0
1,VEV_5500,9999,0.05426480524290152,0.3469488593027153,0.0001943311585609214,0.0012424322617247963,0.0,2.0
1,VEV_6000,9999,0.0,,0.0,,0.0,2.0
1,VEV_6500,9999,0.0,,0.0,,0.0,2.0
2,VEV_4000,9999,0.7325377729820706,0.5899479168609386,-0.029969349244363046,-0.024137246533248856,1.0,2.0
2,VEV_4500,9999,0.659605568145444,0.6013099350634858,0.0076577185790555205,0.006981167885731216,1.0,2.0
2,VEV_5000,9999,0.6577334746952486,0.7548610096169358,-0.004736214883864191,-0.005436025196019705,1.0,2.0
2,VEV_5100,9999,0.5948213298602757,0.7681361424458129,-0.011376545108430417,-0.01469292681319109,0.6666666666666666,2.0
2,VEV_5200,9999,0.4477041889748154,0.7309421620772029,-0.00486866819713188,-0.007949320506798608,0.5,2.0
2,VEV_5300,9999,0.2734070063590503,0.622460981889446,-0.0005998265520831246,-0.0013658353240359512,0.0,2.0
2,VEV_5400,9999,0.12200310143698467,0.5243896293641837,0.0016403286797860642,0.0070501318240291395,0.0,2.0
2,VEV_5500,9999,0.046774430897812094,0.321130558625712,0.0013706062010874335,0.00940955209529087,0.0,2.0
2,VEV_6000,9999,0.0,,0.0,,0.0,2.0
2,VEV_6500,9999,0.0,,0.0,,0.0,2.0
