U,role,product,k,day,n,mean_dv,std_dv,t_approx
Mark 22,aggr_buyer,VELVETFRUIT_EXTRACT,5,1,4,2.375,1.8874586088176875,2.516611478423583
Mark 22,aggr_buyer,VELVETFRUIT_EXTRACT,5,2,1,1.5,,
Mark 22,aggr_buyer,VELVETFRUIT_EXTRACT,5,3,1,5.0,,
Mark 22,aggr_buyer,VELVETFRUIT_EXTRACT,20,1,4,2.875,5.977387946809766,0.9619586433349827
Mark 22,aggr_buyer,VELVETFRUIT_EXTRACT,20,2,1,2.5,,
Mark 22,aggr_buyer,VELVETFRUIT_EXTRACT,20,3,1,7.0,,
Mark 22,aggr_buyer,VELVETFRUIT_EXTRACT,100,1,4,11.875,9.454936981986359,2.511915208451282
Mark 22,aggr_buyer,VELVETFRUIT_EXTRACT,100,2,1,-0.5,,
Mark 22,aggr_buyer,VELVETFRUIT_EXTRACT,100,3,1,-4.0,,
Mark 22,aggr_seller,VELVETFRUIT_EXTRACT,5,1,3,-0.3333333333333333,2.9297326385411577,-0.1970658556328586
Mark 22,aggr_seller,VELVETFRUIT_EXTRACT,5,2,3,-2.1666666666666665,3.253203549323856,-1.1535634622409479
Mark 22,aggr_seller,VELVETFRUIT_EXTRACT,5,3,5,-3.7,2.588435821108957,-3.1963131746510327
Mark 22,aggr_seller,VELVETFRUIT_EXTRACT,20,1,3,-4.166666666666667,5.346338310781813,-1.3498731178900973
Mark 22,aggr_seller,VELVETFRUIT_EXTRACT,20,2,3,2.3333333333333335,2.0207259421636903,2.0
Mark 22,aggr_seller,VELVETFRUIT_EXTRACT,20,3,5,-5.7,4.738143096192854,-2.6899963156431497
Mark 22,aggr_seller,VELVETFRUIT_EXTRACT,100,1,3,-5.666666666666667,0.5773502691896258,-17.0
Mark 22,aggr_seller,VELVETFRUIT_EXTRACT,100,2,2,0.75,1.7677669529663689,0.6
Mark 22,aggr_seller,VELVETFRUIT_EXTRACT,100,3,5,-5.6,5.091659847240386,-2.4593121005099294
Mark 22,aggr_seller,VEV_5200,5,1,6,-0.5,1.0954451150103321,-1.118033988749895
Mark 22,aggr_seller,VEV_5200,5,2,8,0.0,0.4629100498862757,0.0
Mark 22,aggr_seller,VEV_5200,5,3,30,-0.23333333333333334,1.0964938898939258,-1.165550772899448
Mark 22,aggr_seller,VEV_5200,20,1,6,-1.5833333333333333,3.527274679787026,-1.0995340911870437
Mark 22,aggr_seller,VEV_5200,20,2,8,2.625,2.669269563007828,2.781517949836592
Mark 22,aggr_seller,VEV_5200,20,3,30,-0.05,3.227975772245959,-0.08483994245162381
Mark 22,aggr_seller,VEV_5200,100,1,6,-4.083333333333333,8.254796585420301,-1.2116692413754222
Mark 22,aggr_seller,VEV_5200,100,2,8,2.8125,5.338120990974794,1.490215621151743
Mark 22,aggr_seller,VEV_5200,100,3,30,0.9833333333333333,5.784168842228095,0.9311516708871589
Mark 22,aggr_seller,VEV_5300,5,1,38,-0.2631578947368421,0.7687902229008122,-2.110086943076174
Mark 22,aggr_seller,VEV_5300,5,2,44,-0.3068181818181818,0.8708183072908472,-2.337113906380199
Mark 22,aggr_seller,VEV_5300,5,3,78,-0.11538461538461539,0.7204033724109146,-1.4145538038221113
Mark 22,aggr_seller,VEV_5300,20,1,38,-0.5526315789473685,1.6837437119777068,-2.02325913350827
Mark 22,aggr_seller,VEV_5300,20,2,44,-0.06818181818181818,1.6015650379627187,-0.2823906654717904
Mark 22,aggr_seller,VEV_5300,20,3,78,0.01282051282051282,1.6336048079828451,0.06931156351961999
Mark 22,aggr_seller,VEV_5300,100,1,38,-0.3157894736842105,3.476603368448553,-0.559930727570414
Mark 22,aggr_seller,VEV_5300,100,2,43,0.10465116279069768,3.3337347488088014,0.2058482807433696
Mark 22,aggr_seller,VEV_5300,100,3,78,0.3974358974358974,3.049759384120705,1.1509297501055984
Mark 22,aggr_seller,VEV_5400,5,1,81,-0.012345679012345678,0.3870990558143299,-0.2870353451970314
Mark 22,aggr_seller,VEV_5400,5,2,80,-0.04375,0.47861714040411013,-0.8175885546682832
Mark 22,aggr_seller,VEV_5400,5,3,114,-0.03508771929824561,0.31706130060829707,-1.181583258234051
Mark 22,aggr_seller,VEV_5400,20,1,81,0.018518518518518517,0.8676276723213581,0.19209468759882461
Mark 22,aggr_seller,VEV_5400,20,2,80,0.0125,0.8112149038652858,0.13782217060148602
Mark 22,aggr_seller,VEV_5400,20,3,114,0.02631578947368421,0.7220978081446081,0.3891103674673385
Mark 22,aggr_seller,VEV_5400,100,1,80,-0.2125,1.7534324385204287,-1.0839640804630164
Mark 22,aggr_seller,VEV_5400,100,2,79,-0.12025316455696203,1.5591236646759865,-0.6855347847611852
Mark 22,aggr_seller,VEV_5400,100,3,113,0.13716814159292035,1.2664062405558638,1.1513819967868795
