U,role,product,k,n,mean_dv,std_dv,t_approx
Mark 22,aggr_buyer,VELVETFRUIT_EXTRACT,5,6,2.6666666666666665,1.888562063228706,3.4587016093369347
Mark 22,aggr_buyer,VELVETFRUIT_EXTRACT,20,6,3.5,4.9396356140913875,1.7355964628816265
Mark 22,aggr_buyer,VELVETFRUIT_EXTRACT,100,6,7.166666666666667,10.395511852076678,1.6886784161993205
Mark 22,aggr_seller,VELVETFRUIT_EXTRACT,5,11,-2.3636363636363638,2.9418608829354005,-2.6647402004950607
Mark 22,aggr_seller,VELVETFRUIT_EXTRACT,20,11,-3.090909090909091,5.300085762599422,-1.9341924215611523
Mark 22,aggr_seller,VELVETFRUIT_EXTRACT,100,10,-4.35,4.378292411939207,-3.1418431039967394
Mark 22,aggr_seller,VEV_5200,5,44,-0.22727272727272727,1.0026392233810508,-1.5035884171827123
Mark 22,aggr_seller,VEV_5200,20,44,0.22727272727272727,3.348818857126129,0.45017565512115065
Mark 22,aggr_seller,VEV_5200,100,44,0.625,6.260920691637672,0.6621679449607971
Mark 22,aggr_seller,VEV_5300,5,160,-0.203125,0.7756046028744287,-3.312706744344566
Mark 22,aggr_seller,VEV_5300,20,160,-0.14375,1.642964321282203,-1.1067249793822498
Mark 22,aggr_seller,VEV_5300,100,159,0.14779874213836477,3.224978392195054,0.5778864227270517
Mark 22,aggr_seller,VEV_5400,5,275,-0.03090909090909091,0.3891187532285407,-1.3172567025602888
Mark 22,aggr_seller,VEV_5400,20,275,0.02,0.7903154687502865,0.4196583416999198
Mark 22,aggr_seller,VEV_5400,100,272,-0.04044117647058824,1.5107916195029132,-0.441472510331614
Mark 22,aggr_seller,VEV_5500,5,306,-0.026143790849673203,0.23809937086003188,-1.9207508139484646
Mark 22,aggr_seller,VEV_5500,20,306,0.014705882352941176,0.4214876990189641,0.6103330614689869
Mark 22,aggr_seller,VEV_5500,100,304,-0.03618421052631579,0.7154632778333826,-0.8817968548358783
Mark 22,aggr_seller,VEV_6000,5,317,0.0,0.0,
Mark 22,aggr_seller,VEV_6000,20,317,0.0,0.0,
Mark 22,aggr_seller,VEV_6000,100,314,0.0,0.0,
Mark 22,aggr_seller,VEV_6500,5,317,0.0,0.0,
Mark 22,aggr_seller,VEV_6500,20,317,0.0,0.0,
Mark 22,aggr_seller,VEV_6500,100,314,0.0,0.0,
Mark 38,aggr_buyer,HYDROGEL_PACK,5,515,-0.11941747572815534,4.221933147784705,-0.6418893189351539
Mark 38,aggr_buyer,HYDROGEL_PACK,20,515,-0.3271844660194175,8.537924029095505,-0.8696490053528443
Mark 38,aggr_buyer,HYDROGEL_PACK,100,512,-0.548828125,18.351603975866393,-0.6767017673724867
Mark 38,aggr_buyer,VEV_4000,5,209,0.17464114832535885,2.251469176412845,1.1213823487176249
Mark 38,aggr_buyer,VEV_4000,20,207,0.2608695652173913,4.126585040266911,0.9095315900201543
Mark 38,aggr_buyer,VEV_4000,100,205,-0.25121951219512195,8.916500510213467,-0.40339996830519054
Mark 38,aggr_buyer,VEV_4500,5,2,3.0,0.7071067811865476,6.0
Mark 38,aggr_buyer,VEV_4500,20,2,3.75,7.424621202458749,0.7142857142857144
Mark 38,aggr_buyer,VEV_4500,100,2,13.5,12.727922061357855,1.5
Mark 38,aggr_buyer,VEV_5000,5,2,0.75,0.3535533905932738,3.0
Mark 38,aggr_buyer,VEV_5000,20,2,1.5,7.7781745930520225,0.27272727272727276
Mark 38,aggr_buyer,VEV_5000,100,2,11.0,12.727922061357855,1.2222222222222223
Mark 38,aggr_buyer,VEV_5100,5,2,0.25,0.3535533905932738,1.0
Mark 38,aggr_buyer,VEV_5100,20,2,1.0,6.363961030678928,0.2222222222222222
Mark 38,aggr_buyer,VEV_5100,100,2,9.25,10.960155108391486,1.1935483870967742
Mark 38,aggr_buyer,VEV_5200,5,2,0.25,0.3535533905932738,1.0
Mark 38,aggr_buyer,VEV_5200,20,2,0.25,4.596194077712559,0.07692307692307693
Mark 38,aggr_buyer,VEV_5200,100,2,6.5,7.7781745930520225,1.181818181818182
Mark 38,aggr_buyer,VEV_5300,5,1,0.5,,
Mark 38,aggr_buyer,VEV_5300,20,1,2.5,,
Mark 38,aggr_buyer,VEV_5300,100,1,8.0,,
Mark 38,aggr_seller,HYDROGEL_PACK,5,507,0.011834319526627219,4.507663433817434,0.0591147406905954
Mark 38,aggr_seller,HYDROGEL_PACK,20,507,0.10157790927021697,8.713775239711353,0.2624804099548993
Mark 38,aggr_seller,HYDROGEL_PACK,100,505,0.5881188118811881,18.153956274006884,0.7280135711120935
Mark 38,aggr_seller,VEV_4000,5,233,-0.16952789699570817,2.2250083766489652,-1.1630208076407225
Mark 38,aggr_seller,VEV_4000,20,233,-0.17381974248927037,4.464761597503228,-0.5942631335364991
Mark 38,aggr_seller,VEV_4000,100,232,-0.05387931034482758,9.041529127037524,-0.09076619605406931
Mark 38,aggr_seller,VEV_4500,5,1,0.0,,
Mark 38,aggr_seller,VEV_4500,20,1,3.0,,
Mark 38,aggr_seller,VEV_4500,100,1,13.0,,
Mark 38,aggr_seller,VEV_5000,5,1,2.5,,
Mark 38,aggr_seller,VEV_5000,20,1,5.5,,
Mark 38,aggr_seller,VEV_5000,100,1,15.5,,
Mark 38,aggr_seller,VEV_5100,5,1,2.5,,
Mark 38,aggr_seller,VEV_5100,20,1,4.5,,
Mark 38,aggr_seller,VEV_5100,100,1,13.5,,
Mark 38,aggr_seller,VEV_5200,5,1,2.0,,
