timestamp,buyer,seller,product,currency,price,quantity,day,bid_price_1,ask_price_1,mid_price,fwd_mid_delta_5,fwd_mid_delta_20,fwd_mid_delta_100,spread,aggr_buy,aggr_sell,spread_q,hour_bin,u_mid,fwd_u_20
4500,Mark 01,Mark 22,VEV_5400,XIRECS,18.0,2,1,18,19,18.5,-0.5,-0.5,-3.5,1.0,False,True,tight_le2,0,5254.5,-4.0
4500,Mark 01,Mark 22,VEV_5500,XIRECS,8.0,2,1,8,9,8.5,0.0,-0.5,-2.0,1.0,False,True,tight_le2,0,5254.5,-4.0
4500,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,2,1,0,1,0.5,0.0,0.0,0.0,1.0,False,True,tight_le2,0,5254.5,-4.0
4500,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,2,1,0,1,0.5,0.0,0.0,0.0,1.0,False,True,tight_le2,0,5254.5,-4.0
5300,Mark 38,Mark 14,VEV_4000,XIRECS,1264.0,2,1,1243,1264,1253.5,0.0,-7.0,-20.0,21.0,True,False,wide,0,5253.5,-7.0
9600,Mark 01,Mark 22,VEV_5400,XIRECS,16.0,4,1,16,18,17.0,-0.5,-1.0,-3.5,2.0,False,True,tight_le2,0,5246.5,-5.0
9600,Mark 01,Mark 22,VEV_5500,XIRECS,7.0,4,1,7,8,7.5,0.0,0.0,-1.0,1.0,False,True,tight_le2,0,5246.5,-5.0
9600,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,4,1,0,1,0.5,0.0,0.0,0.0,1.0,False,True,tight_le2,0,5246.5,-5.0
9600,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,4,1,0,1,0.5,0.0,0.0,0.0,1.0,False,True,tight_le2,0,5246.5,-5.0
11800,Mark 01,Mark 22,VEV_5500,XIRECS,7.0,4,1,7,8,7.5,0.0,-1.0,-1.0,1.0,False,True,tight_le2,1,5241.5,-3.0
11800,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,4,1,0,1,0.5,0.0,0.0,0.0,1.0,False,True,tight_le2,1,5241.5,-3.0
11800,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,4,1,0,1,0.5,0.0,0.0,0.0,1.0,False,True,tight_le2,1,5241.5,-3.0
14800,Mark 01,Mark 22,VEV_5300,XIRECS,42.0,4,1,42,44,43.0,0.0,-1.0,0.0,2.0,False,True,tight_le2,1,5234.5,-4.0
14800,Mark 01,Mark 22,VEV_5400,XIRECS,14.0,4,1,14,16,15.0,-0.5,-0.5,-0.5,2.0,False,True,tight_le2,1,5234.5,-4.0
14800,Mark 01,Mark 22,VEV_5500,XIRECS,6.0,4,1,6,7,6.5,0.0,0.0,0.0,1.0,False,True,tight_le2,1,5234.5,-4.0
14800,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,4,1,0,1,0.5,0.0,0.0,0.0,1.0,False,True,tight_le2,1,5234.5,-4.0
14800,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,4,1,0,1,0.5,0.0,0.0,0.0,1.0,False,True,tight_le2,1,5234.5,-4.0
16700,Mark 14,Mark 38,VEV_4000,XIRECS,1221.0,2,1,1221,1231,1226.0,6.5,2.0,4.5,10.0,False,True,m6_10,1,5231.5,-4.5
16700,Mark 01,Mark 22,VEV_5300,XIRECS,41.0,2,1,41,43,42.0,0.0,-1.0,-1.0,2.0,False,True,tight_le2,1,5231.5,-4.5
16700,Mark 01,Mark 22,VEV_5400,XIRECS,14.0,2,1,14,15,14.5,0.0,-1.0,-0.5,1.0,False,True,tight_le2,1,5231.5,-4.5
16700,Mark 01,Mark 22,VEV_5500,XIRECS,6.0,2,1,6,7,6.5,0.0,-0.5,0.0,1.0,False,True,tight_le2,1,5231.5,-4.5
16700,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,2,1,0,1,0.5,0.0,0.0,0.0,1.0,False,True,tight_le2,1,5231.5,-4.5
16700,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,2,1,0,1,0.5,0.0,0.0,0.0,1.0,False,True,tight_le2,1,5231.5,-4.5
17300,Mark 14,Mark 38,VEV_4000,XIRECS,1221.0,1,1,1221,1242,1231.5,2.0,-3.0,4.0,21.0,False,True,wide,1,5231.5,-3.0
17900,Mark 38,Mark 14,VEV_4000,XIRECS,1243.0,1,1,1223,1243,1233.0,-3.5,-6.5,4.5,20.0,True,False,wide,1,5233.0,-6.5
25700,Mark 38,Mark 14,VEV_4000,XIRECS,1241.0,3,1,1221,1241,1231.0,-0.5,7.5,3.0,20.0,True,False,wide,2,5231.5,7.0
36200,Mark 38,Mark 14,VEV_4000,XIRECS,1244.0,3,1,1223,1244,1233.5,-0.5,-1.5,15.0,21.0,True,False,wide,3,5233.5,-0.5
38500,Mark 01,Mark 22,VEV_5500,XIRECS,6.0,5,1,6,7,6.5,0.0,0.0,1.0,1.0,False,True,tight_le2,3,5231.5,2.0
38500,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,5,1,0,1,0.5,0.0,0.0,0.0,1.0,False,True,tight_le2,3,5231.5,2.0
38500,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,5,1,0,1,0.5,0.0,0.0,0.0,1.0,False,True,tight_le2,3,5231.5,2.0
40400,Mark 01,Mark 22,VEV_5300,XIRECS,41.0,4,1,41,43,42.0,0.0,-1.0,5.0,2.0,False,True,tight_le2,4,5233.5,-2.0
40400,Mark 01,Mark 22,VEV_5400,XIRECS,14.0,4,1,14,15,14.5,-0.5,-0.5,2.0,1.0,False,True,tight_le2,4,5233.5,-2.0
40400,Mark 01,Mark 22,VEV_5500,XIRECS,6.0,4,1,6,7,6.5,0.0,0.0,1.0,1.0,False,True,tight_le2,4,5233.5,-2.0
40400,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,4,1,0,1,0.5,0.0,0.0,0.0,1.0,False,True,tight_le2,4,5233.5,-2.0
40400,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,4,1,0,1,0.5,0.0,0.0,0.0,1.0,False,True,tight_le2,4,5233.5,-2.0
43400,Mark 01,Mark 22,VEV_5400,XIRECS,13.0,5,1,13,15,14.0,0.5,2.0,1.5,2.0,False,True,tight_le2,4,5231.5,8.5
43400,Mark 01,Mark 22,VEV_5500,XIRECS,6.0,5,1,6,7,6.5,0.0,0.5,1.0,1.0,False,True,tight_le2,4,5231.5,8.5
43400,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,5,1,0,1,0.5,0.0,0.0,0.0,1.0,False,True,tight_le2,4,5231.5,8.5
43400,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,5,1,0,1,0.5,0.0,0.0,0.0,1.0,False,True,tight_le2,4,5231.5,8.5
50200,Mark 14,Mark 38,VEV_4000,XIRECS,1236.0,2,1,1236,1257,1246.5,-7.5,0.0,1.0,21.0,False,True,wide,5,5246.5,0.0
50300,Mark 38,Mark 14,VEV_4000,XIRECS,1257.0,3,1,1236,1257,1246.5,-3.0,1.0,1.0,21.0,True,False,wide,5,5246.0,1.5
50700,Mark 01,Mark 22,VEV_5400,XIRECS,16.0,5,1,16,17,16.5,0.0,0.5,0.0,1.0,False,True,tight_le2,5,5244.0,2.0
50700,Mark 01,Mark 22,VEV_5500,XIRECS,7.0,5,1,7,8,7.5,0.0,0.0,0.0,1.0,False,True,tight_le2,5,5244.0,2.0
50700,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,5,1,0,1,0.5,0.0,0.0,0.0,1.0,False,True,tight_le2,5,5244.0,2.0
50700,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,5,1,0,1,0.5,0.0,0.0,0.0,1.0,False,True,tight_le2,5,5244.0,2.0
52800,Mark 01,Mark 22,VEV_5400,XIRECS,16.0,3,1,16,17,16.5,0.0,0.0,-0.5,1.0,False,True,tight_le2,5,5247.5,-3.0
52800,Mark 01,Mark 22,VEV_5500,XIRECS,7.0,3,1,7,8,7.5,0.0,0.0,0.0,1.0,False,True,tight_le2,5,5247.5,-3.0
52800,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,3,1,0,1,0.5,0.0,0.0,0.0,1.0,False,True,tight_le2,5,5247.5,-3.0
52800,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,3,1,0,1,0.5,0.0,0.0,0.0,1.0,False,True,tight_le2,5,5247.5,-3.0
53400,Mark 14,Mark 22,VEV_5500,XIRECS,7.0,2,1,7,8,7.5,0.0,0.0,0.0,1.0,False,True,tight_le2,5,5242.5,5.0
53400,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,2,1,0,1,0.5,0.0,0.0,0.0,1.0,False,True,tight_le2,5,5242.5,5.0
53400,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,2,1,0,1,0.5,0.0,0.0,0.0,1.0,False,True,tight_le2,5,5242.5,5.0
53800,Mark 38,Mark 14,VEV_4000,XIRECS,1255.0,2,1,1234,1255,1244.5,-1.0,1.0,-2.0,21.0,True,False,wide,5,5242.5,3.0
54400,Mark 14,Mark 38,VEV_4000,XIRECS,1234.0,3,1,1234,1255,1244.5,-1.0,1.0,0.0,21.0,False,True,wide,5,5244.5,1.0
57600,Mark 38,Mark 14,VEV_4000,XIRECS,1257.0,3,1,1236,1257,1246.5,2.0,0.0,0.0,21.0,True,False,wide,5,5246.5,0.0
62600,Mark 38,Mark 14,VEV_4000,XIRECS,1254.0,1,1,1233,1254,1243.5,-1.5,-1.0,-5.0,21.0,True,False,wide,6,5243.5,-1.0
63100,Mark 38,Mark 14,VEV_4000,XIRECS,1252.0,3,1,1232,1252,1242.0,3.5,2.5,-3.5,20.0,True,False,wide,6,5242.0,2.5
68000,Mark 38,Mark 14,VEV_4000,XIRECS,1258.0,2,1,1237,1258,1247.5,-1.0,-4.0,-9.0,21.0,True,False,wide,6,5247.5,-4.0
70500,Mark 14,Mark 38,VEV_4000,XIRECS,1232.0,1,1,1232,1252,1242.0,-0.5,-3.0,-4.5,20.0,False,True,wide,7,5242.0,-3.0
74100,Mark 01,Mark 22,VEV_5300,XIRECS,42.0,3,1,42,44,43.0,1.0,1.0,-2.0,2.0,False,True,tight_le2,7,5235.5,3.0
74100,Mark 01,Mark 22,VEV_5400,XIRECS,14.0,3,1,14,15,14.5,1.0,1.0,-0.5,1.0,False,True,tight_le2,7,5235.5,3.0
74100,Mark 01,Mark 22,VEV_5500,XIRECS,6.0,3,1,6,7,6.5,0.0,0.0,0.0,1.0,False,True,tight_le2,7,5235.5,3.0
74100,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,3,1,0,1,0.5,0.0,0.0,0.0,1.0,False,True,tight_le2,7,5235.5,3.0
74100,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,3,1,0,1,0.5,0.0,0.0,0.0,1.0,False,True,tight_le2,7,5235.5,3.0
78300,Mark 14,Mark 38,VEV_4000,XIRECS,1229.0,3,1,1229,1250,1239.5,0.0,-2.0,1.0,21.0,False,True,wide,7,5239.5,-2.0
84300,Mark 38,Mark 14,VEV_4000,XIRECS,1243.0,1,1,1222,1243,1232.5,2.0,5.0,11.0,21.0,True,False,wide,8,5232.5,5.0
85300,Mark 14,Mark 22,VEV_5300,XIRECS,42.0,2,1,42,44,43.0,0.0,1.0,3.0,2.0,False,True,tight_le2,8,5235.0,4.5
85300,Mark 01,Mark 22,VEV_5400,XIRECS,14.0,2,1,14,15,14.5,0.0,1.0,1.5,1.0,False,True,tight_le2,8,5235.0,4.5
85300,Mark 01,Mark 22,VEV_5500,XIRECS,6.0,2,1,6,7,6.5,0.0,0.0,0.5,1.0,False,True,tight_le2,8,5235.0,4.5
85300,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,2,1,0,1,0.5,0.0,0.0,0.0,1.0,False,True,tight_le2,8,5235.0,4.5
