day,pair,tight,n,m5
1,Mark 14->Mark 38,False,158,0.2563291139240506
1,Mark 14->Mark 38,True,25,0.84
1,Mark 38->Mark 14,False,162,-0.5030864197530864
1,Mark 38->Mark 14,True,25,0.92
2,Mark 14->Mark 38,False,109,0.1834862385321101
2,Mark 14->Mark 38,True,33,0.07575757575757576
2,Mark 38->Mark 14,False,134,-0.09328358208955224
2,Mark 38->Mark 14,True,27,-0.2037037037037037
3,Mark 14->Mark 38,False,103,0.07281553398058252
3,Mark 14->Mark 38,True,68,-0.8235294117647058
3,Mark 38->Mark 14,False,82,0.24390243902439024
3,Mark 38->Mark 14,True,77,-0.3961038961038961
