csv_day,timestamp,bf_mid,bf_z
0,64300,17.5,2.886
0,66500,17.5,2.767
0,67700,17.5,2.708
0,81300,14.0,-2.574
0,82900,13.5,-3.184
0,90000,17.5,2.847
0,110200,17.5,2.692
0,110400,17.5,2.669
0,110800,17.5,2.642
0,111300,17.5,2.598
0,111500,17.5,2.575
0,112800,18.0,3.207
0,113400,18.0,3.149
0,132100,13.5,-2.869
0,132500,13.5,-2.841
0,133800,13.5,-2.797
0,134100,13.5,-2.775
0,134500,13.5,-2.724
0,134700,13.5,-2.694
0,158600,12.5,-2.944
0,158900,12.5,-2.879
0,159200,12.5,-2.83
0,159700,12.5,-2.763
0,159800,12.5,-2.741
0,160100,12.5,-2.694
0,161000,12.5,-2.628
0,161100,12.5,-2.604
0,161200,12.5,-2.586
0,161400,12.5,-2.563
0,161600,12.5,-2.544
0,161700,12.5,-2.523
0,197400,16.5,2.93
0,197500,16.5,2.92
0,198500,16.5,2.848
0,198600,16.5,2.821
0,199100,16.5,2.767
0,199600,16.5,2.733
0,199800,16.5,2.702
0,200200,16.5,2.683
0,200700,16.5,2.678
0,200800,16.5,2.67
0,201000,16.5,2.647
0,201200,16.5,2.619
0,201300,16.5,2.605
0,201500,16.5,2.57
0,201600,16.5,2.552
0,204700,17.0,2.813
0,206400,17.5,3.082
0,206600,17.0,2.564
0,232100,13.0,-2.516
0,234200,12.5,-3.012
0,234300,12.5,-2.982
0,245500,12.5,-2.9
0,245700,12.5,-2.867
0,300000,12.5,-3.11
0,300200,12.5,-3.074
0,300300,12.5,-3.039
0,300600,12.5,-2.996
0,300900,12.5,-2.948
0,301400,12.5,-2.867
0,301500,12.5,-2.838
0,301600,12.5,-2.81
0,301700,12.5,-2.783
0,301900,12.5,-2.74
0,302000,12.5,-2.714
0,302100,12.5,-2.689
0,302600,12.5,-2.628
0,302700,12.0,-3.267
0,302900,12.0,-3.21
0,303000,12.0,-3.179
0,303300,12.0,-3.099
0,304300,12.0,-2.92
0,304500,11.5,-3.478
0,304600,11.5,-3.436
0,305100,11.5,-3.333
0,305600,12.0,-2.669
0,306100,11.5,-3.155
0,306200,11.5,-3.117
0,306600,11.5,-3.042
0,306900,11.5,-2.989
0,308000,11.5,-2.845
0,308200,11.5,-2.803
0,308300,11.5,-2.776
0,308900,11.5,-2.69
0,309000,11.5,-2.665
0,309400,11.5,-2.611
0,309500,11.5,-2.588
0,309800,11.5,-2.543
0,311600,11.0,-2.7
0,348900,10.5,-2.576
0,359000,10.0,-2.804
0,359100,10.0,-2.777
0,359600,10.0,-2.715
0,360100,10.0,-2.66
