timestamp,day,dte,t_years,voucher,K,S,mid,log_S_over_K,iv,iv_fit,iv_res,theoretical_mid,price_dev
0,0,8,0.021917808219178082,VEV_4500,4500,5250.0,750.0,0.15415067982725836,,0.3781486651983997,,750.2417870065656,-0.2417870065655734
100,0,8,0.021917534246575342,VEV_4500,4500,5250.5,751.0,0.15424591338763685,0.4082231571374494,0.40603728294224983,0.0021858741951995553,750.976265776505,0.023734223495011975
200,0,8,0.021917260273972602,VEV_4500,4500,5250.5,750.0,0.15424591338763685,,0.37126738795519576,,750.6990173872246,-0.6990173872245578
300,0,8,0.021916986301369863,VEV_4500,4500,5250.5,750.0,0.15424591338763685,,0.37945614070066813,,750.7489331415618,-0.7489331415617926
400,0,8,0.021916712328767123,VEV_4500,4500,5250.5,750.0,0.15424591338763685,,0.37127202899897604,,750.6990173872164,-0.6990173872163723
500,0,8,0.021916438356164383,VEV_4500,4500,5249.5,749.0,0.15405543719658485,,0.38750906808828667,,749.8098962495496,-0.809896249549638
600,0,8,0.021916164383561643,VEV_4500,4500,5248.5,748.0,0.15386492471744137,,0.382904128920659,,748.7785249777835,-0.7785249777834906
700,0,8,0.021915890410958903,VEV_4500,4500,5248.5,748.0,0.15386492471744137,,0.3829065222722227,,748.7785249777753,-0.7785249777753052
800,0,8,0.021915616438356166,VEV_4500,4500,5247.5,747.0,0.15367437593637692,,0.38136404090087284,,747.7705157081373,-0.7705157081372818
900,0,8,0.021915342465753426,VEV_4500,4500,5246.5,746.0,0.15348379083955466,,0.3795082345682046,,746.760506802817,-0.7605068028169626
1000,0,8,0.021915068493150683,VEV_4500,4500,5247.5,747.0,0.15367437593637692,,0.36301168076164114,,747.6623915401615,-0.6623915401614795
1100,0,8,0.021914794520547946,VEV_4500,4500,5248.5,749.0,0.15386492471744137,0.407360494303429,0.4049125016645207,0.002447992638908325,748.9734319457239,0.026568054276140174
1200,0,8,0.021914520547945206,VEV_4500,4500,5248.5,748.0,0.15386492471744137,,0.382918489703178,,748.7785249777326,-0.7785249777325589
1300,0,8,0.021914246575342466,VEV_4500,4500,5247.5,747.5,0.15367437593637692,,0.3832792916781255,,747.7842033540173,-0.2842033540173361
1400,0,8,0.021913972602739726,VEV_4500,4500,5247.5,747.0,0.15367437593637692,,0.3813783442800917,,747.7705157080873,-0.7705157080872596
1500,0,8,0.021913698630136987,VEV_4500,4500,5246.5,746.0,0.15348379083955466,,0.37952246852058635,,746.7605068027597,-0.7605068027596644
1600,0,8,0.021913424657534247,VEV_4500,4500,5246.0,746.0,0.15338848466840788,,0.37403599675771737,,746.226069288573,-0.22606928857294406
1700,0,8,0.021913150684931507,VEV_4500,4500,5246.0,746.0,0.15338848466840788,,0.38537280829382836,,746.30467072384,-0.3046707238399904
1800,0,8,0.021912876712328767,VEV_4500,4500,5246.5,746.0,0.15348379083955466,,0.37952958609738585,,746.7605068027306,-0.7605068027305606
1900,0,8,0.021912602739726027,VEV_4500,4500,5247.0,747.0,0.15357908792830058,,0.3740889428006635,,747.223793093006,-0.22379309300595196
2000,0,8,0.021912328767123287,VEV_4500,4500,5247.5,747.0,0.15367437593637692,,0.38329606396551363,,747.78420335396,-0.7842033539600379
2100,0,8,0.021912054794520547,VEV_4500,4500,5247.0,747.0,0.15357908792830058,,0.3740936201086438,,747.2237930929905,-0.22379309299049055
2200,0,8,0.021911780821917807,VEV_4500,4500,5247.0,747.0,0.15357908792830058,,0.37409595882842256,,747.2237930929832,-0.2237930929832146
