day,timestamp,joint_tight,aggr,buyer,seller,k5,k20,k100
1,14800,True,sell_aggr,Mark 01,Mark 22,0.0,-1.0,0.0
1,16700,True,sell_aggr,Mark 01,Mark 22,0.0,-1.0,-1.0
1,40400,True,sell_aggr,Mark 01,Mark 22,0.0,-1.0,5.0
1,74100,True,sell_aggr,Mark 01,Mark 22,1.0,1.0,-2.0
1,85300,True,sell_aggr,Mark 14,Mark 22,0.0,1.0,3.0
1,89800,True,sell_aggr,Mark 01,Mark 22,0.0,-1.0,1.0
1,135900,True,sell_aggr,Mark 01,Mark 22,0.0,-2.0,-0.5
1,150600,True,sell_aggr,Mark 01,Mark 22,0.0,-4.0,-5.0
1,170500,True,sell_aggr,Mark 14,Mark 22,-1.0,0.0,-1.0
1,172500,True,sell_aggr,Mark 01,Mark 22,-1.0,-2.0,-2.0
1,190100,True,sell_aggr,Mark 01,Mark 22,-1.0,-1.0,0.0
1,195600,True,sell_aggr,Mark 01,Mark 22,-1.0,1.0,4.0
1,252500,True,sell_aggr,Mark 01,Mark 22,0.0,0.0,-4.0
1,376600,True,sell_aggr,Mark 01,Mark 22,1.0,0.5,-0.5
1,377900,True,sell_aggr,Mark 14,Mark 22,0.0,1.0,-1.5
1,437100,True,buy_aggr,Mark 38,Mark 22,0.5,2.5,8.0
1,460400,True,sell_aggr,Mark 01,Mark 22,1.0,2.0,1.5
1,489700,True,sell_aggr,Mark 01,Mark 22,0.0,2.0,1.0
1,519500,True,sell_aggr,Mark 01,Mark 22,0.0,0.0,-2.0
1,553100,True,sell_aggr,Mark 01,Mark 22,-1.0,1.0,0.0
1,564300,True,sell_aggr,Mark 01,Mark 22,0.0,1.0,1.0
1,568900,True,sell_aggr,Mark 01,Mark 22,-1.0,-1.0,-2.0
1,588200,True,sell_aggr,Mark 01,Mark 22,0.0,-2.0,-3.0
1,604600,True,sell_aggr,Mark 01,Mark 22,0.0,-2.0,1.0
1,617900,True,sell_aggr,Mark 01,Mark 22,-1.0,0.0,-2.0
1,618300,True,sell_aggr,Mark 01,Mark 22,-1.0,-1.0,-2.0
1,624400,True,sell_aggr,Mark 01,Mark 22,-1.0,-3.0,-8.0
1,636100,True,sell_aggr,Mark 01,Mark 22,-2.0,-4.0,-5.0
1,642100,True,sell_aggr,Mark 01,Mark 22,-0.5,-1.0,-4.5
1,674000,True,sell_aggr,Mark 01,Mark 22,1.0,1.0,0.5
1,710500,True,sell_aggr,Mark 14,Mark 22,0.0,2.0,4.0
1,720500,True,sell_aggr,Mark 14,Mark 22,-1.0,-1.5,0.5
1,725000,True,sell_aggr,Mark 01,Mark 22,-1.0,-3.0,7.0
1,800400,True,sell_aggr,Mark 01,Mark 22,0.0,-2.0,-3.0
1,807800,True,sell_aggr,Mark 01,Mark 22,0.5,-2.0,-6.5
1,812600,True,sell_aggr,Mark 01,Mark 22,-2.0,-2.0,2.0
