day,timestamp,buyer,seller,pair_order,aggr,joint_tight,k5,k20,k100
1,14800,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,-1.0,0.0
1,16700,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,-1.0,-1.0
1,40400,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,-1.0,5.0
1,74100,Mark 01,Mark 22,01_22,sell_aggr,True,1.0,1.0,-2.0
1,89800,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,-1.0,1.0
1,135900,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,-2.0,-0.5
1,150600,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,-4.0,-5.0
1,172500,Mark 01,Mark 22,01_22,sell_aggr,True,-1.0,-2.0,-2.0
1,190100,Mark 01,Mark 22,01_22,sell_aggr,True,-1.0,-1.0,0.0
1,195600,Mark 01,Mark 22,01_22,sell_aggr,True,-1.0,1.0,4.0
1,252500,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,0.0,-4.0
1,376600,Mark 01,Mark 22,01_22,sell_aggr,True,1.0,0.5,-0.5
1,460400,Mark 01,Mark 22,01_22,sell_aggr,True,1.0,2.0,1.5
1,489700,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,2.0,1.0
1,519500,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,0.0,-2.0
1,553100,Mark 01,Mark 22,01_22,sell_aggr,True,-1.0,1.0,0.0
1,564300,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,1.0,1.0
1,568900,Mark 01,Mark 22,01_22,sell_aggr,True,-1.0,-1.0,-2.0
1,588200,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,-2.0,-3.0
1,604600,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,-2.0,1.0
1,617900,Mark 01,Mark 22,01_22,sell_aggr,True,-1.0,0.0,-2.0
1,618300,Mark 01,Mark 22,01_22,sell_aggr,True,-1.0,-1.0,-2.0
1,624400,Mark 01,Mark 22,01_22,sell_aggr,True,-1.0,-3.0,-8.0
1,636100,Mark 01,Mark 22,01_22,sell_aggr,True,-2.0,-4.0,-5.0
1,642100,Mark 01,Mark 22,01_22,sell_aggr,True,-0.5,-1.0,-4.5
1,674000,Mark 01,Mark 22,01_22,sell_aggr,True,1.0,1.0,0.5
1,725000,Mark 01,Mark 22,01_22,sell_aggr,True,-1.0,-3.0,7.0
1,800400,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,-2.0,-3.0
1,807800,Mark 01,Mark 22,01_22,sell_aggr,True,0.5,-2.0,-6.5
1,812600,Mark 01,Mark 22,01_22,sell_aggr,True,-2.0,-2.0,2.0
1,948500,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,2.0,7.0
1,988100,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,2.0,6.0
2,20900,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,-1.0,-4.5
2,75200,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,-1.5,5.0
2,105500,Mark 01,Mark 22,01_22,sell_aggr,True,1.0,1.0,-2.0
2,129700,Mark 01,Mark 22,01_22,sell_aggr,True,-1.0,0.0,0.0
2,169000,Mark 01,Mark 22,01_22,sell_aggr,True,-0.5,-0.5,1.5
2,189100,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,0.5,1.0
2,204400,Mark 01,Mark 22,01_22,sell_aggr,True,1.0,2.5,3.0
2,320800,Mark 01,Mark 22,01_22,sell_aggr,True,-1.0,0.0,-5.0
2,321600,Mark 01,Mark 22,01_22,sell_aggr,True,0.5,0.0,-1.0
2,358500,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,1.0,-2.0
2,362600,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,-2.0,-4.0
2,365600,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,1.0,-2.0
2,389000,Mark 01,Mark 22,01_22,sell_aggr,True,-0.5,0.0,-2.0
2,390300,Mark 01,Mark 22,01_22,sell_aggr,True,1.0,2.0,-2.0
2,414900,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,3.0,2.0
2,423800,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,1.0,2.0
2,433100,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,-1.0,-2.0
2,501900,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,-2.0,-3.0
2,519600,Mark 01,Mark 22,01_22,sell_aggr,True,-1.0,-1.0,-1.0
2,548600,Mark 01,Mark 22,01_22,sell_aggr,True,-0.5,0.0,-1.0
2,588500,Mark 01,Mark 22,01_22,sell_aggr,True,1.0,-0.5,7.0
2,604100,Mark 01,Mark 22,01_22,sell_aggr,True,-1.0,2.0,0.0
2,666500,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,1.5,6.0
2,711900,Mark 01,Mark 22,01_22,sell_aggr,True,-2.0,-3.0,-8.5
2,748500,Mark 01,Mark 22,01_22,sell_aggr,True,0.5,0.5,0.5
2,779200,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,-2.0,-1.0
2,826400,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,0.0,1.0
2,872600,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,-1.0,1.0
2,898600,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,1.0,-1.0
2,977500,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,0.0,5.0
2,993800,Mark 01,Mark 22,01_22,sell_aggr,True,1.0,4.0,7.0
3,32900,Mark 01,Mark 22,01_22,sell_aggr,True,1.0,1.0,-9.0
3,33600,Mark 01,Mark 22,01_22,sell_aggr,True,1.0,0.0,-8.5
3,40200,Mark 01,Mark 22,01_22,sell_aggr,True,-2.0,-4.0,-4.0
3,74300,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,-1.0,-1.0
3,92200,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,-1.0,-1.0
3,98900,Mark 01,Mark 22,01_22,sell_aggr,True,-1.0,-1.0,0.0
3,137700,Mark 01,Mark 22,01_22,sell_aggr,True,-0.5,-1.5,-1.5
3,155400,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,-2.0,0.0
3,218300,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,1.0,4.0
3,220800,Mark 01,Mark 22,01_22,sell_aggr,True,0.5,-2.0,3.0
3,222400,Mark 01,Mark 22,01_22,sell_aggr,True,-0.5,0.0,1.0
3,243700,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,-0.5,2.0
3,289400,Mark 01,Mark 22,01_22,sell_aggr,True,-1.0,-2.0,-4.0
3,290900,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,-1.0,-2.0
3,315800,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,0.5,1.0
3,317200,Mark 01,Mark 22,01_22,sell_aggr,True,0.5,-0.5,1.5
3,319700,Mark 01,Mark 22,01_22,sell_aggr,True,-0.5,-1.0,3.0
3,320200,Mark 01,Mark 22,01_22,sell_aggr,True,-0.5,0.5,4.5
3,328700,Mark 01,Mark 22,01_22,sell_aggr,True,0.5,2.5,-0.5
3,332600,Mark 01,Mark 22,01_22,sell_aggr,True,-1.5,-2.0,-3.0
3,350300,Mark 01,Mark 22,01_22,sell_aggr,True,-0.5,-1.5,-2.5
3,363100,Mark 01,Mark 22,01_22,sell_aggr,True,-0.5,-0.5,3.0
3,364700,Mark 01,Mark 22,01_22,sell_aggr,True,-0.5,0.0,4.0
3,369800,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,1.0,5.0
3,385400,Mark 01,Mark 22,01_22,sell_aggr,True,0.5,1.5,2.5
3,389100,Mark 01,Mark 22,01_22,sell_aggr,True,1.0,2.0,3.0
3,391400,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,0.0,3.5
3,428900,Mark 01,Mark 22,01_22,sell_aggr,True,-0.5,-1.0,-0.5
3,431900,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,0.5,0.5
3,442200,Mark 01,Mark 22,01_22,sell_aggr,True,0.5,1.0,-1.5
3,456600,Mark 01,Mark 22,01_22,sell_aggr,True,-0.5,-0.5,0.5
3,459800,Mark 01,Mark 22,01_22,sell_aggr,True,-0.5,-0.5,-1.0
3,483900,Mark 01,Mark 22,01_22,sell_aggr,True,1.0,2.0,0.5
3,498100,Mark 01,Mark 22,01_22,sell_aggr,True,-0.5,-0.5,0.0
3,511800,Mark 01,Mark 22,01_22,sell_aggr,True,0.5,1.5,0.5
3,524000,Mark 01,Mark 22,01_22,sell_aggr,True,-0.5,0.0,-3.0
3,531500,Mark 01,Mark 22,01_22,sell_aggr,True,-1.0,-1.0,1.0
3,535400,Mark 01,Mark 22,01_22,sell_aggr,True,0.5,1.5,2.5
3,535900,Mark 01,Mark 22,01_22,sell_aggr,True,0.5,1.5,2.0
3,551600,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,1.0,1.0
3,555100,Mark 01,Mark 22,01_22,sell_aggr,True,-0.5,-0.5,0.5
3,580600,Mark 01,Mark 22,01_22,sell_aggr,True,0.5,-0.5,0.0
3,584300,Mark 01,Mark 22,01_22,sell_aggr,True,-1.0,-2.0,0.5
3,612700,Mark 01,Mark 22,01_22,sell_aggr,True,1.0,2.5,-2.5
3,622500,Mark 01,Mark 22,01_22,sell_aggr,True,0.5,0.5,2.5
3,627700,Mark 01,Mark 22,01_22,sell_aggr,True,-0.5,-3.0,-1.0
3,631300,Mark 01,Mark 22,01_22,sell_aggr,True,-0.5,-1.0,1.5
3,631500,Mark 01,Mark 22,01_22,sell_aggr,True,-2.0,-2.0,1.0
3,642500,Mark 01,Mark 22,01_22,sell_aggr,True,0.0,3.0,4.5
