buyer,seller,symbol,mean,std,count
Mark 49,Mark 22,VELVETFRUIT_EXTRACT,5.181040781584064e-16,5.224323937703385,12
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,-4.026408835973901e-16,4.220200242890151,75
Mark 22,Mark 38,HYDROGEL_PACK,-3.2297397080004555e-16,8.019011501085744,11
Mark 55,Mark 22,VELVETFRUIT_EXTRACT,2.5376526277146434e-16,3.7286019534770034,14
Mark 55,Mark 49,VELVETFRUIT_EXTRACT,2.4671622769447924e-16,3.152380053229623,9
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,-2.0957018891800707e-16,3.749821241908967,89
Mark 14,Mark 38,VEV_4000,-1.3782078926381254e-16,4.4737456868064625,232
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,-1.1956247957501685e-16,4.353688067845444,260
Mark 38,Mark 14,HYDROGEL_PACK,1.1912452177437576e-16,8.580219318873082,507
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,-1.0874725528090673e-16,4.2587314223764245,244
Mark 14,Mark 22,VEV_5200,-1.0765799026668185e-16,3.3622092078833754,33
Mark 22,Mark 55,VELVETFRUIT_EXTRACT,9.868649107779169e-17,3.912544764721257,18
Mark 14,Mark 38,HYDROGEL_PACK,-8.59527502935605e-17,8.689639827914192,496
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,-8.049955465560047e-17,3.8585253041361036,331
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,-6.74565888379842e-17,4.053491290424975,316
Mark 14,Mark 22,VEV_5300,6.661338147750939e-17,1.5518805795979704,30
Mark 01,Mark 22,VEV_5300,-5.719330732917473e-17,1.6567249170711236,132
Mark 38,Mark 14,VEV_4000,5.148860404058697e-17,4.075234327596463,207
Mark 01,Mark 22,VEV_5400,3.0024567538579566e-17,0.7749188543558687,263
Mark 14,Mark 22,VEV_5400,1.708035422500241e-17,1.0079809725513875,13
Mark 01,Mark 22,VEV_5500,-2.9472893839338394e-18,0.41394270957593926,299
Mark 01,Mark 22,VEV_6500,0.0,0.0,317
Mark 01,Mark 22,VEV_6000,0.0,0.0,317
Mark 01,Mark 22,VEV_5200,0.0,3.384456448906598,11
Mark 38,Mark 22,HYDROGEL_PACK,0.0,5.277563696577103,8
