trigger_merged_ts,n_price_rows_in_window,frac_joint_tight
39400,501,0.15768463073852296
575800,501,0.2934131736526946
632800,501,0.4750499001996008
812900,501,0.14171656686626746
949400,501,0.03592814371257485
1134300,501,0.017964071856287425
1378400,501,0.3532934131736527
1424600,501,0.3532934131736527
1547100,501,0.4590818363273453
1720500,501,0.5788423153692615
1793900,501,0.21357285429141717
1872400,501,0.09181636726546906
2117400,501,0.4111776447105788
2254000,501,0.49101796407185627
2294300,501,0.5888223552894212
2349100,501,0.5209580838323353
2357500,501,0.4630738522954092
2405400,501,0.654690618762475
2406500,501,0.6646706586826348
2462100,501,0.812375249500998
2512800,501,0.8303393213572854
2560900,501,0.6287425149700598
2588300,501,0.6167664670658682
2616700,501,0.40119760479041916
2769200,501,0.3912175648702595
2873400,501,0.42714570858283435
2969100,309,0.5080906148867314
