v26 triggers on merged day 3 (T>=2000000): n=15
gap_merged_start_to_start: min=1100 max=152500 mean=60836
fwd5300_at_print: meanK5=-0.0333 fracposK5=0.333 meanK20=0.0000 fracposK20=0.467
per_trigger merged_T tape_ts fwdK5 fwdK20:
  2117400	117400	1	1
  2254000	254000	-1	-1.5
  2294300	294300	-0.5	-1.5
  2349100	349100	0.5	0.5
  2357500	357500	0	-0.5
  2405400	405400	-0.5	-1.5
  2406500	406500	-1	-1
  2462100	462100	0	1
  2512800	512800	1	1
  2560900	560900	0	1.5
  2588300	588300	1	1.5
  2616700	616700	-0.5	-0.5
  2769200	769200	-1	0
  2873400	873400	0.5	1
  2969100	969100	0	-1
